,show_id,show_name,english,korean,other,genres,cc_src,url,imdb
32,R036,cinderella_and_the_four_knights,Cinderella and the Four Knights,신데렐라와 네 명의 기사,Cinderella and Four Knights,"swoonworthy, charming, dramedy, drama, comedy, goofy, romantic",Viki,https://www.imdb.com/title/tt5764414/?ref_=nv_sr_srsg_0,1
33,R037,clean_with_passion_for_now,Clean With Passion For Now,일단 뜨겁게 청소하라,---,"charming, quirky, comedy, drama, based on webtoon, romantic",viki,https://www.imdb.com/title/tt7981562/?ref_=nv_sr_srsg_0,1
34,R039,crash_landing_on_you,Crash Landing on You,사랑의 불시착,---,"Swoonworthy, Charming, Dramedy, romantic, drama, comedy, heartfelt",Netflix,https://www.imdb.com/title/tt10850932/?ref_=nv_sr_srsg_0,1
35,R040,crazy_romance,Crazy Romance,가장 보통의 연애,The Most Common Date,"romance, heartfelt, comedy",Netflix,https://www.imdb.com/title/tt11041006/?ref_=nv_sr_srsg_0,1
36,R041,cyber_hell_exposing_an_internet_horror,Cyber Hell: Exposing an Internet Horror,---,---,"riveting, investigative, true crime, documentaries",netflix,https://www.imdb.com/title/tt19768508/?ref_=nv_sr_srsg_0,1
37,R049,dp,D.P.,디피,Deserter Pursuit,"Gritty, Dark, Drama, Based on Webtoon, Social Issue",Netflix,https://www.imdb.com/title/tt13024974/?ref_=nv_sr_srsg_0,1
38,R042,dear_my_friends,Dear My Friends,디어 마이 프렌즈,---,"sentimental, heartfelt, drama, inspiring",netflix,https://www.imdb.com/title/tt5689030/?ref_=nv_sr_srsg_0,1
39,R043,descendants_of_the_sun,Descendants of the Sun,태양의 후예,Descended From the Sun___The Sun’s Descendants___DOTS___DOS,"medical, drama, melodrama, romantic, comedy",viki,https://www.imdb.com/title/tt4925000/?ref_=nv_sr_srsg_0,1
40,R044,designated_survivor_60_days,Designated Survivor: 60 Days,지정생존자: 60일,指定生存者: 60日,"exciting, drama, conspiracy, political",netflix,https://www.imdb.com/title/tt10405394/?ref_=nv_sr_srsg_3,1
41,R045,devilish_joy,Devilish Joy,마성의 기쁨,Diabolic Joy___Ma-seong's Happiness,"romantic, comedy",viki,https://www.imdb.com/title/tt8594250/?ref_=nv_sr_srsg_0,1
42,R046,do_do_sol_sol_la_la_sol,Do Do Sol Sol La La Sol,도도솔솔라라솔,---,"charming, quirky, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt12850262/?ref_=nv_sr_srsg_0,1
43,R047,dont_be_the_first_one,Don't be the First One!,1호가 될 순 없어,---,"reality, marriage",netflix,https://www.imdb.com/title/tt15128006/?ref_=nv_sr_srsg_0,1
44,R048,doom_at_your_service,Doom at Your Service,어느 날 우리집 현관으로 멸망이 들어왔다,One Day Destruction Entered the Front Door of My House,"romance, supernatural, fantasy",viki,https://www.imdb.com/title/tt13669128/?ref_=nv_sr_srsg_0,1
45,R051,extracurricular,Extracurricular,인간수업,人間授業___Human Class,"dark, teen, ensemble, crime",netflix,https://www.imdb.com/title/tt10262630/?ref_=nv_sr_srsg_0,1
46,R053,familiar_wife,Familiar Wife,아는 와이프,Knowing Wife___Wife That I Know,"soapy, sentimental, drama, romantic, emotional",netflix,https://www.imdb.com/title/tt8487786/?ref_=nv_sr_srsg_0,1
47,R054,flower_of_evil,Flower of Evil,악의 꽃,---,"melodrama, romance, thriller, suspense",viki,https://www.imdb.com/title/tt11691684/?ref_=nv_sr_srsg_0,1
48,R055,forecasting_love_and_weather,Forecasting Love and Weather,기상청 사람들: 사내연애 잔혹사 편,Meteorological Administration People: Office Romance Cruelty,"charming, romantic, comedy",netflix,https://www.imdb.com/title/tt15140592/?ref_=nv_sr_srsg_0,1
49,R056,forgotten,Forgotten,기억의 밤,---,"psychological, suspenseful, mystery, drama",netflix,https://www.imdb.com/title/tt7057496/?ref_=nv_sr_srsg_0,1
50,R057,goedam,Goedam,도시괴담,Ghost Story___The Possessed,"chilling, scary, ensemble, horror, dark",netflix,https://www.imdb.com/title/tt12929796/?ref_=nv_sr_srsg_0,1
51,R058,graceful_friends,Graceful Friends,우아한 친구들,---,"suspenseful, drama, ensemble",netflix,https://www.imdb.com/title/tt12531492/?ref_=nv_sr_srsg_4,1
52,R059,green_mothers_club,Green Mother's Club,그린마더스클럽,---,"drama, ensemble, keeping secrets",netflix,https://www.imdb.com/title/tt15060900/?ref_=nv_sr_srsg_0,1
53,R060,hanwoo_rhapsody,Hanwoo Rhapsody,한우 랩소디,Korean Beef Rhapsody,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt16977638/?ref_=nv_sr_srsg_0,1
54,R061,hellbound,Hellbound,지옥,地獄,"Violent, Dark, Horror, suspenseful, crime, mysteries",Netflix,https://www.imdb.com/title/tt12235718/?ref_=nv_sr_srsg_0,1
55,R062,hello_me,"Hello, Me!",안녕? 나야!,安寧? 나야!___Hello? It's Me!,"quirky, romantic, comedy, based on book",netflix,https://www.imdb.com/title/tt13670090/?ref_=nv_sr_srsg_0,1
56,R063,hello_my_twenties,"Hello, My Twenties!",청춘시대,青春時代___Age of Youth,"irreverent, emotional, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt5858892/?ref_=nv_sr_srsg_0,1
57,R064,her_private_life,Her Private Life,그녀의 사생활,그女의 私生活___Her Personal Life,"swoonworthy, charming, comedy, feel-good, based on books, romantic",viki,https://www.imdb.com/title/tt9899340/?ref_=nv_sr_srsg_0,1
58,R065,hi_bye_mama,"Hi Bye, Mama!","하이바이, 마마!",---,"Heartfelt, Emotional, Dramedy, drama, comedy",Netflix,https://www.imdb.com/title/tt11804034/?ref_=nv_sr_srsg_0,1
59,R066,high_society,High Society,상류사회,A Chaebol’s Daughter___The Privileged___True Romance,"Steamy, drama, corruption",Netflix,https://www.imdb.com/title/tt8865580/?ref_=nv_sr_srsg_0,1
60,R067,hometown_chachacha,Hometown Cha-Cha-Cha,갯마을 차차차,---,"charming, intimate, comedy, feel-good, romantic",netflix,https://www.imdb.com/title/tt14518756/?ref_=nv_sr_srsg_0,1
61,R068,hospital_playlist,Hospital Playlist,슬기로운 의사생활,슬기로운 醫師生活___Wise Doctor Life,"Nostalgic, Heartfelt, Dramedy, medical, drama, comedy",Netflix,https://www.imdb.com/title/tt11769304/?ref_=nv_sr_srsg_0,1
62,R069,hotel_del_luna,Hotel Del Luna,호텔 델루나,---,"swoonworthy, quirky, fantasy, romantic, comedy, heartfelt ",viki,https://www.imdb.com/title/tt10220588/?ref_=nv_sr_srsg_0,1
63,R070,how_to_use_guys_with_secret_tips,How to Use Guys with Secret Tips,남자사용설명서,A Manual on How to Use Men,"quirky, romantic, satire, comedy",Netflix,https://www.imdb.com/title/tt2934568/?ref_=nv_sr_srsg_0,1
64,R071,hyena,Hyena,하이에나,---,"offbeat, drama, courtroom, social issue",netflix,https://www.imdb.com/title/tt11534164/?ref_=nv_sr_srsg_6,1
65,R072,hymn_of_death,Hymn of Death,사의 찬미,Praise of Death,"sentimental, romantic, drama",netflix,https://www.imdb.com/title/tt8160064/?ref_=nv_sr_srsg_0,1
66,R073,i,I,아이,Child,"emotional, drama, friendship",Netflix,https://www.imdb.com/title/tt14891034/?ref_=nm_flmg_act_4,1
67,R075,ill_go_to_you_when_the_weather_is_nice,I'll Go to You When the Weather is Nice,날씨가 좋으면 찾아가겠어요,When the Weather is Fine___I'll Find You on a Beautiful Day,romance,viki,https://www.imdb.com/title/tt11535086/?ref_=fn_al_tt_1,1
68,R076,illang_the_wolf_brigade,Illang: The Wolf Brigade,인랑,人狼___Human-Wolf,"dystopian, violent, action, sci-fi, adventure, gritty",netflix,https://www.imdb.com/title/tt3967878/?ref_=nv_sr_srsg_0,1
69,R077,inheritors,Inheritors,"상속자들 - 왕관을 쓰려는 자, 그 무게를 견뎌라",Heirs___Heirs: He Who Wears the Crown Must Bear Its Weight___The Heirs,"swoonworthy, soupy, drama, romantic",viki,https://www.imdb.com/title/tt3243098/?ref_=nv_sr_srsg_4,1
70,R079,inspector_koo,Inspector Koo,구경이,A Wonderful Sight___Sightseeing,"psychological, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt14731794/?ref_=nv_sr_srsg_0,1
71,R080,iris,Iris,아이리스,---,"slick, suspenseful, thriller, political, based on books, exciting",netflix,https://www.imdb.com/title/tt1757202/?ref_=nv_sr_srsg_6,1
72,R082,its_okay_to_not_be_okay,It's Okay to Not Be Okay,사이코지만 괜찮아,Psycho but It's Okay,"swoonworthy, quirky, dramedy, drama, comedy, heartfelt, romantic",netflix,https://www.imdb.com/title/tt12451520/?ref_=nv_sr_srsg_0,1
73,R081,itaewon_class,Itaewon Class,이태원 클라쓰,梨泰院 클쓰,"swoonworthy, inspiring, drama, based on webtoons, social issue, emotional",netflix,https://www.imdb.com/title/tt11239552/?ref_=nv_sr_srsg_0,1
74,R083,jo_pilho_the_dawning_rage,Jo Pil-ho: The Dawning Rage,악질경찰,Bad Police,"gritty, thriller, rogue cop, drama",netflix,https://www.imdb.com/title/tt7738048/?ref_=nv_sr_srsg_0,1
75,R084,jump_like_a_witch,Jump like a Witch,언니들이 뛴다-마녀체력 농구부,Witch's Basketball Club___Witches' Basketball Club___Sisters are running - Witch Fitness Basketball Club___Unnies Are Running: Witch Fitness Basketball Team,"exciting, reality, basketball",netflix,https://mydramalist.com/721313-jump-like-a-witch,0
76,R085,juvenile_justice,Juvenile Justice,소년 심판,Juvenile Judgement,"drama, slow burn, courtroom, crime",netflix,https://www.imdb.com/title/tt15553922/?ref_=nv_sr_srsg_0,1
77,R086,kingdom,Kingdom,킹덤,---,"gruesome, gory, horror, drama, based on webtoon, political, violent, zombie, period piece",netflix,https://www.imdb.com/title/tt6611916/?ref_=nv_sr_srsg_6,1
78,R087,kingdom_ashin_of_the_north,Kingdom: Ashin of the North,킹덤: 아신전,---,"gruesome, gory, horror, drama, based on webtoon, period piece, violent",netflix,https://www.imdb.com/title/tt13412252/?ref_=fn_al_tt_1,1
79,R088,kiss_goblin,Kiss Goblin,키스요괴,Kiss Ghost,"drama, romance, fantasy",viki,https://www.imdb.com/title/tt14212332/?ref_=nv_sr_srsg_0,1
80,R089,korean_cold_noodle_rhapsody,Korean Cold Noodle Rhapsody,한국 냉면 랩소디,---,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt15772846/?ref_=nv_sr_srsg_0,1
81,R090,korean_pork_belly_rhapsody,Korean Pork Belly Rhapsody,한국 삼겹살 랩소디,---,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt14017966/?ref_=nv_sr_srsg_0,1
82,R091,larva_pendant,Larva Pendant,---,---,"goofy, kids, family, comedy",Netflix,https://www.imdb.com/title/tt19851736/,1
83,R092,law_school,Law School,로스쿨,---,"cerebral, mystery, ensemble, crime",netflix,https://www.imdb.com/title/tt13885336/?ref_=nv_sr_srsg_0,1
84,R093,lawless_lawyer,Lawless Lawyer,무법 변호사,Lawless Attorney,"emotional, suspenseful, thriller, crime, courtroom, exciting",netflix,https://www.imdb.com/title/tt8160178/?ref_=nv_sr_srsg_7,1
85,R094,lee_sugeun_the_sense_coach,Lee Su-geun: The Sense Coach,이수근의 눈치코치,Lee Soo Geun's Notice Coach,"clean-cut, showbiz, stand-up, comedy",netflix,https://www.imdb.com/title/tt14880280/?ref_=nv_sr_srsg_0,1
86,R095,life,Life,라이프,---,"cerebral, drama, medical, social issue",netflix,https://www.imdb.com/title/tt8243158/,1
87,R096,live,Live,라이브,---,"inspiring, drama, ensemble, crime",netflix,https://www.imdb.com/title/tt7976532/?ref_=fn_al_tt_1,1
88,R097,live_up_to_your_name,Live Up To Your Name,명불허전,Deserving of the Name,"inspiring, romantic, drama, medical ",netflix,https://www.imdb.com/title/tt7094874/?ref_=nv_sr_srsg_0,1
89,R100,love_ft_marriage_and_divorce,Love (ft. Marriage and Divorce),결혼작사 이혼작곡,結婚作詞 離婚作曲___Marriage Lyrics and Divorce Music,"soapy, drama, ensemble",netflix,https://www.imdb.com/title/tt13814840/?ref_=nv_sr_srsg_0,1
90,R098,love_alarm,Love Alarm,좋아하면 울리는,---,"sentimental, emotional, teen, romantic, drama, based on webtoon",netflix,https://www.imdb.com/title/tt9145880/?ref_=nv_sr_srsg_0,1
91,R099,love_and_leashes,Love and Leashes,모럴스,Moral Sense,"witty, intimate, comedy, romantic",netflix,https://www.imdb.com/title/tt15553956/?ref_=nv_sr_srsg_0,1
92,R101,lovestruck_in_the_city,Lovestruck in the City,도시남녀의 사랑법,都市男女의 사랑法___The Way of Love of City Men and Women,"Charming, Intimate, Mockumentary, romantic, drama, comedy",Netflix,https://www.imdb.com/title/tt13394544/?ref_=nv_sr_srsg_0,1
93,R102,lucid_dream,Lucid Dream,루시드 드림,---,"mind-bending, explosive, sci-fi, thriller, exciting",netflix,https://www.imdb.com/title/tt6830780/?ref_=nv_sr_srsg_0,1
94,R103,mad_for_each_other,Mad for Each Other,이 구역의 미친 X,The Crazy Guy in This District,"quirky, romantic, comedy",netflix,https://www.imdb.com/title/tt14596414/?ref_=nv_sr_srsg_0,1
95,R104,memories_of_the_alhambra,Memories of the Alhambra,알함브라 궁전의 추억,---,"mind-bending, suspenseful, sci-fi, thriller, romantic",netflix,https://www.imdb.com/title/tt8236556/?ref_=nv_sr_srsg_0,1
96,R105,military_prosecutor_doberman,Military Prosecutor Doberman,군검사 도베르만,Military Prosecutor Do Bae Man,"action, crime, mystery, drama",viki,https://www.imdb.com/title/tt17346230/?ref_=nv_sr_srsg_0,1
97,R106,mine,Mine,마인,---,"soapy, drama, keeping secrets",netflix,https://www.imdb.com/title/tt14023192/?ref_=nv_sr_srsg_3,1
98,R108,miniforce_super_dino_power,Miniforce: Super Dino Power,미니특공대:슈퍼공룡파워,---,"exciting, kids, dinosaurs, cartoon",netflix,---,0
99,R110,miracle_in_cell_no_7,Miracle in Cell No. 7,7번방의 선물,A Gift from Room 7,"comedy, drama, inspiring, heartfelt, tearjerker, emotional, social issue",Netflix,https://www.imdb.com/title/tt2659414/?ref_=nv_sr_srsg_2,1
100,R111,misaeng_incomplete_life,Misaeng: Incomplete Life,미생 - 아직 살아 있지 못한 자,---,"cerebral, understated, drama, based on webtoon, inspiring",netflix,https://www.imdb.com/title/tt4240730/?ref_=nv_sr_srsg_0,1
101,R112,miss_&_mrs_cops,Miss & Mrs. Cops,걸캅스,Girl Cops,"exciting, action, comedy, adventure",Netflix,https://www.imdb.com/title/tt10161238/?ref_=nv_sr_srsg_0,1
102,R113,miss_granny,Miss Granny,수상한 그녀,"""Suspicious Girl""","quirky, heartfelt, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt3516378/?ref_=nv_sr_srsg_0,1
103,R114,misty,Misty,미스티,---,"dark, suspenseful, mystery, romantic, crime",netflix,https://www.imdb.com/title/tt7890244/?ref_=nv_sr_srsg_4,1
104,R115,moment_of_eighteen,Moment of Eighteen,열여덟의 순간,Moment at Eighteen___18 Moments___At Eighteen,"drama, romance, comedy",viki,https://www.imdb.com/title/tt10474124/?ref_=nv_sr_srsg_0,1
105,R116,money_heist_korea_joint_economic_area,Money Heist: Korea Joint Economic Area,종이의 집: 공동경제구역,---,"suspenseful, exciting, thriller, crime",netflix,https://www.imdb.com/title/tt13696452/?ref_=nv_sr_srsg_3,1
106,R117,monkart,MONKART,---,---,"exciting, kids, cartoon",netflix,---,0
107,R118,monthly_magazine_home,Monthly Magazine Home,월간 집,Monthly House,"drama, romantic, comedy, healing, inspiring, heartfelt",Netflix,https://www.imdb.com/title/tt13885272/?ref_=nv_sr_srsg_0,1
108,R119,more_than_friends,More than Friends,친구에서 연인이 되는 경우의 수,境遇의 數___Number of Cases___Number of Cases to Go From Friends to Lovers,"romance, comedy",viki,https://www.imdb.com/title/tt12879170/?ref_=nv_sr_srsg_0,1
109,R121,move_to_heaven,Move to Heaven,무브 투 헤븐: 나는 유품정리사입니다,---,"Heartfelt, Emotional, Drama",Netflix,https://www.imdb.com/title/tt11052470/?ref_=nv_sr_srsg_0,1
110,R122,mr_boss,Mr. Boss,미스터 보스,Mister Boss,"heartfelt, goofy, action, comedy, exciting, adventure",Netflix,https://mydramalist.com/48941-youngsoo,0
111,R123,mr_queen,Mr. Queen,철인왕후,Queen Cheorin___No Touch Princess,"romance, comedy, fantasy, period piece",viki,https://www.imdb.com/title/tt13400006/?ref_=nv_sr_srsg_0,1
112,R124,mr_sunshine,Mr. Sunshine,미스터 션샤인,---,"emotional, exciting, period pieace, romantic, drama, political",netflix,https://www.imdb.com/title/tt7094780/?ref_=nv_sr_srsg_0,1
113,R125,my_country_the_new_age,My Country: The New Age,나의 나라,My Country,"heartfelt, inspiring, action, exciting, political, period pieces",netflix,https://www.imdb.com/title/tt10850888/?ref_=nv_sr_srsg_0,1
114,R126,my_first_first_love,My First First Love,첫사랑은 처음이라서,Because It's My First Love,"charming, sentimental, drama, romantic",netflix,https://www.imdb.com/title/tt8995604/?ref_=nv_sr_srsg_0,1
115,R127,my_girlfriend_is_an_agent,My Girlfriend is an Agent,7급 공무원,7th Grade Civil Servant,"romantic, comedy, action, quirky, goofy, exciting, adventure",Netflix,https://www.imdb.com/title/tt1432078/?ref_=nv_sr_srsg_0,1
116,R128,my_holo_love,My Holo Love,나 홀로 그대,I Holo You,"heartfelt, romantic, scifi, drama",netflix,https://www.imdb.com/title/tt11058644/?ref_=nv_sr_srsg_0,1
117,R129,my_id_is_gangnam_beauty,My ID is Gangnam Beauty,내 아이디는 강남미인,내 아이디는 江南美人___Gangnam Beauty,"swoonworthy, charming, drama, based on webtoon, romantic, sentimental",viki,https://www.imdb.com/title/tt8585954/?ref_=nv_sr_srsg_0,1
118,R130,my_liberation_notes,My Liberation Notes,나의 해방일지,My Liberation Diary,"understated, drama, ensemble",netflix,https://www.imdb.com/title/tt15146130/?ref_=nv_sr_srsg_0,1
119,R131,my_mister,My Mister,나의 아저씨,Mr. Lonely___My Ahjussi,"sentimental, understated, drama, inspiring",viki,https://www.imdb.com/title/tt7923710/?ref_=nv_sr_srsg_0,1
120,R132,my_name,My Name,마이 네임,---,"Dark, Suspenseful, Thriller, Crime",Netflix,https://www.imdb.com/title/tt12940504/?ref_=nv_sr_srsg_3,1
121,R133,my_only_love_song,My Only Love Song,마이 온리 러브송,---,"quirky, romantic, comedy",netflix,https://www.imdb.com/title/tt6125832/?ref_=nv_sr_srsg_0,1
122,R134,my_roommate_is_a_gumiho,My Roommate is a Gumiho,간 떨어지는 동거,肝 떨어지는 同居___Frightening Cohabitation,"romantic, comedy, fantasy",viki,https://www.imdb.com/title/tt13777028/?ref_=nv_sr_srsg_0,1
123,R135,my_runway,My Runway,마이 런웨이,---,"quirky, romantic, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt6968336/?ref_=nv_sr_srsg_0,1
124,R136,my_sassy_girl,My Sassy Girl,엽기적인 그녀,---,"charming, heartfelt, period piece, romantic, drama, based on books",Viki,https://www.imdb.com/title/tt6175760/?ref_=nv_sr_srsg_4,1
125,R137,my_sassy_girl_2001,My Sassy Girl (2001),엽기적인 그녀,That Bizarre Girl,"heartfelt, romantic, comedy, based on book",Netflix,https://www.imdb.com/title/tt0293715/?ref_=nv_sr_srsg_0,1
126,R138,my_secret_romance,My Secret Romance,애타는 로맨스,---,"charming, heartfelt, comedy, romantic",netflix,https://www.imdb.com/title/tt6300100/?ref_=nv_sr_srsg_0,1
