,show_id,show_name,english,korean,other,genres,cc_src,url,imdb
127,R139,my_shy_boss,My Shy Boss,내성적인 보스,Introvert Boss___Sensitive Boss,"campy, heartfelt, comedy, romantic, goofy",netflix,https://www.imdb.com/title/tt6257622/?ref_=nv_sr_srsg_0,1
128,R140,my_unfamiliar_family,My Unfamiliar Family,(아는 건 별로 없지만) 가족입니다,(I Don't Know Much But) We Are Family,"sentimental, emotional, drama",netflix,https://www.imdb.com/title/tt12458252/?ref_=nv_sr_srsg_0,1
129,R141,mystic_popup_bar,Mystic Pop-up Bar,쌍갑포차,雙甲布車___Twin Tops Bar,"quirky, heartfelt, fantasy, drama, based on webtoon",netflix,https://www.imdb.com/title/tt12246190/?ref_=nv_sr_srsg_0,1
130,R142,navillera,Navillera,나빌레라,---,"Heartfelt, Inspiring, Drama, Based on Webtoon",Netflix,https://www.imdb.com/title/tt13885302/?ref_=nv_sr_srsg_0,1
131,R143,never_give_up,Never Give Up,구필수는 없다,Goo Pil Soo Is Not There___There’s No Goo Pil Soo___You Can't Go Back___You Don't Have to Go Back,"quirky, drama, comedy",Netflix,https://www.imdb.com/title/tt21431154/?ref_=nv_sr_srsg_4,1
132,R144,nevertheless,"Nevertheless,","알고있지만,","I Know But,","intimate, romantic, drama, based on webtoon",netflix,https://www.imdb.com/title/tt14518284/?ref_=nv_sr_srsg_0,1
133,R145,new_world,New World,신세계로부터,Go to New World First___From the New World,"exciting, reality, competition",netflix,https://www.imdb.com/title/tt2625030/?ref_=nv_sr_srsg_6,1
134,R146,night_in_paradise,Night in Paradise,낙원의 밤,---,"Violent, Dark, Film Noir, Drama",Netflix,https://www.imdb.com/title/tt12792418/?ref_=nv_sr_srsg_0,1
135,R147,nightmare_high,Nightmare High,악몽선생,Nightmare Teacher,"psychological, teen, ensemble, mystery",netflix,https://www.imdb.com/title/tt6209442/?ref_=fn_al_tt_1,1
136,R148,now_we_are_breaking_up,"Now, We Are Breaking Up","지금, 헤어지는 중입니다",---,"romance, drama",viki,https://www.imdb.com/title/tt14408016/?ref_=nv_sr_srsg_0,1
137,R149,oh_my_baby,Oh My Baby,오 마이 베이비,---,"romantic, comedy, ensemble",viki,https://www.imdb.com/title/tt12324660/?ref_=nv_sr_srsg_0,1
138,R150,one_more_time,One More Time,헤어진 다음날,The Day After We Broke Up,"emotional, romantic, drama",netflix,https://www.imdb.com/title/tt6212990/?ref_=nv_sr_srsg_6,1
139,R151,one_spring_night,One Spring Night,봄밤,Spring Night,"heartfelt, emotional, drama",netflix,https://www.imdb.com/title/tt10192576/?ref_=nv_sr_srsg_0,1
140,R152,our_beloved_summer,Our Beloved Summer,그 해 우리는,That Year We,"intimate, romantic, comedy",netflix,https://www.imdb.com/title/tt15026724/?ref_=nv_sr_srsg_0,1
141,R153,our_blues,Our Blues,우리들의 블루스,---,"heartfelt, emotional, drama",netflix,https://www.imdb.com/title/tt19115260/?ref_=nv_sr_srsg_0,1
142,R154,paiks_spirit,Paik's Spirit,백스피릿,Baek's Spirit,"talk show, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt15381696/?ref_=nv_sr_srsg_0,1
143,R155,pandora,Pandora,판도라,---,"Dark, Emotional, Suspenseful, Thriller, Drama, Social Issue",Netflix,https://www.imdb.com/title/tt6302160/?ref_=nv_sr_srsg_4,1
144,R156,parasite,Parasite,기생충,寄生蟲,"comedy, drama, thriller",netflix,https://www.imdb.com/title/tt6751668/?ref_=nv_sr_srsg_0,1
145,R157,park_narae_glamour_warning,Park Na-rae: Glamour Warning,박나래의 농염주의보,---,"Raunchy, Irreverent, Stand-Up, Comedy",Netflix,https://www.imdb.com/title/tt10927068/?ref_=nv_sr_srsg_0,1
146,R158,parttime_idol,Part-Time Idol,비정규직 아이돌,Temporary Idols,"dramedy, drama, comedy, ensemble, loveable loser, music, musicals",netflix,https://www.imdb.com/title/tt8835780/?ref_=nv_sr_srsg_0,1
147,R159,persona,Persona,페르소나,---,"cerebral, drama, anthology",netflix,https://www.imdb.com/title/tt10027990/?ref_=nv_sr_srsg_6,1
148,R160,pinkfong_&_baby_sharks_space_adventure,Pinkfong & Baby Shark's Space Adventure,---,---,"Feel-Good, Kids Music, Dinosaurs, Kids & Family",Netflix,https://www.imdb.com/title/tt11727004/?ref_=nv_sr_srsg_0,1
149,R161,pororo_&_fairy_tales,Pororo & Fairy Tales,---,---,"magical, feel-good, kids, cartoon",netflix,---,0
150,R162,pororo_the_little_penguin,Pororo The Little Penguin,뽀롱뽀롱 뽀로로,---,"kids, animals, cartoons",netflix,https://www.imdb.com/title/tt3968668/,1
151,R163,possessed,Possessed,빙의,Possession,"chilling, scary, fantasy, crime, dark",netflix,https://www.imdb.com/title/tt9537306/?ref_=nv_sr_srsg_6,1
152,R164,prison_playbook,Prison Playbook,슬기로운 감빵생활,---,"witty, gritty, drama, emotional",netflix,https://www.imdb.com/title/tt7622902/?ref_=nv_sr_srsg_7,1
153,R165,private_lives,Private Lives,사생활,私生活,"Slick, Suspenseful, Thriller, Exciting, Drama",Netflix,https://www.imdb.com/title/tt12560270/?ref_=nv_sr_srsg_3,1
154,R166,psychokinesis,Psychokinesis,염력,念力,"mind-bending, explosive, action, comedy, sci-fi, adventure",netflix,https://www.imdb.com/title/tt6890582/?ref_=nv_sr_srsg_0,1
155,R167,pucca,Pucca,뿌까,Pucca: Love Recipe,"quirky, goofy, kids, cartoon",netflix,https://www.themoviedb.org/tv/111358-pucca-love-recipe?language=en-US,0
156,R168,racket_boys,Racket Boys,라켓소년단,라켓少年團,"Inspiring, Feel-Good, Teen, Drama",Netflix,https://www.imdb.com/title/tt14482414/?ref_=nv_sr_srsg_0,1
157,R169,rain_or_shine,Rain or Shine,그냥 사랑하는 사이,Just Between Lovers___Just in Love,"emotional, romantic, drama",netflix,https://www.imdb.com/title/tt7521898/?ref_=nv_sr_srsg_3,1
158,R170,rainbow_ruby,Rainbow Ruby,레인보우 루비,彩虹宝宝,"educational, girl power, animals, kids",netflix,https://www.imdb.com/title/tt5828144/,1
159,R171,record_of_youth,Record of Youth,청춘기록,青春紀錄,"Swoonworthy, Charming, Drama, Romantic, Understated",Netflix,https://www.imdb.com/title/tt12850322/?ref_=nv_sr_srsg_0,1
160,R173,reflection_of_you,Reflection of You,너를 닮은 사람,Someone Who Looks Like You,"Drama, Love & Obsession, Based on Books",Netflix,https://www.imdb.com/title/tt14684086/?ref_=nv_sr_srsg_0,1
161,R174,remarriage_and_desires,Remarriage and Desires,블랙의 신부,Black Bride,"soapy, drama, ensemble",netflix,https://www.imdb.com/title/tt15268768/?ref_=nv_sr_srsg_0,1
162,R175,reply_1988,Reply 1988,응답하라 1988,應答하라 1988___Answer Me 1988___Respond 1988,"charming, nostalgic, dramedy, drama, comedy, heartfelt, romantic",viki,https://www.imdb.com/title/tt5182866/?ref_=nv_sr_srsg_0,1
163,R176,reply_1997,Reply 1997,응답하라 1997,Answer Me 1997___Reply to 1997___Respond 1997,"charming, nostalgic, dramedy, drama, comedy, heartfelt, romantic",viki,https://www.imdb.com/title/tt2782216/?ref_=nv_sr_srsg_4,1
164,R177,revenger,Revenger,리벤져,---,"Violent, Action, Survival, Adventure, Martial Arts",Netflix,https://www.imdb.com/title/tt9426186/?ref_=nv_sr_srsg_5,1
165,R178,revolutionary_love,Revolutionary Love,변혁의 사랑,Byun Hyuk's Love,"charming, quirky, comedy, romantic",viki,https://www.imdb.com/title/tt7340800/?ref_=nv_sr_srsg_0,1
166,R180,romance_is_a_bonus_book,Romance is a Bonus Book,로맨스는 별책부록,---,"Swoonworthy, Charming, Sentimental, Dramedy, Romantic, Drama, Comedy",Netflix,https://www.imdb.com/title/tt9130542/?ref_=nv_sr_srsg_0,1
167,R181,rookie_historian_goo_haeryung,Rookie Historian Goo Hae-Ryung,신입사관 구해령,---,"Swoonworthy, Heartfelt, Period Piece, Inspiring, Romantic, Drama",Netflix,https://www.imdb.com/title/tt10406128/?ref_=nv_sr_srsg_0,1
168,R182,rugal,Rugal,루갈,Dry Tears,"gritty, scifi, ensemble, drama, based on webtoon, crime",netflix,https://www.imdb.com/title/tt11769798/?ref_=nv_sr_srsg_0,1
169,R183,run_on,Run On,런 온,---,"romantic, dramedy, drama, comedy, opposites-attract",netflix,https://www.imdb.com/title/tt13271834/?ref_=nv_sr_srsg_0,1
170,R184,running_man,Running Man,---,---,"exciting, kids, animals, cartoons",netflix,https://www.imdb.com/title/tt11256118/?ref_=fn_tt_tt_4,1
171,R185,search_www,Search: WWW,검색어를 입력하세요 WWW,Type in Search Word: WWW,"swoonworthy, heartfelt, drama, romantic, inspiring",viki,https://www.imdb.com/title/tt10253244/?ref_=nv_sr_srsg_0,1
172,R186,seoul_station,Seoul Station,서울역,---,"dark, suspenseful, animation, horror",Netflix,https://www.imdb.com/title/tt3845670/?ref_=nv_sr_srsg_0,1
173,R188,she_would_never_know,She Would Never Know,"선배, 그 립스틱 바르지 마요","Senior, Don't Put on That Lipstick","swoonworthy, heartfelt, drama, romantic",netflix,https://www.imdb.com/title/tt13446244/?ref_=nv_sr_srsg_0,1
174,R189,signal,Signal,시그널,---,"dark, suspenseful, thriller, crime",Viki,https://www.imdb.com/title/tt5332206/?ref_=nv_sr_srsg_3,1
175,R190,silenced,Silenced,도가니,The Crucible,"dark, emotional, tearjerker, suspenseful, based on real life, social issue",netflix,https://www.imdb.com/title/tt2070649/?ref_=nv_sr_srsg_0,1
176,R191,singles_inferno,Single's Inferno,솔로지옥,Solo Hell,"intimate, romantic, reality, competition",netflix,https://www.imdb.com/title/tt16283666/?ref_=nv_sr_srsg_0,1
177,R192,sisyphus_the_myth,Sisyphus: The Myth,시지프스: the myth,---,"Sci-Fi, Time Travel, Thriller, Suspenseful",Netflix,https://www.imdb.com/title/tt13715448/?ref_=nv_sr_srsg_0,1
178,R193,sky_castle,SKY Castle,SKY 캐슬,---,"emotional, drama, ensemble",viki,https://www.imdb.com/title/tt9151274/?ref_=nv_sr_srsg_0,1
179,R194,so_not_worth_it,So Not Worth It,내일 지구가 망해버렸으면 좋겠어,I Hope the Earth Collapses Tomorrow,"quirky, sitcom, ensemble, comedy",netflix,https://www.imdb.com/title/tt13186480/?ref_=nv_sr_srsg_0,1
180,R195,something_in_the_rain,Something in the Rain,밥 잘 사주는 예쁜 누나,---,"understated, intimate, drama, romantic",netflix,https://www.imdb.com/title/tt8078816/?ref_=nv_sr_srsg_0,1
181,R196,space_sweepers,Space Sweepers,승리호,勝利號___Spaceship Victory,"exciting, scifi, ensemble, action, adventure",netflix,https://www.imdb.com/title/tt12838766/?ref_=nv_sr_srsg_0,1
182,R197,spark,Spark,스파크,---,"Charming, Goofy, Drama, Romantic",Netflix,https://www.imdb.com/title/tt6409112/?ref_=fn_tt_tt_4,1
183,R198,squid_game,Squid Game,오징어 게임,---,"Suspenseful, Thriller, Ensemble, Drama",Netflix,https://www.imdb.com/title/tt10919420/?ref_=nv_sr_srsg_0,1
184,R199,startup,Start-Up,스타트업,---,"charming, inspiring, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt12867810/?ref_=nv_sr_srsg_0,1
185,R200,steel_rain,Steel Rain,강철비,鋼鐵비,"explosive, exciting, action, military, adventure",netflix,https://www.imdb.com/title/tt6769508/?ref_=nv_sr_srsg_0,1
186,R201,steel_rain_2,Steel Rain 2,강철비 2: 정상회담,Steel Rain 2: Summit,"action, drama",opensubs,https://www.imdb.com/title/tt10516176/?ref_=nv_sr_srsg_0,1
187,R202,stranger,Stranger,비밀의 숲,Secret Forest,"cerebral, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt6461346/?ref_=nv_sr_srsg_5,1
188,R204,strongest_deliveryman,Strongest Deliveryman,최강 배달꾼,最強 配達꾼,"Sentimental, Inspiring, Drama, Romantic",Netflix,https://www.imdb.com/title/tt7022748/?ref_=nv_sr_srsg_0,1
189,R205,svaha_the_sixth_finger,Svaha: The Sixth Finger,사바하,娑婆訶,"chilling, scary, mystery, suspenseful, thriller",netflix,https://www.imdb.com/title/tt7299298/?ref_=nv_sr_srsg_0,1
190,R206,sweet_&_sour,Sweet & Sour,새콤달콤,---,"romantic, comedy, based on books",netflix,https://www.imdb.com/title/tt14599938/?ref_=nv_sr_srsg_0,1
191,R207,sweet_home,Sweet Home,스위트홈,---,"scary, suspenseful, horror, drama, based on webtoon",netflix,https://www.imdb.com/title/tt11612120/?ref_=nv_sr_srsg_0,1
192,R208,tale_of_the_ninetailed,Tale of the Nine-Tailed,구미호뎐,九尾狐傳___Tale of The Nine-Tailed Fox,"romance, fantasy",viki,https://www.imdb.com/title/tt12879418/?ref_=nv_sr_srsg_0,1
193,R209,tasty_ending,Tasty Ending,맛있는 엔딩,---,"sentimental, heartfelt, drama",Netflix,https://mydramalist.com/700623-tasty-ending,0
194,R210,tayo_and_little_wizards,Tayo and Little Wizards,---,---,"magical, exciting, kids, cartoons",netflix,https://en.wikipedia.org/wiki/Tayo_the_Little_Bus,0
195,R211,tayo_the_little_bus,Tayo the Little Bus,꼬마버스 타요,---,"feel-good, goofy, educational, kids, cartoon",netflix,https://www.imdb.com/title/tt3270208/,1
196,R212,that_winter_the_wind_blows,"That Winter, the Wind Blows","그 겨울, 바람이 분다",---,"Emotional, Romantic, Drama",Netflix,https://www.imdb.com/title/tt2806646/?ref_=nv_sr_srsg_0,1
197,R213,the_8th_night,The 8th Night,제8일의 밤,---,"chilling, scary, supernatural, horror, dark",netflix,https://www.imdb.com/title/tt14781176/?ref_=nv_sr_srsg_0,1
198,R214,the_battleship_island,The Battleship Island,군함도,軍艦島,"actiona, ensemble, social issues, adventure, drama",netflix,https://www.imdb.com/title/tt5969696/?ref_=nv_sr_srsg_0,1
199,R215,the_beast_and_the_beauty,The Beast and the Beauty,뷰티 앤 더 비스트,---,"feel-good, romantic, comedy",Netflix,https://www.imdb.com/title/tt0485553/,1
200,R216,the_berlin_file,The Berlin File,베를린,"""Berlin""","Suspenseful, Exciting, Action, Adventure, Spy",Netflix,https://www.imdb.com/title/tt2357377/?ref_=nv_sr_srsg_0,1
201,R217,the_bride_of_habaek,The Bride of Habaek,하백의 신부 2017,The Bride of Habaek 2017___Bride of the Water God 2017,"swoonworthy, charming, fantasy, drama, based on web-toon, romantic",Viki,https://www.imdb.com/title/tt6385752/?ref_=nv_sr_srsg_0,1
202,R218,the_call,The Call,콜,---,"Chilling, Psychological, Thriller, Scary",Netflix,https://www.imdb.com/title/tt10530176/?ref_=nv_sr_srsg_0,1
203,R219,the_chase,The Chase,반드시 잡는다,---,"suspenseful, thriller, slow burn, drama",netflix,https://www.imdb.com/title/tt8088944/?ref_=nv_sr_srsg_6,1
204,R220,the_chaser,The Chaser,추격자,---,"violent, suspenseful, thriller",netflix,https://www.imdb.com/title/tt1190539/?ref_=nv_sr_srsg_0,1
205,R221,the_crowned_clown,The Crowned Clown,왕이 된 남자,王이 된 男子___The Man who Became King,"emotional, exciting, period piece, romantic, drama",Viki,https://www.imdb.com/title/tt9266592/?ref_=nv_sr_srsg_0,1
206,R222,the_cursed_lesson,The Cursed Lesson,요가학원: 죽음의 쿤달리니,요가학원: 죽음의 쿤달리니,"scary, dark, supernatural, horror",netflix,https://www.imdb.com/title/tt13478812/?ref_=nv_sr_srsg_0,1
207,R223,the_drug_king,The Drug King,마약왕,麻藥王,"violent, true crime, drug lord, based on real life, drama",netflix,https://www.imdb.com/title/tt6914542/?ref_=nv_sr_srsg_0,1
208,R224,the_fortress,The Fortress,남한산성,南漢山城,"period piece, ensemble, military",netflix,https://www.imdb.com/title/tt7160176/?ref_=nv_sr_srsg_0,1
209,R225,the_girl_on_a_bulldozer,The Girl on a Bulldozer,불도저에 탄 소녀,---,"crime, mystery, drama, emotional, corruption",Netflix,https://www.imdb.com/title/tt19632924/?ref_=nv_sr_srsg_0,1
210,R226,the_good_detective,The Good Detective,모범형사,模範刑事___A Model Detective,"cerebral, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt12504214/?ref_=nv_sr_srsg_0,1
211,R227,the_guest,The Guest,손 the guest,---,"ominous, chilling, horror, mysteries, based on books, scary",netflix,https://www.imdb.com/title/tt8801670/?ref_=fn_tt_tt_3,1
212,R228,the_haunted_house,The Haunted House,신비아파트,---,"magical, ominous, kids, heartfelt, cartoons",netflix,https://www.imdb.com/title/tt9518312/?ref_=nv_sr_srsg_0,1
213,R229,the_hungry_and_the_hairy,The Hungry and the Hairy,먹보와 털보,Glutton & Furry,"relaxing, fell-good, lifestyle, food, travel",netflix,https://www.imdb.com/title/tt16088530/?ref_=nv_sr_srsg_0,1
214,R230,the_k2,The K2,더 케이투,K2,"explosive, exciting, action, romantic, drama, political",viki,https://www.imdb.com/title/tt5966882/?ref_=nv_sr_srsg_0,1
215,R231,the_king_eternal_monarch,The King: Eternal Monarch,더 킹: 영원의 군주,더 킹: 永遠의 君主,"swoonworthy, emotional, fantasy, romantic, drama",netflix,https://www.imdb.com/title/tt11228748/?ref_=nv_sr_srsg_0,1
216,R232,the_kings_affection,The King's Affection,연모,Affection,"emotional, romantic, period piece, drama, based on comics",netflix,https://www.imdb.com/title/tt14609428/?ref_=nv_sr_srsg_0,1
217,R234,the_lies_within,The Lies Within,모두의 거짓말,Everyone's Lies,"suspenseful, thriller, slowburn, crime, political",netflix,https://www.imdb.com/title/tt10919902/?ref_=nv_sr_srsg_3,1
218,R235,the_miracle,The Miracle,더 미라클,My Secret Diary,"quirky, romantic, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt6703344/?ref_=fn_tt_tt_10,1
219,R236,the_pirates_the_last_royal_treasure,The Pirates: The Last Royal Treasure,해적: 도깨비 깃발,海賊: 도깨비 旗발___The Pirates: Goblin Flag,"Explosive, Exciting, Action, Adventure, Comedy",Netflix,https://www.imdb.com/title/tt17491040/?ref_=nv_sr_srsg_0,1
220,R237,the_raincoat_killer_chasing_a_predator_in_korea,The Raincoat Killer: Chasing a Predator in Korea,레인코트 킬러: 유영철을 추격하다,Raincoat Killer: Chase Yu Young Chul,"Dark, True Crime, Serial Killer, Docuseries, Crime",Netflix,https://www.imdb.com/title/tt15484900/?ref_=nv_sr_srsg_0,1
221,R238,the_red_sleeve,The Red Sleeve,옷소매 붉은 끝동,The Red Sleeve Cuff,"drama, romance, period piece",viki,https://www.imdb.com/title/tt14687200/?ref_=nv_sr_srsg_0,1
222,R239,the_reservoir_game,The Reservoir Game,저수지 게임,---,"investigative, documentary, fraud",netflix,https://www.imdb.com/title/tt7867724/?ref_=nv_sr_srsg_8,1
223,R240,the_school_nurse_files,The School Nurse Files,보건교사 안은영,保健教師 안은영___School Nurse Ahn Eun-young,"Fantasy, Based on Books, Quirky, High School",Netflix,https://www.imdb.com/title/tt12879522/?ref_=nv_sr_srsg_0,1
224,R241,the_silent_sea,The Silent Sea,고요의 바다,---,"Mysteries, Sci-Fi, Suspenseful, Dystopian",Netflix,https://www.imdb.com/title/tt11570202/?ref_=nv_sr_srsg_0,1
225,R242,the_sound_of_magic,The Sound of Magic,안나라수마나라,---,"heartfelt, emotional, musical, music, drama, based on webtoon",netflix,https://www.imdb.com/title/tt14460684/?ref_=nv_sr_srsg_0,1
226,R243,the_sound_of_your_heart,The Sound of Your Heart,마음의 소리,---,"Absurd, Goofy, Sitcom, Based on Webtoon, comedy, drama",Netflix,https://www.imdb.com/title/tt4613520/?ref_=nv_sr_srsg_0,1
227,R244,the_sound_of_your_heart_animation,The Sound of Your Heart (Animation),마음의 소리,---,"Absurd, Goofy, Sitcom, Based on Webtoon, comedy, animation",Netflix,https://en.wikipedia.org/wiki/The_Sound_of_Heart,0
228,R246,the_sound_of_your_heart_special_1,The Sound of Your Heart Special 1,마음의 소리 스페셜 1,---,"Absurd, goofy, comedy, based on webtoon, animation",Netflix,https://en.wikipedia.org/wiki/The_Sound_of_Heart,0
229,R245,the_sound_of_your_heart_reboot,The Sound of Your Heart: Reboot,마음의 소리 리부트,마음의 소리-리부트:얼간이들___Sound of Your Heart - Reboot: Jerks___Sound of Your Heart: Season 2,"Goofy, Sitcom, loveable loser, based on webtoon, comedy",netflix,https://www.imdb.com/title/tt7885558/?ref_=nv_sr_srsg_1,1
230,R247,the_thieves,The Thieves,도둑들,The Professionals,"action, crime, mystery, drama",netflix,https://www.imdb.com/title/tt2330866/?ref_=nv_sr_srsg_0,1
231,R248,the_uncanny_counter,The Uncanny Counter,경이로운 소문,Amazing So Mun___Amazing Rumor,"Exciting, fantasy, ensemble, based on webtoon, drama",Netflix,https://www.imdb.com/title/tt13273826/?ref_=nv_sr_srsg_0,1
232,R249,the_unjust,The Unjust,부당거래,Unfair trade___Bad Deal,"gritty, dark, film noir, drama, social issue, suspenseful",netflix,https://www.imdb.com/title/tt1843120/?ref_=nv_sr_srsg_0,1
233,R250,the_world_of_the_married,The World of the Married,부부의 세계,夫婦의 世界___Couple's World,"dark, suspenseful, drama, romantic",Netflix,https://www.imdb.com/title/tt12042964/?ref_=nv_sr_srsg_0,1
234,R251,thirtynine,Thirty-Nine,"서른, 아홉","Thirty, Nine","heartfelt, emotional, drama, romantic",Netflix,https://www.imdb.com/title/tt15181094/?ref_=nv_sr_srsg_0,1
235,R252,time_to_hunt,Time to Hunt,사냥의 시간,---,"dystopian, gritty, thriller",netflix,https://www.imdb.com/title/tt11777040/?ref_=nv_sr_srsg_0,1
236,R253,titipo_titipo,Titipo Titipo,띠띠뽀 띠띠뽀,Titipo the Little Train,"feel-good, kids, cartoon",Netflix,https://www.imdb.com/title/tt12987396/?ref_=nv_sr_srsg_0,1
237,R254,tomorrow,Tomorrow,내일,來日,"emotional, fantasy, ensemble, based on webtoon, drama",Netflix,https://www.imdb.com/title/tt18926162/?ref_=nv_sr_srsg_9,1
238,R255,touch_your_heart,Touch Your Heart,진심이 닿다,When Sincerity Reaches___Reach of Sincerity,"swoonworthy, charming, comedy, courtroom, romantic, heartfelt",Viki,https://www.imdb.com/title/tt9466990/?ref_=nv_sr_srsg_0,1
239,R256,train_to_busan,Train to Busan,부산행부산행,釜山行___To Busan,"horror, supernatural, action, zombie",netflix,https://www.imdb.com/title/tt5700672/?ref_=nv_sr_srsg_0,1
240,R257,true_beauty,True Beauty,여신강림,女神降臨___The Advent of a Goddess,"drama, romance, comedy",viki,https://www.imdb.com/title/tt13274038/?ref_=nv_sr_srsg_0,1
241,R258,tune_in_for_love,Tune in for Love,유열의 음악앨범,Yoo Yeol's Music Album,"nostalgic, understated, drama, heartfelt, romantic",netflix,https://www.imdb.com/title/tt10763618/?ref_=nv_sr_srsg_0,1
242,R259,twenty_five_twenty_one,Twenty Five Twenty One,스물다섯 스물하나,---,"nostalgic, inspiring, drama, romantic, intimate",netflix,https://www.imdb.com/title/tt17513352/?ref_=nv_sr_srsg_0,1
243,R260,twogether,Twogether,투게더,We Go Twogether,"feel-good, lifestyle, travel, reality, food",Netflix,https://www.imdb.com/title/tt12486430/?ref_=nv_sr_srsg_2,1
244,R261,vagabond,Vagabond,배가본드,---,"exciting, thriller, spy, drama",netflix,https://www.imdb.com/title/tt8523042/?ref_=nv_sr_srsg_0,1
245,R262,veteran,Veteran,베테랑,---,"slick, exciting, film noir, action, adventure",netflix,https://www.imdb.com/title/tt4768764/?ref_=nv_sr_srsg_0,1
246,R263,vincenzo,Vincenzo,빈센조,---,"dramedy, drama, comedy, corruption, social issue",Netflix,https://www.imdb.com/title/tt13433812/?ref_=nv_sr_srsg_0,1
247,R264,voice,Voice,보이스,The Voice,"rousing, dark, thriller, crime, suspenseful",netflix,https://www.imdb.com/title/tt6212854/?ref_=nv_sr_srsg_0,1
248,R265,warning_do_not_play,Warning: Do Not Play,암전,---,"scary, dark, supernatural, horror",Netflix,https://www.imdb.com/title/tt10801398/?ref_=nv_sr_srsg_0,1
249,R266,was_it_love,Was It Love?,"우리, 사랑했을까",Did We Love?,"charming, heartfelt, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt12525622/?ref_=nv_sr_srsg_0,1
250,R267,welcome_to_waikiki,Welcome to Waikiki,으라차차 와이키키,---,"quirky, goofy, sitcom, comedy",netflix,https://www.imdb.com/title/tt7890304/?ref_=nv_sr_srsg_0,1
251,R268,welcome_to_wedding_hell,Welcome to Wedding Hell,결혼백서,Marriage White Paper,"romantic, drama, marriage",netflix,https://www.imdb.com/title/tt20192096/?ref_=nv_sr_srsg_0,1
252,R269,what_happened_to_mr_cha,What Happened to Mr. Cha?,차인표,---,"absurd, comedy, celebrities",netflix,https://www.imdb.com/title/tt13667212/?ref_=nv_sr_srsg_0,1
253,R270,whats_wrong_with_secretary_kim,What's Wrong with Secretary Kim?,김비서가 왜 그럴까,Why Would Secretary Kim Do That?___Why Secretary Kim?,"drama, romance, comedy",viki,https://www.imdb.com/title/tt8242904/?ref_=nv_sr_srsg_0,1
254,R271,when_my_love_blooms,When My Love Blooms,화양연화 - 삶이 꽃이 되는 순간,The Most Beautiful Moment in Life — The Moment Life Becomes a Flower,"sentimental, understated, drama, romantic, intimate",viki,https://www.imdb.com/title/tt12358696/?ref_=nv_sr_srsg_0,1
255,R272,when_the_camellia_blooms,When the Camellia Blooms,동백꽃 필 무렵,---,"romantic, drama, family relationship",netflix,https://www.imdb.com/title/tt10826064/?ref_=nv_sr_srsg_0,1
256,R273,while_you_were_sleeping,While You Were Sleeping,당신이 잠든 사이에,WYWS,"romance, comedy, fantasy, drama",viki,https://www.imdb.com/title/tt6256484/?ref_=nv_sr_srsg_3,1
257,R274,white_nights,White Nights,불야성,不夜城___Night Light,"drama, rags to riches",netflix,https://www.imdb.com/title/tt6168004/?ref_=fn_tt_tt_4,1
258,R275,wish_you,Wish You,위시 유 : 나의 마음속 너의 멜로디 (영화),Wish You: Your Melody from My Heart (Movie),"sentimental, understated, drama, lgbtq, romantic",Netflix,https://www.imdb.com/title/tt13866142/?ref_=nv_sr_srsg_1,1
259,R276,yaksha_ruthless_operations,Yaksha: Ruthless Operations,야차,夜叉,"gritty, dark, action, spy, adventure, suspenseful",Netflix,https://www.imdb.com/title/tt12663250/?ref_=nv_sr_srsg_0,1
260,R277,yg_future_strategy_office,YG Future Strategy Office,YG전략자료본부,YG Strategic Resource Center,"offbeat, raunchy, mockumentary, sitcom, comedy, irreverent",netflix,https://www.imdb.com/title/tt8129694/?ref_=nv_sr_srsg_0,1
261,R278,yoo_byung_jae_discomfort_zone,Yoo Byung Jae: Discomfort Zone,---,---,"deadpan, stand-up, social, comedy",netflix,https://www.imdb.com/title/tt8948740/?ref_=nv_sr_srsg_1,1
262,R279,yoo_byung_jae_too_much_information,Yoo Byung Jae: Too Much Information,---,---,"stand-up, comedy",netflix,https://www.imdb.com/title/tt8140738/?ref_=nv_sr_srsg_5,1
263,R280,you_are_my_spring,You Are My Spring,너는 나의 봄,---,"intimate, suspenseful, drama, romantic",Netflix,https://www.imdb.com/title/tt14169816/?ref_=nv_sr_srsg_0,1
264,R030,cafe_minamdang,Cafe Minamdang,미남당,---,"suspenseful, thriller, serial killer, crime, based on books",Netflix,https://www.imdb.com/title/tt21049186/?ref_=nv_sr_srsg_0,1
265,R052,extraordinary_attorney_woo,Extraordinary Attorney Woo,이상한 변호사 우영우,Strange Lawyer Woo Young-woo,"heartfelt, inspiring, drama, courtroom, social issue",Netflix,https://www.imdb.com/title/tt20869502/?ref_=nv_sr_srsg_0,1
266,R038,coco_mong,Coco Mong,코코몽,---,"goofy, educational, kids",Netflix,https://www.imdb.com/title/tt9892608/,1
267,R107,miniforce,Miniforce,미니특공대,---,"goofy, exciting, kids, cartoon",netflix,https://www.imdb.com/title/tt9198020/?ref_=nv_sr_srsg_0,1
268,R109,miniforce_x,Miniforce X,미니특공대X,---,"exciting, kids, superpowers, cartoon",netflix,https://www.imdb.com/title/tt10339932/?ref_=nv_sr_srsg_6,1
