English,Korean,Other,DL,ISSUE,CC SRC,Validate,Assign,Genres,List,Link,IMDb
Korean Cold Noodle Rhapsody,한국 냉면 랩소디,---,1,---,netflix,1,-done,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt15772846/?ref_=nv_sr_srsg_0,1
Korean Pork Belly Rhapsody,한국 삼겹살 랩소디,---,1,---,netflix,1,-done,"relaxing, food, wine, social, cultural, docuseries",netflix,https://www.imdb.com/title/tt14017966/?ref_=nv_sr_srsg_0,1
Larva Pendant,---,---,1,"No dialogue, but there is korean subs lol",Netflix,1,-done,"goofy, kids, family, comedy",netflix,https://www.imdb.com/title/tt19851736/,1
Law School,로스쿨,---,1,---,netflix,1,-done,"cerebral, mystery, ensemble, crime",netflix,https://www.imdb.com/title/tt13885336/?ref_=nv_sr_srsg_0,1
Lawless Lawyer,무법 변호사,Lawless Attorney,1,"resolved
sk vpn",netflix,1,-done,"emotional, suspenseful, thriller, crime, courtroom, exciting",netflix,https://www.imdb.com/title/tt8160178/?ref_=nv_sr_srsg_7,1
Lee Su-geun: The Sense Coach,이수근의 눈치코치,Lee Soo Geun's Notice Coach,1,---,netflix,1,-done,"clean-cut, showbiz, stand-up, comedy",netflix,https://www.imdb.com/title/tt14880280/?ref_=nv_sr_srsg_0,1
Life,라이프,---,1,sk vpn,netflix,1,-done,"cerebral, drama, medical, social issue",netflix,https://www.imdb.com/title/tt8243158/,1
Live,라이브,---,1,"resolved
sk vpn",netflix,1,-done,"inspiring, drama, ensemble, crime",netflix,https://www.imdb.com/title/tt7976532/?ref_=fn_al_tt_1,1
Live Up To Your Name,명불허전,Deserving of the Name,1,"resolved
sk vpn",netflix,1,-done,"inspiring, romantic, drama, medical ",netflix,https://www.imdb.com/title/tt7094874/?ref_=nv_sr_srsg_0,1
Love (ft. Marriage and Divorce),결혼작사 이혼작곡,結婚作詞 離婚作曲___Marriage Lyrics and Divorce Music,1,---,netflix,1,-done,"soapy, drama, ensemble",netflix,https://www.imdb.com/title/tt13814840/?ref_=nv_sr_srsg_0,1
Love Alarm,좋아하면 울리는,---,1,---,netflix,1,-done,"sentimental, emotional, teen, romantic, drama, based on webtoon",netflix,https://www.imdb.com/title/tt9145880/?ref_=nv_sr_srsg_0,1
Love and Leashes,모럴스,Moral Sense,1,---,netflix,1,-done,"witty, intimate, comedy, romantic",netflix,https://www.imdb.com/title/tt15553956/?ref_=nv_sr_srsg_0,1
Lovestruck in the City,도시남녀의 사랑법,都市男女의 사랑法___The Way of Love of City Men and Women,1,---,Netflix,1,-done,"Charming, Intimate, Mockumentary, romantic, drama, comedy",netflix,https://www.imdb.com/title/tt13394544/?ref_=nv_sr_srsg_0,1
Lucid Dream,루시드 드림,---,1,---,netflix,1,-done,"mind-bending, explosive, sci-fi, thriller, exciting",netflix,https://www.imdb.com/title/tt6830780/?ref_=nv_sr_srsg_0,1
Mad for Each Other,이 구역의 미친 X,The Crazy Guy in This District,1,---,netflix,1,-done,"quirky, romantic, comedy",netflix,https://www.imdb.com/title/tt14596414/?ref_=nv_sr_srsg_0,1
Memories of the Alhambra,알함브라 궁전의 추억,---,1,sk vpn,netflix,1,-done,"mind-bending, suspenseful, sci-fi, thriller, romantic",netflix,https://www.imdb.com/title/tt8236556/?ref_=nv_sr_srsg_0,1
Military Prosecutor Doberman,군검사 도베르만,Military Prosecutor Do Bae Man,1,---,viki,1,-done,"action, crime, mystery, drama",listed,https://www.imdb.com/title/tt17346230/?ref_=nv_sr_srsg_0,1
Mine,마인,---,1,---,netflix,1,-done,"soapy, drama, keeping secrets",netflix,https://www.imdb.com/title/tt14023192/?ref_=nv_sr_srsg_3,1
Miniforce: Super Dino Power,미니특공대:슈퍼공룡파워,---,1,---,netflix,1,-done,"exciting, kids, dinosaurs, cartoon",netflix,---,0
Miracle in Cell No. 7,7번방의 선물,A Gift from Room 7,1,skvpn,Netflix,1,-done,"comedy, drama, inspiring, heartfelt, tearjerker, emotional, social issue",listed,https://www.imdb.com/title/tt2659414/?ref_=nv_sr_srsg_2,1
Misaeng: Incomplete Life,미생 - 아직 살아 있지 못한 자,---,1,---,netflix,1,-done,"cerebral, understated, drama, based on webtoon, inspiring",netflix,https://www.imdb.com/title/tt4240730/?ref_=nv_sr_srsg_0,1
Miss & Mrs. Cops,걸캅스,Girl Cops,1,skvpn,Netflix,1,-done,"exciting, action, comedy, adventure",listed,https://www.imdb.com/title/tt10161238/?ref_=nv_sr_srsg_0,1
Miss Granny,수상한 그녀,"""Suspicious Girl""",1,---,netflix,1,-done,"quirky, heartfelt, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt3516378/?ref_=nv_sr_srsg_0,1
Misty,미스티,---,1,sk vpn,netflix,1,-done,"dark, suspenseful, mystery, romantic, crime",netflix,https://www.imdb.com/title/tt7890244/?ref_=nv_sr_srsg_4,1
Moment of Eighteen,열여덟의 순간,Moment at Eighteen___18 Moments___At Eighteen,1,---,viki,1,-done,"drama, romance, comedy",listed,https://www.imdb.com/title/tt10474124/?ref_=nv_sr_srsg_0,1
Money Heist: Korea Joint Economic Area,종이의 집: 공동경제구역,---,1,---,netflix,1,-done,"suspenseful, exciting, thriller, crime",netflix,https://www.imdb.com/title/tt13696452/?ref_=nv_sr_srsg_3,1
MONKART,---,---,1,---,netflix,1,-done,"exciting, kids, cartoon",netflix,---,0
Monthly Magazine Home,월간 집,Monthly House,1,skvpn,Netflix,1,-done,"drama, romantic, comedy, healing, inspiring, heartfelt",listed,https://www.imdb.com/title/tt13885272/?ref_=nv_sr_srsg_0,1
More than Friends,친구에서 연인이 되는 경우의 수,境遇의 數___Number of Cases___Number of Cases to Go From Friends to Lovers,1,---,viki,1,-done,"romance, comedy",listed,https://www.imdb.com/title/tt12879170/?ref_=nv_sr_srsg_0,1
Move to Heaven,무브 투 헤븐: 나는 유품정리사입니다,---,1,---,Netflix,1,-done,"Heartfelt, Emotional, Drama",netflix,https://www.imdb.com/title/tt11052470/?ref_=nv_sr_srsg_0,1
Mr. Boss,미스터 보스,Mister Boss,1,skvpn,Netflix,1,-done,"heartfelt, goofy, action, comedy, exciting, adventure",listed,https://mydramalist.com/48941-youngsoo,0
Mr. Queen,철인왕후,Queen Cheorin___No Touch Princess,1,---,viki,1,-done,"romance, comedy, fantasy, period piece",listed,https://www.imdb.com/title/tt13400006/?ref_=nv_sr_srsg_0,1
Mr. Sunshine,미스터 션샤인,---,1,sk vpn,netflix,1,-done,"emotional, exciting, period pieace, romantic, drama, political",netflix,https://www.imdb.com/title/tt7094780/?ref_=nv_sr_srsg_0,1
My Country: The New Age,나의 나라,My Country,1,sk vpn,netflix,1,-done,"heartfelt, inspiring, action, exciting, political, period pieces",netflix,https://www.imdb.com/title/tt10850888/?ref_=nv_sr_srsg_0,1
My First First Love,첫사랑은 처음이라서,Because It's My First Love,1,---,netflix,1,-done,"charming, sentimental, drama, romantic",netflix,https://www.imdb.com/title/tt8995604/?ref_=nv_sr_srsg_0,1
My Girlfriend is an Agent,7급 공무원,7th Grade Civil Servant,1,skvpn,Netflix,1,-done,"romantic, comedy, action, quirky, goofy, exciting, adventure",listed,https://www.imdb.com/title/tt1432078/?ref_=nv_sr_srsg_0,1
My Holo Love,나 홀로 그대,I Holo You,1,---,netflix,1,-done,"heartfelt, romantic, scifi, drama",netflix,https://www.imdb.com/title/tt11058644/?ref_=nv_sr_srsg_0,1
My ID is Gangnam Beauty,내 아이디는 강남미인,내 아이디는 江南美人___Gangnam Beauty,1,resolved,viki,1,-done,"swoonworthy, charming, drama, based on webtoon, romantic, sentimental",netflix,https://www.imdb.com/title/tt8585954/?ref_=nv_sr_srsg_0,1
My Liberation Notes,나의 해방일지,My Liberation Diary,1,---,netflix,1,-done,"understated, drama, ensemble",netflix,https://www.imdb.com/title/tt15146130/?ref_=nv_sr_srsg_0,1
My Mister,나의 아저씨,Mr. Lonely___My Ahjussi,1,resolved,viki,1,-done,"sentimental, understated, drama, inspiring",netflix,https://www.imdb.com/title/tt7923710/?ref_=nv_sr_srsg_0,1
My Name,마이 네임,---,1,---,Netflix,1,-done,"Dark, Suspenseful, Thriller, Crime",netflix,https://www.imdb.com/title/tt12940504/?ref_=nv_sr_srsg_3,1
My Only Love Song,마이 온리 러브송,---,1,---,netflix,1,-done,"quirky, romantic, comedy",netflix,https://www.imdb.com/title/tt6125832/?ref_=nv_sr_srsg_0,1
My Roommate is a Gumiho,간 떨어지는 동거,肝 떨어지는 同居___Frightening Cohabitation,1,---,viki,1,-done,"romantic, comedy, fantasy",listed,https://www.imdb.com/title/tt13777028/?ref_=nv_sr_srsg_0,1
My Runway,마이 런웨이,---,1,---,netflix,1,-done,"quirky, romantic, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt6968336/?ref_=nv_sr_srsg_0,1
My Sassy Girl,엽기적인 그녀,---,1,resolved,Viki,1,-done,"charming, heartfelt, period piece, romantic, drama, based on books",netflix,https://www.imdb.com/title/tt6175760/?ref_=nv_sr_srsg_4,1
My Sassy Girl (2001),엽기적인 그녀,That Bizarre Girl,1,skvpn,Netflix,1,-done,"heartfelt, romantic, comedy, based on book",listed,https://www.imdb.com/title/tt0293715/?ref_=nv_sr_srsg_0,1
My Secret Romance,애타는 로맨스,---,1,---,netflix,1,-done,"charming, heartfelt, comedy, romantic",netflix,https://www.imdb.com/title/tt6300100/?ref_=nv_sr_srsg_0,1
My Shy Boss,내성적인 보스,Introvert Boss___Sensitive Boss,1,sk vpn,netflix,1,-done,"campy, heartfelt, comedy, romantic, goofy",netflix,https://www.imdb.com/title/tt6257622/?ref_=nv_sr_srsg_0,1
My Unfamiliar Family,(아는 건 별로 없지만) 가족입니다,(I Don't Know Much But) We Are Family,1,---,netflix,1,-done,"sentimental, emotional, drama",netflix,https://www.imdb.com/title/tt12458252/?ref_=nv_sr_srsg_0,1
Mystic Pop-up Bar,쌍갑포차,雙甲布車___Twin Tops Bar,1,sk vpn,netflix,1,-done,"quirky, heartfelt, fantasy, drama, based on webtoon",netflix,https://www.imdb.com/title/tt12246190/?ref_=nv_sr_srsg_0,1
Navillera,나빌레라,---,1,---,Netflix,1,-done,"Heartfelt, Inspiring, Drama, Based on Webtoon",netflix,https://www.imdb.com/title/tt13885302/?ref_=nv_sr_srsg_0,1
Never Give Up,구필수는 없다,Goo Pil Soo Is Not There___There’s No Goo Pil Soo___You Can't Go Back___You Don't Have to Go Back,1,---,Netflix,1,-done,"quirky, drama, comedy",sk netflix,https://www.imdb.com/title/tt21431154/?ref_=nv_sr_srsg_4,1
"Nevertheless,","알고있지만,","I Know But,",1,---,netflix,1,-done,"intimate, romantic, drama, based on webtoon",netflix,https://www.imdb.com/title/tt14518284/?ref_=nv_sr_srsg_0,1
New World,신세계로부터,Go to New World First___From the New World,1,---,netflix,1,-done,"exciting, reality, competition",netflix,https://www.imdb.com/title/tt2625030/?ref_=nv_sr_srsg_6,1
