begin,end,id,text,prep_verbal,prep_read
34.547,37.547,R223-S01-T001-U000001,[흥미진진한 음악],,흥미진진한 음악
46.505,50.213,R223-S01-T001-U000002,"(인구)메스암페타민, 필로폰, 일명 히로뽕","메스암페타민 , 필로폰 , 일명 히로뽕","인구 메스암페타민 , 필로폰 , 일명 히로뽕"
50.838,53.713,R223-S01-T001-U000003,먹으면 잠이 안 오고공포심이 사라지고,먹으면 잠이 안 오고공포심이 사라지고,먹으면 잠이 안 오고공포심이 사라지고
53.963,56.13,R223-S01-T001-U000004,한마디로 뿅 가는 이 신기한 약은,한마디로 뿅 가는 이 신기한 약은,한마디로 뿅 가는 이 신기한 약은
56.213,58.338,R223-S01-T001-U000005,태평양 전쟁 중 발명되었다,태평양 전쟁 중 발명되었다,태평양 전쟁 중 발명되었다
58.547,62.047,R223-S01-T001-U000006,[사람들의 환호성]일본은 즉각 이 약을전쟁에 이용했다,일본은 즉각 이 약을전쟁에 이용했다,사람들의 환호성 일본은 즉각 이 약을전쟁에 이용했다
62.797,65.38,R223-S01-T001-U000007,인류 최초로 히로뽕 약발에뿅 간 이들은,인류 최초로 히로뽕 약발에뿅 간 이들은,인류 최초로 히로뽕 약발에뿅 간 이들은
65.463,67.255,R223-S01-T001-U000008,가미카제 조종사들이었다,가미카제 조종사들이었다,가미카제 조종사들이었다
67.422,68.963,R223-S01-T001-U000009,그들은 히로뽕을 먹고,그들은 히로뽕을 먹고,그들은 히로뽕을 먹고
69.047,71.672,R223-S01-T001-U000010,공포심을 잊은 채 적진으로 뛰어들었다,공포심을 잊은 채 적진으로 뛰어들었다,공포심을 잊은 채 적진으로 뛰어들었다
72.588,75.13,R223-S01-T001-U000011,잠자지 말고 일하라고 공장에 풀고,잠자지 말고 일하라고 공장에 풀고,잠자지 말고 일하라고 공장에 풀고
75.213,77.588,R223-S01-T001-U000012,전쟁 나가 무섭지 말라고 군대에 풀고,전쟁 나가 무섭지 말라고 군대에 풀고,전쟁 나가 무섭지 말라고 군대에 풀고
77.922,79.338,R223-S01-T001-U000013,전쟁은 끝났지만,전쟁은 끝났지만,전쟁은 끝났지만
79.713,82.922,R223-S01-T001-U000014,당연히 그 맛을 잊지 못하는중독자들이 넘쳐 났다,당연히 그 맛을 잊지 못하는중독자들이 넘쳐 났다,당연히 그 맛을 잊지 못하는중독자들이 넘쳐 났다
83.255,85.88,R223-S01-T001-U000015,일본 정부가 히로뽕을법으로 금지시키자,일본 정부가 히로뽕을법으로 금지시키자,일본 정부가 히로뽕을법으로 금지시키자
85.963,88.963,R223-S01-T001-U000016,일본 마약업자들은가까운 부산으로 눈을 돌린다,일본 마약업자들은가까운 부산으로 눈을 돌린다,일본 마약업자들은가까운 부산으로 눈을 돌린다
89.63,92.922,R223-S01-T001-U000017,온 국민이 잘살아 보겠노라노래를 부르던 그 시절,온 국민이 잘살아 보겠노라노래를 부르던 그 시절,온 국민이 잘살아 보겠노라노래를 부르던 그 시절
93.005,94.713,R223-S01-T001-U000018,공장이 필요했던 일본과,공장이 필요했던 일본과,공장이 필요했던 일본과
94.797,97.88,R223-S01-T001-U000019,수출이 애국이던 우리의 이해가딱 맞아떨어져,수출이 애국이던 우리의 이해가딱 맞아떨어져,수출이 애국이던 우리의 이해가딱 맞아떨어져
97.963,101.213,R223-S01-T001-U000020,바야흐로 히로뽕의 시대가시작된 것이다,바야흐로 히로뽕의 시대가시작된 것이다,바야흐로 히로뽕의 시대가시작된 것이다
108.213,112.005,R223-S01-T001-U000021,(인구)바로 이 백색 황금의 시대를 연입지전적 인물이 있었으니,바로 이 백색 황금의 시대를 연입지전적 인물이 있었으니,인구 바로 이 백색 황금의 시대를 연입지전적 인물이 있었으니
