begin,end,id,text,prep_verbal,prep_read
33.909,38.288,R249-S01-T001-U000001,[긴장감 돌고 웅장한 음악],,긴장감 돌고 웅장한 음악
51.468,53.136,R249-S01-T001-U000002,(남자 기자1)YTN 9시 뉴스입니다,시 뉴스입니다,남자 기자 시 뉴스입니다
53.22,56.64,R249-S01-T001-U000003,한 달간의검경 합동 수색작업에도 불구하고,한 달간의검경 합동 수색작업에도 불구하고,한 달간의검경 합동 수색작업에도 불구하고
56.723,60.352,R249-S01-T001-U000004,실종됐던 김나리 양이결국 싸늘한 주검으로 발견돼...,실종됐던 김나리 양이결국 싸늘한 주검으로 발견돼 . . .,실종됐던 김나리 양이결국 싸늘한 주검으로 발견돼 . . .
60.477,63.313,R249-S01-T001-U000005,(여자 기자1)경찰은 사체의 훼손 정도나범행 수법 등이,경찰은 사체의 훼손 정도나범행 수법 등이,여자 기자 경찰은 사체의 훼손 정도나범행 수법 등이
63.397,65.44,R249-S01-T001-U000006,앞서 발생한 사건들과유사점이 많다고 보고 연쇄살인...,앞서 발생한 사건들과유사점이 많다고 보고 연쇄살인 . . .,앞서 발생한 사건들과유사점이 많다고 보고 연쇄살인 . . .
65.524,68.652,R249-S01-T001-U000007,(여자 기자2)경찰에 대한 불신과두려움으로 가득 찬 주민들은,경찰에 대한 불신과두려움으로 가득 찬 주민들은,여자 기자 경찰에 대한 불신과두려움으로 가득 찬 주민들은
68.735,71.613,R249-S01-T001-U000008,특별 수사본부가 만들어진 지3개월이 흘렀음에도...,특별 수사본부가 만들어진 지개월이 흘렀음에도 . . .,특별 수사본부가 만들어진 지개월이 흘렀음에도 . . .
71.989,75.284,R249-S01-T001-U000009,(남자 기자2)오늘 오전 7시쯤 서울 중랑천하류 부근에서 발견됐습니다,오늘 오전 시쯤 서울 중랑천하류 부근에서 발견됐습니다,남자 기자 오늘 오전 시쯤 서울 중랑천하류 부근에서 발견됐습니다
75.367,78.328,R249-S01-T001-U000010,(여자 기자3)현재까지 김 양의 사체는일부만을 찾은 상태며,현재까지 김 양의 사체는일부만을 찾은 상태며,여자 기자 현재까지 김 양의 사체는일부만을 찾은 상태며
78.412,79.955,R249-S01-T001-U000011,경찰은 아직까지 발견되지 않은,경찰은 아직까지 발견되지 않은,경찰은 아직까지 발견되지 않은
80.038,81.999,R249-S01-T001-U000012,사체 부위를 찾기 위한100여 명의 병력을...,사체 부위를 찾기 위한여 명의 병력을 . . .,사체 부위를 찾기 위한여 명의 병력을 . . .
82.082,84.418,R249-S01-T001-U000013,(여자 기자4)현재 이곳에서는피해자 가족들뿐 아니라,현재 이곳에서는피해자 가족들뿐 아니라,여자 기자 현재 이곳에서는피해자 가족들뿐 아니라
84.501,86.169,R249-S01-T001-U000014,주민들까지도 모두 나와...,주민들까지도 모두 나와 . . .,주민들까지도 모두 나와 . . .
86.253,87.754,R249-S01-T001-U000015,"(여자 기자5)예, 그렇습니다경찰은 지금","예 , 그렇습니다경찰은 지금","여자 기자 예 , 그렇습니다경찰은 지금"
87.838,89.381,R249-S01-T001-U000016,총체적 난국이라고볼 수 있습니다,총체적 난국이라고볼 수 있습니다,총체적 난국이라고볼 수 있습니다
89.464,93.302,R249-S01-T001-U000017,(여자 기자6)경찰청에 도착한 대통령은곧바로 수사본부로 향했습니다,경찰청에 도착한 대통령은곧바로 수사본부로 향했습니다,여자 기자 경찰청에 도착한 대통령은곧바로 수사본부로 향했습니다
93.427,95.887,R249-S01-T001-U000018,이번 사건에 대한진행 상황을 보고하는,이번 사건에 대한진행 상황을 보고하는,이번 사건에 대한진행 상황을 보고하는
95.971,97.639,R249-S01-T001-U000019,경찰청장의 브리핑이이어졌습니다,경찰청장의 브리핑이이어졌습니다,경찰청장의 브리핑이이어졌습니다
97.723,100.017,R249-S01-T001-U000020,"(남자 기자3)오늘 오전어, 바로 몇 시간 전이죠","오늘 오전어 , 바로 몇 시간 전이죠","남자 기자 오늘 오전어 , 바로 몇 시간 전이죠"
100.1,103.353,R249-S01-T001-U000021,김성모 대통령이 경찰청을 방문했습니다대통령의...,김성모 대통령이 경찰청을 방문했습니다대통령의 . . .,김성모 대통령이 경찰청을 방문했습니다대통령의 . . .
103.437,104.813,R249-S01-T001-U000022,(여자 기자7)...정치권에서는,. . . 정치권에서는,여자 기자 . . . 정치권에서는
104.896,107.983,R249-S01-T001-U000023,발 빠르게 아동 대상 성범죄를중벌로 다스리자는...,발 빠르게 아동 대상 성범죄를중벌로 다스리자는 . . .,발 빠르게 아동 대상 성범죄를중벌로 다스리자는 . . .
108.066,111.403,R249-S01-T001-U000024,(여자 기자8)대통령의 말 한마디에 경찰청이부랴부랴 대책을 내놓고...,대통령의 말 한마디에 경찰청이부랴부랴 대책을 내놓고 . . .,여자 기자 대통령의 말 한마디에 경찰청이부랴부랴 대책을 내놓고 . . .
111.486,113.655,R249-S01-T001-U000025,(남자 기자4)이번 사건에 대한진행 상황을 보고하는,이번 사건에 대한진행 상황을 보고하는,남자 기자 이번 사건에 대한진행 상황을 보고하는
113.739,116.158,R249-S01-T001-U000026,경찰청장의브리핑이 이어졌습니다,경찰청장의브리핑이 이어졌습니다,경찰청장의브리핑이 이어졌습니다
116.241,118.285,R249-S01-T001-U000027,엄충수 경찰청장은범인을...,엄충수 경찰청장은범인을 . . .,엄충수 경찰청장은범인을 . . .
118.368,121.83,R249-S01-T001-U000028,(여자 기자9)많은 희생자를 낸 것에 대해대국민 사과를 하며,많은 희생자를 낸 것에 대해대국민 사과를 하며,여자 기자 많은 희생자를 낸 것에 대해대국민 사과를 하며
121.913,124.708,R249-S01-T001-U000029,하루빨리 사건을해결하겠다고 말했습니다,하루빨리 사건을해결하겠다고 말했습니다,하루빨리 사건을해결하겠다고 말했습니다
124.916,128.378,R249-S01-T001-U000030,보고 내용을 들은 대통령의 표정이내내 굳어 있었습니다,보고 내용을 들은 대통령의 표정이내내 굳어 있었습니다,보고 내용을 들은 대통령의 표정이내내 굳어 있었습니다
128.462,132.049,R249-S01-T001-U000031,보고가 끝나자 기다렸다는 듯이사건을 아직까지 처리하지 못...,보고가 끝나자 기다렸다는 듯이사건을 아직까지 처리하지 못 . . .,보고가 끝나자 기다렸다는 듯이사건을 아직까지 처리하지 못 . . .
132.257,135.26,R249-S01-T001-U000032,[탕][긴박한 음악],,탕 긴박한 음악
135.51,138.263,R249-S01-T001-U000033,[총 겨누며 경고하는 형사1][민철의 거친 숨소리],,총 겨누며 경고하는 형사 민철의 거친 숨소리
138.347,140.39,R249-S01-T001-U000034,"(형사2)유민철!야, 이 병신새끼야!","유민철 ! 야 , 이 병신새끼야 !","형사 유민철 ! 야 , 이 병신새끼야 !"
140.474,141.892,R249-S01-T001-U000035,"너, 이 새끼야!좆 되고 싶어?","너 , 이 새끼야 ! 좆 되고 싶어 ?","너 , 이 새끼야 ! 좆 되고 싶어 ?"
143.185,145.562,R249-S01-T001-U000036,너 이 새끼야!그 총은 또 어디서 났어!,너 이 새끼야 ! 그 총은 또 어디서 났어 !,너 이 새끼야 ! 그 총은 또 어디서 났어 !
145.812,147.689,R249-S01-T001-U000037,제가 지금저 새끼 머리통 날려도,제가 지금저 새끼 머리통 날려도,제가 지금저 새끼 머리통 날려도
147.731,149.274,R249-S01-T001-U000038,분명히 정당 행위입니다,분명히 정당 행위입니다,분명히 정당 행위입니다
149.649,152.361,R249-S01-T001-U000039,"야야, 김 형사야흥분하지 마라, 응?","야야 , 김 형사야흥분하지 마라 , 응 ?","야야 , 김 형사야흥분하지 마라 , 응 ?"
152.527,155.197,R249-S01-T001-U000040,"(형사2)야, 유민철!너, 이 새끼야, 그 총 내려놔!","야 , 유민철 ! 너 , 이 새끼야 , 그 총 내려놔 !","형사 야 , 유민철 ! 너 , 이 새끼야 , 그 총 내려놔 !"
155.405,157.449,R249-S01-T001-U000041,"야, 우리 좀좋게 좋게 가자, 좀!","야 , 우리 좀좋게 좋게 가자 , 좀 !","야 , 우리 좀좋게 좋게 가자 , 좀 !"
158.241,161.203,R249-S01-T001-U000042,"자, 내가'하나, 둘, 셋' 하면","자 , 내가하나 , 둘 , 셋 하면","자 , 내가하나 , 둘 , 셋 하면"
161.703,163.538,R249-S01-T001-U000043,둘 다총 내려놓는 거야,둘 다총 내려놓는 거야,둘 다총 내려놓는 거야
165.207,167.125,R249-S01-T001-U000044,"- 하나!- (민철) 야, 이 새끼들아!","하나 ! 야 , 이 새끼들아 !","하나 ! 민철 야 , 이 새끼들아 !"
167.209,168.126,R249-S01-T001-U000045,나 진짜 아니라고!,나 진짜 아니라고 !,나 진짜 아니라고 !
168.21,169.211,R249-S01-T001-U000046,[총성],,총성
172.464,173.632,R249-S01-T001-U000047,(충수)그놈 범인인 건 확실해?,그놈 범인인 건 확실해 ?,충수 그놈 범인인 건 확실해 ?
173.924,176.051,R249-S01-T001-U000048,(강 국장)수사팀들 전부확신하고 있습니다,수사팀들 전부확신하고 있습니다,강 국장 수사팀들 전부확신하고 있습니다
176.593,178.678,R249-S01-T001-U000049,"[쾅]화, 확실합니다","화 , 확실합니다","쾅 화 , 확실합니다"
179.679,181.431,R249-S01-T001-U000050,그런데 증거는 없고,그런데 증거는 없고,그런데 증거는 없고
181.932,183.433,R249-S01-T001-U000051,근데 덜컥 죽여버렸어?,근데 덜컥 죽여버렸어 ?,근데 덜컥 죽여버렸어 ?
184.351,186.645,R249-S01-T001-U000052,그리고 그 애 쏜그 김 형사란 놈은,그리고 그 애 쏜그 김 형사란 놈은,그리고 그 애 쏜그 김 형사란 놈은
186.728,188.897,R249-S01-T001-U000053,"또, 유민철이한테 당한 애삼촌이라며","또 , 유민철이한테 당한 애삼촌이라며","또 , 유민철이한테 당한 애삼촌이라며"
189.189,192.234,R249-S01-T001-U000054,"야, 인마!사람들이 뭐라 그러겠냐?","야 , 인마 ! 사람들이 뭐라 그러겠냐 ?","야 , 인마 ! 사람들이 뭐라 그러겠냐 ?"
