begin,end,id,text,prep_verbal,prep_read
5.756,9.635,R258-S01-T001-U000001,[라디오가 지직거린다],,라디오가 지직거린다
10.636,12.804,R258-S01-T001-U000002,[라디오 채널이 돌아간다],,라디오 채널이 돌아간다
13.68,15.641,R258-S01-T001-U000003,"""NETFLIX 제공""",,
15.766,18.477,R258-S01-T001-U000004,[라디오 채널이 계속 돌아간다],,라디오 채널이 계속 돌아간다
18.894,20.062,R258-S01-T001-U000005,[라디오에서 음성이 흘러나온다],,라디오에서 음성이 흘러나온다
20.145,21.271,R258-S01-T001-U000006,[라디오 채널이 돌아간다],,라디오 채널이 돌아간다
21.355,22.606,R258-S01-T001-U000007,(라디오 속 남자1)팩스로 처리하도록...,팩스로 처리하도록 . . .,라디오 속 남자 팩스로 처리하도록 . . .
22.773,23.899,R258-S01-T001-U000008,[라디오 채널이 돌아간다],,라디오 채널이 돌아간다
23.982,27.027,R258-S01-T001-U000009,(라디오 속 리포터)전국이 대체로 맑겠고아침에는 안개...,전국이 대체로 맑겠고아침에는 안개 . . .,라디오 속 리포터 전국이 대체로 맑겠고아침에는 안개 . . .
28.111,30.155,R258-S01-T001-U000010,(라디오 속 아나운서1)57분 교통 정보입니다,분 교통 정보입니다,라디오 속 아나운서 분 교통 정보입니다
30.239,32.532,R258-S01-T001-U000011,출근길 절정에서 벗어나긴 했지만,출근길 절정에서 벗어나긴 했지만,출근길 절정에서 벗어나긴 했지만
32.616,34.701,R258-S01-T001-U000012,여전히 많이 밀리고 있습니다,여전히 많이 밀리고 있습니다,여전히 많이 밀리고 있습니다
34.785,38.538,R258-S01-T001-U000013,서울 외곽 순환 고속 도로하남에서 서울 하일 나들목 구간은[발소리가 난다],서울 외곽 순환 고속 도로하남에서 서울 하일 나들목 구간은,서울 외곽 순환 고속 도로하남에서 서울 하일 나들목 구간은 발소리가 난다
38.622,40.415,R258-S01-T001-U000014,하일 나들목 들어서는 부근에서,하일 나들목 들어서는 부근에서,하일 나들목 들어서는 부근에서
40.541,45.045,R258-S01-T001-U000015,[문발이 잘그락거린다]승용차 관련 사고까지 발생해서서하남부터 3킬로미터 정체고요,승용차 관련 사고까지 발생해서서하남부터 킬로미터 정체고요,문발이 잘그락거린다 승용차 관련 사고까지 발생해서서하남부터 킬로미터 정체고요
45.128,48.298,R258-S01-T001-U000016,이전 송파 나들목 부근 정체도늘어나는 상황입니다,이전 송파 나들목 부근 정체도늘어나는 상황입니다,이전 송파 나들목 부근 정체도늘어나는 상황입니다
48.382,50.008,R258-S01-T001-U000017,경부 고속 도로 서울 쪽으로 있던,경부 고속 도로 서울 쪽으로 있던,경부 고속 도로 서울 쪽으로 있던
50.092,53.011,R258-S01-T001-U000018,잠원 나들목 부근 추돌 사고는정리가 됐지만,잠원 나들목 부근 추돌 사고는정리가 됐지만,잠원 나들목 부근 추돌 사고는정리가 됐지만
53.095,56.723,R258-S01-T001-U000019,달래내 부근에서 반포 쪽 진행이더 어려워진 상태입니다,달래내 부근에서 반포 쪽 진행이더 어려워진 상태입니다,달래내 부근에서 반포 쪽 진행이더 어려워진 상태입니다
56.807,60.56,R258-S01-T001-U000020,강변 북로 마포 대교와 원효 대교 사이추돌 사고도 정리는 됐는데요,강변 북로 마포 대교와 원효 대교 사이추돌 사고도 정리는 됐는데요,강변 북로 마포 대교와 원효 대교 사이추돌 사고도 정리는 됐는데요
60.644,62.729,R258-S01-T001-U000021,정체가 가중된 상황이고요[미수의 힘주는 숨소리],정체가 가중된 상황이고요,정체가 가중된 상황이고요 미수의 힘주는 숨소리
62.813,65.857,R258-S01-T001-U000022,올림픽 대로 노량 대교에서반포 대교 쪽으로 가는 데[엔진음이 들려온다],올림픽 대로 노량 대교에서반포 대교 쪽으로 가는 데,올림픽 대로 노량 대교에서반포 대교 쪽으로 가는 데 엔진음이 들려온다
65.941,67.859,R258-S01-T001-U000023,30분 이상 걸리고 있습니다,분 이상 걸리고 있습니다,분 이상 걸리고 있습니다
67.943,69.653,R258-S01-T001-U000024,"다리 위에서는 성수 대교, 동호 대교","다리 위에서는 성수 대교 , 동호 대교","다리 위에서는 성수 대교 , 동호 대교"
69.736,72.698,R258-S01-T001-U000025,한남 대교 모두 양방향으로건너가기 어렵고요,한남 대교 모두 양방향으로건너가기 어렵고요,한남 대교 모두 양방향으로건너가기 어렵고요
72.781,75.826,R258-S01-T001-U000026,천호 대교는 이제강북 쪽으로 밀리기 시작했습니다,천호 대교는 이제강북 쪽으로 밀리기 시작했습니다,천호 대교는 이제강북 쪽으로 밀리기 시작했습니다
75.909,79.496,R258-S01-T001-U000027,강변 북로가 마포 대교에서한강 대교 쪽으로 속도 떨어지고[뚜껑을 달그락 닫는다],강변 북로가 마포 대교에서한강 대교 쪽으로 속도 떨어지고,강변 북로가 마포 대교에서한강 대교 쪽으로 속도 떨어지고 뚜껑을 달그락 닫는다
79.579,81.29,R258-S01-T001-U000028,동부 간선 도로 의정부 쪽으로는,동부 간선 도로 의정부 쪽으로는,동부 간선 도로 의정부 쪽으로는
81.373,83.625,R258-S01-T001-U000029,이화교 부근부터정체가 되고 있습니다,이화교 부근부터정체가 되고 있습니다,이화교 부근부터정체가 되고 있습니다
83.834,85.961,R258-S01-T001-U000030,[라디오에서 방송이 계속 흘러나온다],,라디오에서 방송이 계속 흘러나온다
86.044,87.713,R258-S01-T001-U000031,[문이 탁 여닫힌다][미수의 놀라는 숨소리],,문이 탁 여닫힌다 미수의 놀라는 숨소리
90.257,92.426,R258-S01-T001-U000032,아직 오픈을 안 했...,아직 오픈을 안 했 . . .,아직 오픈을 안 했 . . .
93.385,94.219,R258-S01-T001-U000033,[미수가 컵을 탁 내려놓는다],,미수가 컵을 탁 내려놓는다
94.303,96.138,R258-S01-T001-U000034,(미수)혹시 찾으시는 거 있으세요?,혹시 찾으시는 거 있으세요 ?,미수 혹시 찾으시는 거 있으세요 ?
97.514,100.35,R258-S01-T001-U000035,콩으로 만든 거 없나? 두부나...,콩으로 만든 거 없나 ? 두부나 . . .,콩으로 만든 거 없나 ? 두부나 . . .
102.477,106.231,R258-S01-T001-U000036,"(미수)그, 두유는 안 되나요?","그 , 두유는 안 되나요 ?","미수 그 , 두유는 안 되나요 ?"
106.398,107.524,R258-S01-T001-U000037,[한숨],,한숨
108.4,109.776,R258-S01-T001-U000038,[라디오에서 로고 송이 흘러나온다]그거라도 줘요,그거라도 줘요,라디오에서 로고 송이 흘러나온다 그거라도 줘요
111.32,112.362,R258-S01-T001-U000039,[미수의 한숨],,미수의 한숨
114.948,115.907,R258-S01-T001-U000040,[냉장고를 탁 연다],,냉장고를 탁 연다
116.366,118.827,R258-S01-T001-U000041,(라디오 속 아나운서2)잠시 후 9시를 알려드립니다,잠시 후 시를 알려드립니다,라디오 속 아나운서 잠시 후 시를 알려드립니다
121.121,124.124,R258-S01-T001-U000042,우유는 안 되겠죠?,우유는 안 되겠죠 ?,우유는 안 되겠죠 ?
124.207,125.834,R258-S01-T001-U000043,[라디오 속 정각 알림음],,라디오 속 정각 알림음
127.21,129.379,R258-S01-T001-U000044,[라디오에서 밝은 음악이 흘러나온다]콩이어야 되는데,콩이어야 되는데,라디오에서 밝은 음악이 흘러나온다 콩이어야 되는데
