begin,end,id,text,prep_verbal,prep_read
0.5,3.295,R057-S01-T001-U000001,[음산한 효과음],,음산한 효과음
7.382,10.469,R057-S01-T001-U000002,(선생님)'국부론에서보이지 않는 손을 주장하였다',국부론에서보이지 않는 손을 주장하였다,선생님 국부론에서보이지 않는 손을 주장하였다
10.552,11.428,R057-S01-T001-U000003,[손톱을 탁 물어뜯는다],,손톱을 탁 물어뜯는다
11.637,13.305,R057-S01-T001-U000004,'이것은 자본주의를',이것은 자본주의를,이것은 자본주의를
13.43,16.266,R057-S01-T001-U000005,'뒷받침할 수 있었던이론 중 하나로',뒷받침할 수 있었던이론 중 하나로,뒷받침할 수 있었던이론 중 하나로
16.35,20.562,R057-S01-T001-U000006,'각 개인이 자신의 이익을추구하도록 내버려 두면',각 개인이 자신의 이익을추구하도록 내버려 두면,각 개인이 자신의 이익을추구하도록 내버려 두면
20.646,24.358,R057-S01-T001-U000007,'보이지 않는 손이 작용하여국가 전체적으로는'[손톱을 연신 물어뜯는다],보이지 않는 손이 작용하여국가 전체적으로는,보이지 않는 손이 작용하여국가 전체적으로는 손톱을 연신 물어뜯는다
24.441,27.694,R057-S01-T001-U000008,'결국 이익이 되도록작용한다는 논리이다',결국 이익이 되도록작용한다는 논리이다,결국 이익이 되도록작용한다는 논리이다
28.028,32.658,R057-S01-T001-U000009,'이는 자유방임이국가의 간섭이나 통제보다',이는 자유방임이국가의 간섭이나 통제보다,이는 자유방임이국가의 간섭이나 통제보다
32.741,35.953,R057-S01-T001-U000010,'더 큰 경제 발전을가져올 수 있게 하여',더 큰 경제 발전을가져올 수 있게 하여,더 큰 경제 발전을가져올 수 있게 하여
36.245,40.457,R057-S01-T001-U000011,'결과적으로는 사회 전체의 부를 가져온다고 보았다',결과적으로는 사회 전체의 부를 가져온다고 보았다,결과적으로는 사회 전체의 부를 가져온다고 보았다
41.291,43.001,R057-S01-T001-U000012,'이러한 애덤 스미스의 경제사상은'...,이러한 애덤 스미스의경제사상은 . . .,이러한 애덤 스미스의경제사상은 . . .
43.085,44.169,R057-S01-T001-U000013,(서희)선생님,선생님,서희 선생님
51.426,52.594,R057-S01-T001-U000014,(선생님)갔다 와,갔다 와,선생님 갔다 와
55.389,58.559,R057-S01-T001-U000015,'이러한 애덤 스미스의경제사상은',이러한 애덤 스미스의경제사상은,이러한 애덤 스미스의경제사상은
58.642,61.144,R057-S01-T001-U000016,'자유로운 경제 활동을 원하던',자유로운 경제 활동을 원하던,자유로운 경제 활동을 원하던
61.228,64.606,R057-S01-T001-U000017,'산업 자본가들의 큰 지지를 받았으며',산업 자본가들의큰 지지를 받았으며,산업 자본가들의큰 지지를 받았으며
64.69,68.694,R057-S01-T001-U000018,'자본주의 경제사상의 기초가 되었다'[음산한 효과음],자본주의 경제사상의기초가 되었다,자본주의 경제사상의기초가 되었다 음산한 효과음
69.152,73.657,R057-S01-T001-U000019,[교실 문이 드르르 여닫힌다][음산한 음악],,교실 문이 드르르 여닫힌다 음산한 음악
75.993,77.869,R057-S01-T001-U000020,[운동장이 시끌벅적하다],,운동장이 시끌벅적하다
77.995,82.04,R057-S01-T001-U000021,[분위기가 고조되는 음악],,분위기가 고조되는 음악
85.419,86.753,R057-S01-T001-U000022,[옅은 한숨],,옅은 한숨
90.591,91.758,R057-S01-T001-U000023,[한숨],,한숨
104.813,105.897,R057-S01-T001-U000024,[한숨],,한숨
107.608,108.9,R057-S01-T001-U000025,[달그락 소리가 난다],,달그락 소리가 난다
109.026,110.819,R057-S01-T001-U000026,[음산한 음악],,음산한 음악
125.167,126.209,R057-S01-T001-U000027,[서희가 손톱을 탁 물어뜯는다],,서희가 손톱을 탁 물어뜯는다
127.502,130.005,R057-S01-T001-U000028,[서희가 손톱을 연신 물어뜯는다],,서희가 손톱을 연신 물어뜯는다
138.221,141.183,R057-S01-T001-U000029,[음산한 음악],,음산한 음악
156.698,157.866,R057-S01-T001-U000030,[한숨],,한숨
170.128,172.798,R057-S01-T001-U000031,[문을 삐걱 연다],,문을 삐걱 연다
174.341,176.76,R057-S01-T001-U000032,[음산한 효과음],,음산한 효과음
179.012,180.18,R057-S01-T001-U000033,[문이 달칵 잠긴다],,문이 달칵 잠긴다
180.263,181.306,R057-S01-T001-U000034,"""레종""",레종,레종
