begin,end,id,text,prep_verbal,prep_read
18.852,21.313,R247-S01-T001-U000001,[흥미진진한 음악],,흥미진진한 음악
91.675,92.509,R247-S01-T001-U000002,[관장의 옅은 신음],,관장의 옅은 신음
92.592,94.052,R247-S01-T001-U000003,"(관장)아유, 어머니, 처음 뵙겠습니다","아유 , 어머니 , 처음 뵙겠습니다","관장 아유 , 어머니 , 처음 뵙겠습니다"
94.428,98.056,R247-S01-T001-U000004,"제가 당연히 마중 나갔어야 됐는데아, 오늘따라 인터뷰가 많아 가지고","제가 당연히 마중 나갔어야 됐는데아 , 오늘따라 인터뷰가 많아 가지고","제가 당연히 마중 나갔어야 됐는데아 , 오늘따라 인터뷰가 많아 가지고"
98.14,100.35,R247-S01-T001-U000005,(씹던껌)첫 만남에 어머님이라니까 좀 무섭네요,첫 만남에 어머님이라니까 좀 무섭네요,씹던껌 첫 만남에 어머님이라니까 좀 무섭네요
100.434,103.103,R247-S01-T001-U000006,"이해해 주세요, 옷차림이 좀산에 다녀오느라","이해해 주세요 , 옷차림이 좀산에 다녀오느라","이해해 주세요 , 옷차림이 좀산에 다녀오느라"
103.186,105.897,R247-S01-T001-U000007,"(관장)아유, 아유, 말씀 놓으세요, 예?[씹던껌의 시큰둥한 한숨]","아유 , 아유 , 말씀 놓으세요 , 예 ?","관장 아유 , 아유 , 말씀 놓으세요 , 예 ? 씹던껌의 시큰둥한 한숨"
106.815,108.525,R247-S01-T001-U000008,"- (관장) 여기 녹차 좀 줘요- (씹던껌) 어, 차는 됐고","여기 녹차 좀 줘요 어 , 차는 됐고","관장 여기 녹차 좀 줘요 씹던껌 어 , 차는 됐고"
108.609,110.944,R247-S01-T001-U000009,(씹던껌)이거 '로열 설루트'인가?한잔해도 되죠?,이거 로열 설루트인가 ? 한잔해도 되죠 ?,씹던껌 이거 로열 설루트인가 ? 한잔해도 되죠 ?
111.028,113.363,R247-S01-T001-U000010,오늘은 좀 센 게들어가야 될 거 같아서[관장의 호응하는 신음],오늘은 좀 센 게들어가야 될 거 같아서,오늘은 좀 센 게들어가야 될 거 같아서 관장의 호응하는 신음
113.447,114.781,R247-S01-T001-U000011,그러니까 우리 딸이,그러니까 우리 딸이,그러니까 우리 딸이
114.865,117.576,R247-S01-T001-U000012,이 관장님한테 순결을 줬다 이거죠?,이 관장님한테 순결을 줬다 이거죠 ?,이 관장님한테 순결을 줬다 이거죠 ?
117.659,120.162,R247-S01-T001-U000013,(예니콜)[난감한 듯 웃으며]우리 엄마 또 일부러 세게 나간다,우리 엄마 또 일부러 세게 나간다,예니콜 난감한 듯 웃으며 우리 엄마 또 일부러 세게 나간다
120.245,122.247,R247-S01-T001-U000014,너 벤츠도 한 번 타면 중고다,너 벤츠도 한 번 타면 중고다,너 벤츠도 한 번 타면 중고다
122.789,124.416,R247-S01-T001-U000015,거기 한번 서 보실래요?,거기 한번 서 보실래요 ?,거기 한번 서 보실래요 ?
126.918,128.587,R247-S01-T001-U000016,"아니, 아니, 다 보이게","아니 , 아니 , 다 보이게","아니 , 아니 , 다 보이게"
132.549,134.801,R247-S01-T001-U000017,"흠, 기형은 아니네","흠 , 기형은 아니네","흠 , 기형은 아니네"
134.885,137.137,R247-S01-T001-U000018,내가 돌려서 말하는 성격이 아니라,내가 돌려서 말하는 성격이 아니라,내가 돌려서 말하는 성격이 아니라
140.14,142.184,R247-S01-T001-U000019,우리 이 관장님 돈 많아요?,우리 이 관장님 돈 많아요 ?,우리 이 관장님 돈 많아요 ?
145.562,147.939,R247-S01-T001-U000020,(씹던껌)그럼 이 미술관도다 이 관장님 거인가요?,그럼 이 미술관도다 이 관장님 거인가요 ?,씹던껌 그럼 이 미술관도다 이 관장님 거인가요 ?
148.023,150.192,R247-S01-T001-U000021,"(관장)뭐, 아직까지는 아버지 거죠","뭐 , 아직까지는 아버지 거죠","관장 뭐 , 아직까지는 아버지 거죠"
150.275,152.861,R247-S01-T001-U000022,"- (씹던껌) 그림들은요?- (관장) 아, 위탁 판매 하는 거죠","그림들은요 ? 아 , 위탁 판매 하는 거죠","씹던껌 그림들은요 ? 관장 아 , 위탁 판매 하는 거죠"
152.944,155.655,R247-S01-T001-U000023,"(관장)뭐, 계속 얘기하면 이거제, 제 자랑 같아 가지고 좀 그런데","뭐 , 계속 얘기하면 이거제 , 제 자랑 같아 가지고 좀 그런데","관장 뭐 , 계속 얘기하면 이거제 , 제 자랑 같아 가지고 좀 그런데"
155.739,158.533,R247-S01-T001-U000024,"제 거는 아주 좀좀 고가라, 따로 좀...","제 거는 아주 좀좀 고가라 , 따로 좀 . . .","제 거는 아주 좀좀 고가라 , 따로 좀 . . ."
167.334,168.502,R247-S01-T001-U000025,[버튼 조작음],,버튼 조작음
168.919,170.045,R247-S01-T001-U000026,내가 좀 봐도 될까요?,내가 좀 봐도 될까요 ?,내가 좀 봐도 될까요 ?
170.128,171.755,R247-S01-T001-U000027,"(관장)뭐, 어떤 거...","뭐 , 어떤 거 . . .","관장 뭐 , 어떤 거 . . ."
171.838,173.215,R247-S01-T001-U000028,그 작품들,그 작품들,그 작품들
174.466,175.342,R247-S01-T001-U000029,[상자가 퍽 떨어진다],,상자가 퍽 떨어진다
187.854,189.231,R247-S01-T001-U000030,- (관장) 그럼요- (씹던껌) 넌 여기 있어,그럼요 넌 여기 있어,관장 그럼요 씹던껌 넌 여기 있어
189.314,190.857,R247-S01-T001-U000031,(씹던껌)우리끼리 얘기 좀 더 하게,우리끼리 얘기 좀 더 하게,씹던껌 우리끼리 얘기 좀 더 하게
190.941,192.901,R247-S01-T001-U000032,- (예니콜) 껌?- (씹던껌) 껌?,껌 ? 껌 ?,예니콜 껌 ? 씹던껌 껌 ?
192.984,194.194,R247-S01-T001-U000033,"아, 껌","아 , 껌","아 , 껌"
197.114,199.116,R247-S01-T001-U000034,[멀리서 사이렌이 울린다],,멀리서 사이렌이 울린다
201.785,204.704,R247-S01-T001-U000035,"(예니콜)미안해, 우리 엄마 좀 이상하지?[관장의 부정하는 신음]","미안해 , 우리 엄마 좀 이상하지 ?","예니콜 미안해 , 우리 엄마 좀 이상하지 ? 관장의 부정하는 신음"
204.788,206.54,R247-S01-T001-U000036,(관장)아방가르드하시네[예니콜이 입술을 쪽쪽거린다],아방가르드하시네,관장 아방가르드하시네 예니콜이 입술을 쪽쪽거린다
206.915,208.208,R247-S01-T001-U000037,[예니콜의 뽀뽀하는 신음],,예니콜의 뽀뽀하는 신음
208.291,211.002,R247-S01-T001-U000038,[관장과 예니콜의 웃음],,관장과 예니콜의 웃음
211.253,212.462,R247-S01-T001-U000039,[통화 연결음],,통화 연결음
213.046,215.173,R247-S01-T001-U000040,"(관장)아, 어머니, 제가 모시겠습니다","아 , 어머니 , 제가 모시겠습니다","관장 아 , 어머니 , 제가 모시겠습니다"
215.257,217.259,R247-S01-T001-U000041,"- (관장) 자, 가시죠- (씹던껌) 어, 그러죠, 뭐","자 , 가시죠 어 , 그러죠 , 뭐","관장 자 , 가시죠 씹던껌 어 , 그러죠 , 뭐"
218.802,220.846,R247-S01-T001-U000042,"- (관장) 갔다 올게- (예니콜) 응, 이따 봐","갔다 올게 응 , 이따 봐","관장 갔다 올게 예니콜 응 , 이따 봐"
220.929,221.888,R247-S01-T001-U000043,[문이 달칵 닫힌다],,문이 달칵 닫힌다
223.056,225.434,R247-S01-T001-U000044,[흥미로운 음악][예니콜이 콧노래를 흥얼거린다],,흥미로운 음악 예니콜이 콧노래를 흥얼거린다
234.526,236.319,R247-S01-T001-U000045,[예니콜이 연신 콧노래를 흥얼거린다],,예니콜이 연신 콧노래를 흥얼거린다
237.779,238.613,R247-S01-T001-U000046,[예니콜의 옅은 신음],,예니콜의 옅은 신음
240.282,241.95,R247-S01-T001-U000047,(예니콜)[한숨 쉬며]슛 갑시다,슛 갑시다,예니콜 한숨 쉬며 슛 갑시다
242.325,244.286,R247-S01-T001-U000048,[뽀빠이의 힘주는 신음],,뽀빠이의 힘주는 신음
246.663,247.539,R247-S01-T001-U000049,(예니콜)쏘시죠,쏘시죠,예니콜 쏘시죠
249.124,250.375,R247-S01-T001-U000050,[흥미진진한 음악],,흥미진진한 음악
256.882,257.883,R247-S01-T001-U000051,굿 샷,굿 샷,굿 샷
258.425,259.676,R247-S01-T001-U000052,잠파노 많이 늘었네,잠파노 많이 늘었네,잠파노 많이 늘었네
259.76,261.011,R247-S01-T001-U000053,(뽀빠이)오빠가 쏜 거다,오빠가 쏜 거다,뽀빠이 오빠가 쏜 거다
