begin,end,id,text,prep_verbal,prep_read
13.013,14.431,R142-S01-T012-U000001,"""NETFLIX 오리지널 시리즈""",,
14.514,16.433,R142-S01-T012-U000002,[주제곡],,주제곡
47.047,48.548,R142-S01-T012-U000003,[시계가 따르릉 울린다][다가오는 발걸음],,시계가 따르릉 울린다 다가오는 발걸음
48.632,50.008,R142-S01-T012-U000004,"(해남) 성산 아버지, 일어나요","성산 아버지 , 일어나요","해남 성산 아버지 , 일어나요"
50.717,52.177,R142-S01-T012-U000005,오늘 공연 날이야,오늘 공연 날이야,오늘 공연 날이야
56.932,58.016,R142-S01-T012-U000006,[해남이 시계를 달칵 끈다],,해남이 시계를 달칵 끈다
59.017,60.227,R142-S01-T012-U000007,성산 아버지,성산 아버지,성산 아버지
60.936,63.146,R142-S01-T012-U000008,[덕출의 잠에 취한 신음],,덕출의 잠에 취한 신음
64.106,65.399,R142-S01-T012-U000009,[덕출의 힘주는 신음],,덕출의 힘주는 신음
65.482,68.86,R142-S01-T012-U000010,"(해남) 아이고왜 이래, 정신 못 차리고[해남의 웃음]","아이고왜 이래 , 정신 못 차리고","해남 아이고왜 이래 , 정신 못 차리고 해남의 웃음"
72.823,74.157,R142-S01-T012-U000011,누구세요?,누구세요 ?,누구세요 ?
74.741,76.66,R142-S01-T012-U000012,[무거운 음악],,무거운 음악
78.203,79.329,R142-S01-T012-U000013,[문이 달칵 열린다],,문이 달칵 열린다
82.916,83.834,R142-S01-T012-U000014,[하품],,하품
85.919,87.421,R142-S01-T012-U000015,(덕출) 누구시냐고요,누구시냐고요,덕출 누구시냐고요
99.766,101.977,R142-S01-T012-U000016,(성관) 저는 기억나요?,저는 기억나요 ?,성관 저는 기억나요 ?
105.105,106.44,R142-S01-T012-U000017,"누구예요, 내가?","누구예요 , 내가 ?","누구예요 , 내가 ?"
106.523,107.941,R142-S01-T012-U000018,[성관의 떨리는 숨소리][해남이 성관을 탁 잡는다],,성관의 떨리는 숨소리 해남이 성관을 탁 잡는다
108.483,109.943,R142-S01-T012-U000019,(해남) 아버지 놀라신다,아버지 놀라신다,해남 아버지 놀라신다
114.656,116.241,R142-S01-T012-U000020,성산 아버지,성산 아버지,성산 아버지
118.91,120.162,R142-S01-T012-U000021,(덕출) 저기…,저기,덕출 저기
122.205,123.332,R142-S01-T012-U000022,절 알아요?,절 알아요 ?,절 알아요 ?
