begin,end,id,text,prep_verbal,prep_read
1.001,7.007,R137-S01-T001-U000001,[잔잔한 음악],,잔잔한 음악
41.041,47.923,R137-S01-T001-U000002,[잔잔한 음악],,잔잔한 음악
57.391,58.976,R137-S01-T001-U000003,"(견우) 2년 전, 바로 오늘","년 전 , 바로 오늘","견우 년 전 , 바로 오늘"
59.851,64.106,R137-S01-T001-U000004,"(견우) 그녀와 저는, 이 자리에타임캡슐을 묻었습니다","그녀와 저는 , 이 자리에타임캡슐을 묻었습니다","견우 그녀와 저는 , 이 자리에타임캡슐을 묻었습니다"
65.524,69.528,R137-S01-T001-U000005,(견우) 오늘은 우리가 2년 만에다시 만나는 날이지만,오늘은 우리가 년 만에다시 만나는 날이지만,견우 오늘은 우리가 년 만에다시 만나는 날이지만
70.362,73.991,R137-S01-T001-U000006,(견우) 그녀는 아직나타나지 않습니다,그녀는 아직나타나지 않습니다,견우 그녀는 아직나타나지 않습니다
75.325,77.703,R137-S01-T001-U000007,"(견우) 저는, 기다립니다","저는 , 기다립니다","견우 저는 , 기다립니다"
85.544,86.795,R137-S01-T001-U000008,"(사진사) 자, 찍겠습니다","자 , 찍겠습니다","사진사 자 , 찍겠습니다"
87.504,88.588,R137-S01-T001-U000009,(사진사) 움직이지 마시고요,움직이지 마시고요,사진사 움직이지 마시고요
89.673,90.924,R137-S01-T001-U000010,"[휴대전화 벨소리](사진사) 자, 하나, 둘","자 , 하나 , 둘","휴대전화 벨소리 사진사 자 , 하나 , 둘"
91.008,92.009,R137-S01-T001-U000011,"아잇, 잠깐만, 잠깐만, 잠깐만","아잇 , 잠깐만 , 잠깐만 , 잠깐만","아잇 , 잠깐만 , 잠깐만 , 잠깐만"
96.555,101.268,R137-S01-T001-U000012,"여보세요? 아, 예, 고모아, 죄송해요","여보세요 ? 아 , 예 , 고모아 , 죄송해요","여보세요 ? 아 , 예 , 고모아 , 죄송해요"
101.351,104.98,R137-S01-T001-U000013,"갈게요아이, 죄송하다고 했잖아요","갈게요아이 , 죄송하다고 했잖아요","갈게요아이 , 죄송하다고 했잖아요"
105.981,110.235,R137-S01-T001-U000014,"예, 간다니까요아이, 지금 사진 찍고 있어요","예 , 간다니까요아이 , 지금 사진 찍고 있어요","예 , 간다니까요아이 , 지금 사진 찍고 있어요"
111.486,113.53,R137-S01-T001-U000015,예[휴대폰 닫는 소리],예,예 휴대폰 닫는 소리
114.531,116.325,R137-S01-T001-U000016,"- (사진사) 자, 됐습니까?- 아, 네","자 , 됐습니까 ? 아 , 네","사진사 자 , 됐습니까 ? 아 , 네"
117.659,118.785,R137-S01-T001-U000017,"(사진사) 자, 찍습니다","자 , 찍습니다","사진사 자 , 찍습니다"
119.786,121.413,R137-S01-T001-U000018,"(사진사) 하나, 둘[카메라 셔터 소리]","하나 , 둘","사진사 하나 , 둘 카메라 셔터 소리"
121.496,123.79,R137-S01-T001-U000019,[잔잔한 음악],,잔잔한 음악
123.874,126.043,R137-S01-T001-U000020,(견우) 부모님은제가 딸이길 원해서,부모님은제가 딸이길 원해서,견우 부모님은제가 딸이길 원해서
126.293,128.503,R137-S01-T001-U000021,(견우) 저를 어려서부터딸처럼 키우셨습니다,저를 어려서부터딸처럼 키우셨습니다,견우 저를 어려서부터딸처럼 키우셨습니다
130.881,134.343,R137-S01-T001-U000022,(견우) 그래서 저는 7살까지여자인 줄만 알았습니다,그래서 저는 살까지여자인 줄만 알았습니다,견우 그래서 저는 살까지여자인 줄만 알았습니다
139.056,141.725,R137-S01-T001-U000023,(견우) 그리고 목욕탕도엄마하고만 갔습니다,그리고 목욕탕도엄마하고만 갔습니다,견우 그리고 목욕탕도엄마하고만 갔습니다
142.851,145.937,R137-S01-T001-U000024,(견우) 저는 나이가 들면고추가 점점 작아져서,저는 나이가 들면고추가 점점 작아져서,견우 저는 나이가 들면고추가 점점 작아져서
146.021,148.273,R137-S01-T001-U000025,(견우) 사라지는 줄로만알았습니다,사라지는 줄로만알았습니다,견우 사라지는 줄로만알았습니다
149.024,152.569,R137-S01-T001-U000026,"(견우) 근데, 정반대더군요","근데 , 정반대더군요","견우 근데 , 정반대더군요"
155.655,161.37,R137-S01-T001-U000027,[슈우웅하고 통통 튀는 소리][으르렁 소리],,슈우웅하고 통통 튀는 소리 으르렁 소리
163.038,164.247,R137-S01-T001-U000028,(친구1) 변한 게하나도 없지 않냐,변한 게하나도 없지 않냐,친구 변한 게하나도 없지 않냐
164.331,167.292,R137-S01-T001-U000029,내가 얼마나 남자다워졌는데이 자식들아,내가 얼마나 남자다워졌는데이 자식들아,내가 얼마나 남자다워졌는데이 자식들아
167.376,168.418,R137-S01-T001-U000030,"(친구2) 야, 이 띱때야","야 , 이 띱때야","친구 야 , 이 띱때야"
168.502,170.295,R137-S01-T001-U000031,(친구2) 공익근무요원이 무슨군대 생활이냐?,공익근무요원이 무슨군대 생활이냐 ?,친구 공익근무요원이 무슨군대 생활이냐 ?
170.587,171.588,R137-S01-T001-U000032,(친구2) 제대 좋아하네,제대 좋아하네,친구 제대 좋아하네
171.671,175.342,R137-S01-T001-U000033,"아나, 이 띱때 정말 짜증나네야, 공익근무요원이 뭐냐?","아나 , 이 띱때 정말 짜증나네야 , 공익근무요원이 뭐냐 ?","아나 , 이 띱때 정말 짜증나네야 , 공익근무요원이 뭐냐 ?"
175.425,177.177,R137-S01-T001-U000034,"공근이라고 불러, 공근, 자식아","공근이라고 불러 , 공근 , 자식아","공근이라고 불러 , 공근 , 자식아"
177.26,179.638,R137-S01-T001-U000035,"(견우) 내가 이래 봬도 전방에서근무했단 말이야, 자식아","내가 이래 봬도 전방에서근무했단 말이야 , 자식아","견우 내가 이래 봬도 전방에서근무했단 말이야 , 자식아"
179.721,181.932,R137-S01-T001-U000036,(친구2) 공근?구파발이 전방이냐?,공근 ? 구파발이 전방이냐 ?,친구 공근 ? 구파발이 전방이냐 ?
182.349,185.31,R137-S01-T001-U000037,"(친구1) 야야야, 어쨌든복학을 축하한다, 한잔하자","야야야 , 어쨌든복학을 축하한다 , 한잔하자","친구 야야야 , 어쨌든복학을 축하한다 , 한잔하자"
185.894,189.773,R137-S01-T001-U000038,제 이상형입니다이상형이 지나가면 전 못 참습니다,제 이상형입니다이상형이 지나가면 전 못 참습니다,제 이상형입니다이상형이 지나가면 전 못 참습니다
189.981,191.358,R137-S01-T001-U000039,말을 붙여봐야죠,말을 붙여봐야죠,말을 붙여봐야죠
192.401,194.152,R137-S01-T001-U000040,[술 마시는 소리][잔을 내려놓는 소리],,술 마시는 소리 잔을 내려놓는 소리
195.946,199.241,R137-S01-T001-U000041,"[휴대폰 벨소리]아이, 중요한 시간에 이거","아이 , 중요한 시간에 이거","휴대폰 벨소리 아이 , 중요한 시간에 이거"
199.658,201.451,R137-S01-T001-U000042,"여보세요, 누구니","여보세요 , 누구니","여보세요 , 누구니"
201.535,203.328,R137-S01-T001-U000043,"- (엄마) 네 어미다, 이놈의 새끼야- 아, 엄마","네 어미다 , 이놈의 새끼야 아 , 엄마","엄마 네 어미다 , 이놈의 새끼야 아 , 엄마"
203.412,205.247,R137-S01-T001-U000044,(엄마) 너 공원에 간다더니지금 뭐하고 있는 거야,너 공원에 간다더니지금 뭐하고 있는 거야,엄마 너 공원에 간다더니지금 뭐하고 있는 거야
205.33,207.833,R137-S01-T001-U000045,"아이, 저, 저 곧 갈 건데요","아이 , 저 , 저 곧 갈 건데요","아이 , 저 , 저 곧 갈 건데요"
207.916,210.001,R137-S01-T001-U000046,(엄마) 아저씨 안된다니까왜 그러세요,아저씨 안된다니까왜 그러세요,엄마 아저씨 안된다니까왜 그러세요
210.085,213.088,R137-S01-T001-U000047,"아이 띱때들아, 엉아 전화 받잖아좀 조용히 좀 해 봐, 아이","아이 띱때들아 , 엉아 전화 받잖아좀 조용히 좀 해 봐 , 아이","아이 띱때들아 , 엉아 전화 받잖아좀 조용히 좀 해 봐 , 아이"
213.171,214.84,R137-S01-T001-U000048,"(엄마) 오늘은 꼭좀 갔다 와라, 응?","오늘은 꼭좀 갔다 와라 , 응 ?","엄마 오늘은 꼭좀 갔다 와라 , 응 ?"
215.173,217.05,R137-S01-T001-U000049,"(엄마) 물어본 지 너1년도 넘었지, 지금","물어본 지 너년도 넘었지 , 지금","엄마 물어본 지 너년도 넘었지 , 지금"
217.134,219.01,R137-S01-T001-U000050,"잠깐만, 잠깐만, 작년에 봤나?","잠깐만 , 잠깐만 , 작년에 봤나 ?","잠깐만 , 잠깐만 , 작년에 봤나 ?"
219.344,221.263,R137-S01-T001-U000051,(엄마) 고모 작년에하나 밖에 없는 자식 잃고,고모 작년에하나 밖에 없는 자식 잃고,엄마 고모 작년에하나 밖에 없는 자식 잃고
221.346,222.973,R137-S01-T001-U000052,(엄마) 적적하게 사는 거잘 알잖아,적적하게 사는 거잘 알잖아,엄마 적적하게 사는 거잘 알잖아
223.64,225.559,R137-S01-T001-U000053,(엄마) 너하고 걔하고너무 닮았다고 그랬는데,너하고 걔하고너무 닮았다고 그랬는데,엄마 너하고 걔하고너무 닮았다고 그랬는데
226.226,229.688,R137-S01-T001-U000054,(엄마) 고모가 너 보면얼마나 좋아하겠냐? 응?,고모가 너 보면얼마나 좋아하겠냐 ? 응 ?,엄마 고모가 너 보면얼마나 좋아하겠냐 ? 응 ?
229.771,232.19,R137-S01-T001-U000055,"- (엄마) 야, 아니야? 응- 아휴, 아이고","야 , 아니야 ? 응 아휴 , 아이고","엄마 야 , 아니야 ? 응 아휴 , 아이고"
232.774,234.568,R137-S01-T001-U000056,"닮기는 뭐, 하나도 안 닮았더구만","닮기는 뭐 , 하나도 안 닮았더구만","닮기는 뭐 , 하나도 안 닮았더구만"
234.651,237.404,R137-S01-T001-U000057,"그리고, 고모 나 만나면그 얼굴 비벼대고","그리고 , 고모 나 만나면그 얼굴 비벼대고","그리고 , 고모 나 만나면그 얼굴 비벼대고"
237.487,239.239,R137-S01-T001-U000058,- 뽀뽀할라 그래서 나 싫어- (엄마) 뭐?,뽀뽀할라 그래서 나 싫어 뭐 ?,뽀뽀할라 그래서 나 싫어 엄마 뭐 ?
239.322,240.657,R137-S01-T001-U000059,그리고 고모부도 그렇고[시끌벅적한 소리],그리고 고모부도 그렇고,그리고 고모부도 그렇고 시끌벅적한 소리
241.324,244.327,R137-S01-T001-U000060,"(엄마) 너 오면여자 소개시켜준다는데, 야!","너 오면여자 소개시켜준다는데 , 야 !","엄마 너 오면여자 소개시켜준다는데 , 야 !"
244.786,248.665,R137-S01-T001-U000061,"에휴, 고모가 소개시켜주는여자가 뻔하지 뭐, 됐다 그러세요","에휴 , 고모가 소개시켜주는여자가 뻔하지 뭐 , 됐다 그러세요","에휴 , 고모가 소개시켜주는여자가 뻔하지 뭐 , 됐다 그러세요"
248.749,251.126,R137-S01-T001-U000062,[지하철 지나가는 소리],,지하철 지나가는 소리
252.669,257.174,R137-S01-T001-U000063,[사람들의 말과 발걸음 소리],,사람들의 말과 발걸음 소리
258.258,261.595,R137-S01-T001-U000064,(견우) 전 언제나순정만화 속의 주인공 같은,전 언제나순정만화 속의 주인공 같은,견우 전 언제나순정만화 속의 주인공 같은
261.678,263.472,R137-S01-T001-U000065,(견우) 그런 여자를만나고 싶었습니다,그런 여자를만나고 싶었습니다,견우 그런 여자를만나고 싶었습니다
264.806,269.352,R137-S01-T001-U000066,"(견우) 근데, 바로 그날[지하철 경보음]","근데 , 바로 그날","견우 근데 , 바로 그날 지하철 경보음"
270.061,272.564,R137-S01-T001-U000067,[지하철 들어오는 소리],,지하철 들어오는 소리
272.647,278.236,R137-S01-T001-U000068,[지하철 경적음][지하철 들어오는 소리],,지하철 경적음 지하철 들어오는 소리
301.885,303.72,R137-S01-T001-U000069,[머리를 박는 소리],,머리를 박는 소리
317.776,320.987,R137-S01-T001-U000070,(견우) 그녀는 제 이상형이지만전 싫습니다,그녀는 제 이상형이지만전 싫습니다,견우 그녀는 제 이상형이지만전 싫습니다
321.321,326.243,R137-S01-T001-U000071,"(견우) 왜냐고요? 어후, 저는술에 취한 여자는 딱 질색입니다","왜냐고요 ? 어후 , 저는술에 취한 여자는 딱 질색입니다","견우 왜냐고요 ? 어후 , 저는술에 취한 여자는 딱 질색입니다"
330.163,337.17,R137-S01-T001-U000072,[견우의 비웃음],,견우의 비웃음
341.55,342.968,R137-S01-T001-U000073,[그녀의 휘청거리는 소리],,그녀의 휘청거리는 소리
349.516,351.059,R137-S01-T001-U000074,[노인의 헛기침 소리],,노인의 헛기침 소리
356.94,359.317,R137-S01-T001-U000075,야! 너 얼른 안 일어나?,야 ! 너 얼른 안 일어나 ?,야 ! 너 얼른 안 일어나 ?
360.026,362.279,R137-S01-T001-U000076,노인네한테 자리 양보 해야지!,노인네한테 자리 양보 해야지 !,노인네한테 자리 양보 해야지 !
363.196,366.992,R137-S01-T001-U000077,[풍선껌 터지는 소리][비웃음 소리],,풍선껌 터지는 소리 비웃음 소리
367.576,368.577,R137-S01-T001-U000078,[뒷통수 때리는 소리]으윽,으윽,뒷통수 때리는 소리 으윽
375.834,377.043,R137-S01-T001-U000079,가![견우의 헉 하는 소리],가 !,가 ! 견우의 헉 하는 소리
387.804,388.93,R137-S01-T001-U000080,[헛기침 소리]야,야,헛기침 소리 야
392.017,394.019,R137-S01-T001-U000081,분홍색 옷 입지마,분홍색 옷 입지마,분홍색 옷 입지마
398.523,402.068,R137-S01-T001-U000082,[지하철 역 안내 소리],,지하철 역 안내 소리
418.335,424.674,R137-S01-T001-U000083,[헛구역질 소리],,헛구역질 소리
434.059,437.896,R137-S01-T001-U000084,[헛구역질 소리],,헛구역질 소리
445.195,446.196,R137-S01-T001-U000085,[한숨 소리],,한숨 소리
449.95,455.914,R137-S01-T001-U000086,[꿀꺽 삼키는 소리],,꿀꺽 삼키는 소리
468.426,471.221,R137-S01-T001-U000087,[견우의 신음소리],,견우의 신음소리
472.681,474.849,R137-S01-T001-U000088,[그녀의 토하는 소리][사람들의 비명소리],,그녀의 토하는 소리 사람들의 비명소리
474.933,475.85,R137-S01-T001-U000089,아휴,아휴,아휴
476.226,478.937,R137-S01-T001-U000090,(그녀) 으어…[우스꽝스러운 음악],으어,그녀 으어 우스꽝스러운 음악
479.02,482.023,R137-S01-T001-U000091,[웅성거리는 소리],,웅성거리는 소리
485.986,489.28,R137-S01-T001-U000092,[놀라는 소리]으으으으,으으으으,놀라는 소리 으으으으
489.364,491.825,R137-S01-T001-U000093,[그녀의 토하는 소리](노인) 아악!,아악 !,그녀의 토하는 소리 노인 아악 !
500.125,501.459,R137-S01-T001-U000094,자기야…,자기야,자기야
502.085,503.086,R137-S01-T001-U000095,[넘어지는 소리],,넘어지는 소리
505.922,507.59,R137-S01-T001-U000096,"아이, 저 아니에요","아이 , 저 아니에요","아이 , 저 아니에요"
507.799,510.51,R137-S01-T001-U000097,- (노인) 뭘- 저 아니에요,뭘 저 아니에요,노인 뭘 저 아니에요
510.593,512.512,R137-S01-T001-U000098,"예이, 너 뒤처리 해","예이 , 너 뒤처리 해","예이 , 너 뒤처리 해"
512.595,515.89,R137-S01-T001-U000099,"허, 아니, 자기가 아닌데…","허 , 아니 , 자기가 아닌데","허 , 아니 , 자기가 아닌데"
515.974,519.31,R137-S01-T001-U000100,(노인) 아니긴 뭐가 아니야이리와!,아니긴 뭐가 아니야이리와 !,노인 아니긴 뭐가 아니야이리와 !
524.482,526.985,R137-S01-T001-U000101,[견우의 웃음소리]뭘 웃어?,뭘 웃어 ?,견우의 웃음소리 뭘 웃어 ?
527.527,530.196,R137-S01-T001-U000102,"아니, 애인이 술 먹었다고나 몰라라 하고 있어?","아니 , 애인이 술 먹었다고나 몰라라 하고 있어 ?","아니 , 애인이 술 먹었다고나 몰라라 하고 있어 ?"
531.448,533.742,R137-S01-T001-U000103,"아, 빨리 이것 좀 어떻게 해 봐","아 , 빨리 이것 좀 어떻게 해 봐","아 , 빨리 이것 좀 어떻게 해 봐"
535.952,537.037,R137-S01-T001-U000104,으휴[웅성거리는 소리],으휴,으휴 웅성거리는 소리
543.835,545.295,R137-S01-T001-U000105,으휴…,으휴,으휴
551.593,554.012,R137-S01-T001-U000106,어잇… 으휴,어잇 으휴,어잇 으휴
556.431,558.308,R137-S01-T001-U000107,"아잇, 뭘 하는 거야","아잇 , 뭘 하는 거야","아잇 , 뭘 하는 거야"
559.768,561.227,R137-S01-T001-U000108,- 오우…- 아휴,오우 아휴,오우 아휴
562.896,564.773,R137-S01-T001-U000109,[지하철 역 안내음],,지하철 역 안내음
564.856,569.819,R137-S01-T001-U000110,"어우, 저, 죄송합니다뭐 어떻게 저, 세탁비라도…","어우 , 저 , 죄송합니다뭐 어떻게 저 , 세탁비라도","어우 , 저 , 죄송합니다뭐 어떻게 저 , 세탁비라도"
570.57,575.867,R137-S01-T001-U000111,"아, 아휴, 됐어 됐어애인이나 잘 챙겨, 아휴, 에이","아 , 아휴 , 됐어 됐어애인이나 잘 챙겨 , 아휴 , 에이","아 , 아휴 , 됐어 됐어애인이나 잘 챙겨 , 아휴 , 에이"
580.121,581.498,R137-S01-T001-U000112,"아우, 씨…","아우 , 씨","아우 , 씨"
581.581,583.124,R137-S01-T001-U000113,[지하철 지나가는 소리],,지하철 지나가는 소리
586.544,590.048,R137-S01-T001-U000114,[웅성거리는 소리],,웅성거리는 소리
599.432,600.683,R137-S01-T001-U000115,[견우의 힘겨운 소리],,견우의 힘겨운 소리
624.374,625.917,R137-S01-T001-U000116,[그녀의 쓰러지는 소리],,그녀의 쓰러지는 소리
626.0,629.921,R137-S01-T001-U000117,[사람들의 웃음소리](그녀) 아이씨…,아이씨,사람들의 웃음소리 그녀 아이씨
639.931,642.934,R137-S01-T001-U000118,[가방 던지는 소리][뛰어가는 견우의 발걸음],,가방 던지는 소리 뛰어가는 견우의 발걸음
650.316,651.276,R137-S01-T001-U000119,[견우의 한숨 소리],,견우의 한숨 소리
662.996,669.085,R137-S01-T001-U000120,[견우의 헥헥거리는 소리],,견우의 헥헥거리는 소리
669.836,672.922,R137-S01-T001-U000121,[발랄한 피아노 음악],,발랄한 피아노 음악
678.428,680.263,R137-S01-T001-U000122,(견우) 개똥도 약에쓰려면 없다고,개똥도 약에쓰려면 없다고,견우 개똥도 약에쓰려면 없다고
