begin,end,id,text,prep_verbal,prep_read
6.173,9.927,R116-S01-T004-U000001,"""넷플릭스 시리즈""",넷플릭스 시리즈,넷플릭스 시리즈
10.01,11.803,R116-S01-T004-U000002,"[흥미진진한 음악](교수) 총탄이뇌나 심장, 대혈관 등","총탄이뇌나 심장 , 대혈관 등","흥미진진한 음악 교수 총탄이뇌나 심장 , 대혈관 등"
11.887,13.222,R116-S01-T004-U000003,주요 장기에 손상을 입혔을 때는,주요 장기에 손상을 입혔을 때는,주요 장기에 손상을 입혔을 때는
13.305,15.933,R116-S01-T004-U000004,우리가 할 수 있는 응급조치는거의 없다고 봐야 돼,우리가 할 수 있는 응급조치는거의 없다고 봐야 돼,우리가 할 수 있는 응급조치는거의 없다고 봐야 돼
16.016,18.227,R116-S01-T004-U000005,하지만 그 외 연부조직이손상됐을 때,하지만 그 외 연부조직이손상됐을 때,하지만 그 외 연부조직이손상됐을 때
18.31,20.812,R116-S01-T004-U000006,그때 할 수 있는 응급조치를배워두는 게 좋아,그때 할 수 있는 응급조치를배워두는 게 좋아,그때 할 수 있는 응급조치를배워두는 게 좋아
20.896,23.899,R116-S01-T004-U000007,(교수) 나이로비만약 덴버가 여기에 총을 맞았어,나이로비만약 덴버가 여기에 총을 맞았어,교수 나이로비만약 덴버가 여기에 총을 맞았어
23.982,26.944,R116-S01-T004-U000008,지금 이 부위에 무슨 주요 장기가들어있는지 알고 있어야,지금 이 부위에 무슨 주요 장기가들어있는지 알고 있어야,지금 이 부위에 무슨 주요 장기가들어있는지 알고 있어야
27.027,28.946,R116-S01-T004-U000009,손상 정도를 파악할 수 있겠지?,손상 정도를 파악할 수 있겠지 ?,손상 정도를 파악할 수 있겠지 ?
30.989,32.199,R116-S01-T004-U000010,(나이로비) 간!,간 !,나이로비 간 !
32.741,34.493,R116-S01-T004-U000011,간 아닌가? 맞지?,간 아닌가 ? 맞지 ?,간 아닌가 ? 맞지 ?
36.161,37.037,R116-S01-T004-U000012,그려볼 수 있겠어?,그려볼 수 있겠어 ?,그려볼 수 있겠어 ?
37.12,39.581,R116-S01-T004-U000013,[으스대는 숨을 내쉰다]내가 또 간호사로 몇 건 뛰었잖아?,내가 또 간호사로 몇 건 뛰었잖아 ?,으스대는 숨을 내쉰다 내가 또 간호사로 몇 건 뛰었잖아 ?
40.415,41.667,R116-S01-T004-U000014,(나이로비) 이 정도 짬은 되지,이 정도 짬은 되지,나이로비 이 정도 짬은 되지
41.75,43.752,R116-S01-T004-U000015,[덴버의 못마땅한 신음]좀 더 내려봐,좀 더 내려봐,덴버의 못마땅한 신음 좀 더 내려봐
44.544,47.714,R116-S01-T004-U000016,"(베를린) 야, 거긴, 거기는맹장 아니믄 소장일 거야","야 , 거긴 , 거기는맹장 아니믄 소장일 거야","베를린 야 , 거긴 , 거기는맹장 아니믄 소장일 거야"
47.798,49.508,R116-S01-T004-U000017,"(헬싱키) 그나저나그 간땡이가 많이 부었다, 야","그나저나그 간땡이가 많이 부었다 , 야","헬싱키 그나저나그 간땡이가 많이 부었다 , 야"
49.591,52.135,R116-S01-T004-U000018,[함께 크게 웃는다],,함께 크게 웃는다
52.219,53.845,R116-S01-T004-U000019,"(나이로비) G, A, N, 간",", , , 간","나이로비 , , , 간"
53.929,55.305,R116-S01-T004-U000020,[함께 크게 웃는다],,함께 크게 웃는다
56.974,59.393,R116-S01-T004-U000021,"리우, 네가 해볼래?","리우 , 네가 해볼래 ?","리우 , 네가 해볼래 ?"
60.31,62.145,R116-S01-T004-U000022,"선생님, 메스 여기 있습니다","선생님 , 메스 여기 있습니다","선생님 , 메스 여기 있습니다"
66.65,68.485,R116-S01-T004-U000023,"아니, 근데 그런 건도대체 왜 하는 건데?","아니 , 근데 그런 건도대체 왜 하는 건데 ?","아니 , 근데 그런 건도대체 왜 하는 건데 ?"
69.528,71.071,R116-S01-T004-U000024,목숨을 걸어야 되는 일이니까,목숨을 걸어야 되는 일이니까,목숨을 걸어야 되는 일이니까
71.154,73.115,R116-S01-T004-U000025,[헛웃음 치며] 목숨은그냥 애들 장난 같은데,목숨은그냥 애들 장난 같은데,헛웃음 치며 목숨은그냥 애들 장난 같은데
73.198,75.742,R116-S01-T004-U000026,니 총 맞아도 총알 안 빼준다?,니 총 맞아도 총알 안 빼준다 ?,니 총 맞아도 총알 안 빼준다 ?
75.826,77.995,R116-S01-T004-U000027,너 같은 초짜가 총알 빼겠다고헤집게 하느니,너 같은 초짜가 총알 빼겠다고헤집게 하느니,너 같은 초짜가 총알 빼겠다고헤집게 하느니
78.078,79.413,R116-S01-T004-U000028,(리우) 그냥 두는 게 나아,그냥 두는 게 나아,리우 그냥 두는 게 나아
79.496,81.039,R116-S01-T004-U000029,우리 중에초짜가 아닌 사람도 있잖아,우리 중에초짜가 아닌 사람도 있잖아,우리 중에초짜가 아닌 사람도 있잖아
85.002,85.877,R116-S01-T004-U000030,(나이로비) 대박,대박,나이로비 대박
85.961,87.629,R116-S01-T004-U000031,너 진짜 의사였어?,너 진짜 의사였어 ?,너 진짜 의사였어 ?
87.713,89.756,R116-S01-T004-U000032,"아, 의사는 무슨학교 때려치운 지가 언젠데","아 , 의사는 무슨학교 때려치운 지가 언젠데","아 , 의사는 무슨학교 때려치운 지가 언젠데"
90.549,93.719,R116-S01-T004-U000033,아무튼나는 내가 맡은 일만 할 거니까,아무튼나는 내가 맡은 일만 할 거니까,아무튼나는 내가 맡은 일만 할 거니까
95.178,97.347,R116-S01-T004-U000034,병원놀이는니들끼리 알아서 하든지,병원놀이는니들끼리 알아서 하든지,병원놀이는니들끼리 알아서 하든지
98.557,99.558,R116-S01-T004-U000035,[교수가 팔을 탁 잡는다],,교수가 팔을 탁 잡는다
100.6,103.645,R116-S01-T004-U000036,"(덴버) 아, 새끼 저거저, 한 대 맞아야겠네, 저거","아 , 새끼 저거저 , 한 대 맞아야겠네 , 저거","덴버 아 , 새끼 저거저 , 한 대 맞아야겠네 , 저거"
105.981,110.277,R116-S01-T004-U000037,"아휴, 총에 맞아 뒈지든총알을 빼다 뒈지든","아휴 , 총에 맞아 뒈지든총알을 빼다 뒈지든","아휴 , 총에 맞아 뒈지든총알을 빼다 뒈지든"
111.278,113.155,R116-S01-T004-U000038,마음대로들 하세요,마음대로들 하세요,마음대로들 하세요
117.868,119.62,R116-S01-T004-U000039,[도어 록 조작음],,도어 록 조작음
119.703,120.996,R116-S01-T004-U000040,[도어 록 작동음][문이 달칵 열린다],,도어 록 작동음 문이 달칵 열린다
122.873,124.291,R116-S01-T004-U000041,[문이 탁 닫힌다][다가오는 발소리],,문이 탁 닫힌다 다가오는 발소리
125.417,126.918,R116-S01-T004-U000042,[리우가 지친 숨을 내뱉는다],,리우가 지친 숨을 내뱉는다
127.002,129.087,R116-S01-T004-U000043,"(리우) 아유, 맛있겠다","아유 , 맛있겠다","리우 아유 , 맛있겠다"
132.507,133.717,R116-S01-T004-U000044,[리우의 피곤한 신음],,리우의 피곤한 신음
134.301,135.385,R116-S01-T004-U000045,밥은 먹었니?,밥은 먹었니 ?,밥은 먹었니 ?
136.011,137.012,R116-S01-T004-U000046,(리우) 주세요,주세요,리우 주세요
143.894,145.02,R116-S01-T004-U000047,뭐 하고 다니냐?,뭐 하고 다니냐 ?,뭐 하고 다니냐 ?
146.313,147.397,R116-S01-T004-U000048,[헛웃음],,헛웃음
148.857,150.108,R116-S01-T004-U000049,이제 제가 좀 보이세요?,이제 제가 좀 보이세요 ?,이제 제가 좀 보이세요 ?
150.192,151.735,R116-S01-T004-U000050,(리우) 난 또 안 보이는 줄,난 또 안 보이는 줄,리우 난 또 안 보이는 줄
151.818,154.279,R116-S01-T004-U000051,"뭐, 그냥 지저분한 애들이랑","뭐 , 그냥 지저분한 애들이랑","뭐 , 그냥 지저분한 애들이랑"
154.863,157.949,R116-S01-T004-U000052,"약도 하고 떡도 치고거, 지저분하게 놀다가","약도 하고 떡도 치고거 , 지저분하게 놀다가","약도 하고 떡도 치고거 , 지저분하게 놀다가"
158.033,159.284,R116-S01-T004-U000053,돈 떨어져서 들어왔어요,돈 떨어져서 들어왔어요,돈 떨어져서 들어왔어요
161.703,163.997,R116-S01-T004-U000054,[코웃음][숟가락을 탁 내려놓는다],,코웃음 숟가락을 탁 내려놓는다
175.675,176.593,R116-S01-T004-U000055,[안경을 탁 내려놓는다],,안경을 탁 내려놓는다
177.094,178.97,R116-S01-T004-U000056,학교에는 얘기해 둘 테니까,학교에는 얘기해 둘 테니까,학교에는 얘기해 둘 테니까
179.471,180.68,R116-S01-T004-U000057,복적 신청해라,복적 신청해라,복적 신청해라
185.644,187.104,R116-S01-T004-U000058,(리우 모) 목욕물 받아 놓을까요?,목욕물 받아 놓을까요 ?,리우 모 목욕물 받아 놓을까요 ?
189.106,190.232,R116-S01-T004-U000059,[시원한 숨을 내뱉는다],,시원한 숨을 내뱉는다
198.156,199.157,R116-S01-T004-U000060,[숟가락을 탁 내려놓는다],,숟가락을 탁 내려놓는다
199.866,200.951,R116-S01-T004-U000061,[잔잔한 음악],,잔잔한 음악
202.244,203.829,R116-S01-T004-U000062,(도쿄) 으리으리하네,으리으리하네,도쿄 으리으리하네
204.579,206.54,R116-S01-T004-U000063,저런 집들은 얼마나 해?,저런 집들은 얼마나 해 ?,저런 집들은 얼마나 해 ?
207.249,209.501,R116-S01-T004-U000064,(교수) 한 40~50억?,한 억 ?,교수 한 억 ?
213.672,215.424,R116-S01-T004-U000065,뭐로 돈 벌어서 산 건데?,뭐로 돈 벌어서 산 건데 ?,뭐로 돈 벌어서 산 건데 ?
216.758,218.009,R116-S01-T004-U000066,강도질이라도 한 건가?,강도질이라도 한 건가 ?,강도질이라도 한 건가 ?
219.01,221.221,R116-S01-T004-U000067,북쪽에서는 계급이 세습된다면,북쪽에서는 계급이 세습된다면,북쪽에서는 계급이 세습된다면
221.304,224.015,R116-S01-T004-U000068,(교수) 남쪽에서는부가 세습된다고 봐야지,남쪽에서는부가 세습된다고 봐야지,교수 남쪽에서는부가 세습된다고 봐야지
226.726,227.561,R116-S01-T004-U000069,궁금하지 않아?,궁금하지 않아 ?,궁금하지 않아 ?
228.186,229.813,R116-S01-T004-U000070,(교수) 돈 많은 집 철부지 막내가,돈 많은 집 철부지 막내가,교수 돈 많은 집 철부지 막내가
229.896,231.565,R116-S01-T004-U000071,대체 왜 우리 일에 끼게 되었는지?,대체 왜 우리 일에 끼게 되었는지 ?,대체 왜 우리 일에 끼게 되었는지 ?
232.274,233.442,R116-S01-T004-U000072,글쎄…,글쎄,글쎄
234.443,236.653,R116-S01-T004-U000073,"뭐, 다 각자 사정이 있는 거니까","뭐 , 다 각자 사정이 있는 거니까","뭐 , 다 각자 사정이 있는 거니까"
241.95,243.869,R116-S01-T004-U000074,[타이어 마찰음],,타이어 마찰음
243.952,245.495,R116-S01-T004-U000075,[요란한 배기음],,요란한 배기음
245.579,246.621,R116-S01-T004-U000076,[기어 조작음],,기어 조작음
246.705,248.707,R116-S01-T004-U000077,[타이어 마찰음],,타이어 마찰음
251.293,254.629,R116-S01-T004-U000078,[신나는 음악이 흘러나온다],,신나는 음악이 흘러나온다
255.589,257.507,R116-S01-T004-U000079,[사람들의 환호성],,사람들의 환호성
267.476,269.436,R116-S01-T004-U000080,[사람들의 환호성],,사람들의 환호성
277.527,279.404,R116-S01-T004-U000081,[연신 환호성을 지른다],,연신 환호성을 지른다
285.827,288.121,R116-S01-T004-U000082,"(리우) 아이, 씨!한 잔만 좀 하자고!","아이 , 씨 ! 한 잔만 좀 하자고 !","리우 아이 , 씨 ! 한 잔만 좀 하자고 !"
301.676,303.011,R116-S01-T004-U000083,(도쿄) 한심한 새끼,한심한 새끼,도쿄 한심한 새끼
304.054,305.222,R116-S01-T004-U000084,[도쿄의 거친 숨소리],,도쿄의 거친 숨소리
306.473,307.974,R116-S01-T004-U000085,[리우의 힘겨운 신음],,리우의 힘겨운 신음
308.058,309.142,R116-S01-T004-U000086,(리우) 그러니까,그러니까,리우 그러니까
309.226,311.895,R116-S01-T004-U000087,"아이고, 이렇게 한심한 새끼를","아이고 , 이렇게 한심한 새끼를","아이고 , 이렇게 한심한 새끼를"
311.978,314.481,R116-S01-T004-U000088,어? 뭐 하러 다시들 데리러 왔대?,어 ? 뭐 하러 다시들 데리러 왔대 ?,어 ? 뭐 하러 다시들 데리러 왔대 ?
316.441,317.442,R116-S01-T004-U000089,데리러 왔을까?,데리러 왔을까 ?,데리러 왔을까 ?
317.526,318.693,R116-S01-T004-U000090,(도쿄) 너 혹시 우리 계획도,너 혹시 우리 계획도,도쿄 너 혹시 우리 계획도
318.777,320.445,R116-S01-T004-U000091,너희 가족한테떠벌린 건 아니겠지?,너희 가족한테떠벌린 건 아니겠지 ?,너희 가족한테떠벌린 건 아니겠지 ?
320.529,323.073,R116-S01-T004-U000092,아마 그랬다간 너희 가족들도무사하지 못할 거야,아마 그랬다간 너희 가족들도무사하지 못할 거야,아마 그랬다간 너희 가족들도무사하지 못할 거야
323.949,326.368,R116-S01-T004-U000093,"[웃으며] 아, 이것들 진짜","아 , 이것들 진짜","웃으며 아 , 이것들 진짜"
327.41,329.746,R116-S01-T004-U000094,"아니, 내가 어, 그럴 줄 알았으면","아니 , 내가 어 , 그럴 줄 알았으면","아니 , 내가 어 , 그럴 줄 알았으면"
330.247,332.541,R116-S01-T004-U000095,진작에 다 얘기했지,진작에 다 얘기했지,진작에 다 얘기했지
333.166,336.378,R116-S01-T004-U000096,"아유, 씨, 졸라 아쉽다","아유 , 씨 , 졸라 아쉽다","아유 , 씨 , 졸라 아쉽다"
336.461,339.464,R116-S01-T004-U000097,"(리우) [웃으며] 아이고, 아쉽다","아이고 , 아쉽다","리우 웃으며 아이고 , 아쉽다"
339.548,340.841,R116-S01-T004-U000098,[계속 웃는다],,계속 웃는다
342.634,343.552,R116-S01-T004-U000099,[의미심장한 음악],,의미심장한 음악
343.635,344.803,R116-S01-T004-U000100,(교수) 내가 처음에 얘기했지,내가 처음에 얘기했지,교수 내가 처음에 얘기했지
344.886,346.429,R116-S01-T004-U000101,우리가 하려는 일은…,우리가 하려는 일은,우리가 하려는 일은
