begin,end,id,text,prep_verbal,prep_read
5.881,9.927,R207-S01-T008-U000001,"""NETFLIX 오리지널 시리즈""",,
10.01,12.221,R207-S01-T008-U000002,[주제곡],,주제곡
54.137,55.764,R207-S01-T008-U000003,[쿵 소리가 들린다],,쿵 소리가 들린다
58.558,59.81,R207-S01-T008-U000004,"(선영)이, 이게 무슨…","이 , 이게 무슨","선영 이 , 이게 무슨"
60.978,62.312,R207-S01-T008-U000005,(은혁)작전은 실패했어요,작전은 실패했어요,은혁 작전은 실패했어요
62.396,64.189,R207-S01-T008-U000006,[긴장되는 음악],,긴장되는 음악
66.858,68.777,R207-S01-T008-U000007,[힘겨운 신음],,힘겨운 신음
72.072,73.282,R207-S01-T008-U000008,[괴물1의 발걸음이 쿵쿵 울린다],,괴물의 발걸음이 쿵쿵 울린다
73.365,76.285,R207-S01-T008-U000009,[괴물1이 그르렁거린다],,괴물이 그르렁거린다
78.62,80.038,R207-S01-T008-U000010,[현수가 콜록거린다],,현수가 콜록거린다
84.668,86.128,R207-S01-T008-U000011,[현수의 힘주는 신음],,현수의 힘주는 신음
87.212,88.463,R207-S01-T008-U000012,[괴물1의 괴성],,괴물의 괴성
90.173,92.551,R207-S01-T008-U000013,[현수의 힘주는 신음],,현수의 힘주는 신음
92.634,93.719,R207-S01-T008-U000014,[기합],,기합
95.554,96.722,R207-S01-T008-U000015,[괴물1의 힘주는 괴성],,괴물의 힘주는 괴성
97.639,98.557,R207-S01-T008-U000016,[아파하는 신음],,아파하는 신음
101.268,102.394,R207-S01-T008-U000017,[괴물1의 힘주는 괴성],,괴물의 힘주는 괴성
105.397,107.232,R207-S01-T008-U000018,[괴물1의 괴성이 들린다],,괴물의 괴성이 들린다
110.652,111.82,R207-S01-T008-U000019,[은혁의 한숨],,은혁의 한숨
111.903,112.904,R207-S01-T008-U000020,(은혁)마취 못 해요,마취 못 해요,은혁 마취 못 해요
114.239,115.532,R207-S01-T008-U000021,쇼크사 가능성도 있고요,쇼크사 가능성도 있고요,쇼크사 가능성도 있고요
116.825,118.076,R207-S01-T008-U000022,수술 성공한다고 해도,수술 성공한다고 해도,수술 성공한다고 해도
120.329,121.788,R207-S01-T008-U000023,감염돼서 죽을 수도 있어요,감염돼서 죽을 수도 있어요,감염돼서 죽을 수도 있어요
123.081,124.041,R207-S01-T008-U000024,원망 안 해,원망 안 해,원망 안 해
126.626,127.544,R207-S01-T008-U000025,약속할게,약속할게,약속할게
140.057,141.183,R207-S01-T008-U000026,[고통스러운 신음],,고통스러운 신음
152.527,154.363,R207-S01-T008-U000027,"(길섭)꺼져, 이 육시랄 놈아!","꺼져 , 이 육시랄 놈아 !","길섭 꺼져 , 이 육시랄 놈아 !"
154.446,155.655,R207-S01-T008-U000028,[괴물1의 비명],,괴물의 비명
156.406,158.7,R207-S01-T008-U000029,[긴박한 음악],,긴박한 음악
159.451,161.161,R207-S01-T008-U000030,[괴물1이 화염병에 퍽 맞는다][괴물1의 비명],,괴물이 화염병에 퍽 맞는다 괴물의 비명
162.788,164.122,R207-S01-T008-U000031,[괴물1의 고통스러운 괴성],,괴물의 고통스러운 괴성
168.71,169.753,R207-S01-T008-U000032,[길섭의 힘주는 신음],,길섭의 힘주는 신음
174.049,175.509,R207-S01-T008-U000033,[길섭의 힘겨운 신음],,길섭의 힘겨운 신음
176.968,178.845,R207-S01-T008-U000034,[어두운 음악][괴물1이 그르렁거린다],,어두운 음악 괴물이 그르렁거린다
191.942,192.859,R207-S01-T008-U000035,[현수의 신음],,현수의 신음
195.404,196.53,R207-S01-T008-U000036,살아,살아,살아
203.829,206.581,R207-S01-T008-U000037,[괴물1의 비명][타이어 마찰음],,괴물의 비명 타이어 마찰음
214.923,215.966,R207-S01-T008-U000038,[놀라는 숨소리],,놀라는 숨소리
219.594,220.47,R207-S01-T008-U000039,(진옥)들어,들어,진옥 들어
220.554,221.888,R207-S01-T008-U000040,여긴 지켜야 될 거 아니야,여긴 지켜야 될 거 아니야,여긴 지켜야 될 거 아니야
227.352,229.187,R207-S01-T008-U000041,[어두운 음악],,어두운 음악
249.249,250.959,R207-S01-T008-U000042,"(상욱)이봐, 정신 차려","이봐 , 정신 차려","상욱 이봐 , 정신 차려"
266.433,268.018,R207-S01-T008-U000043,[괴물1의 괴성],,괴물의 괴성
268.101,269.394,R207-S01-T008-U000044,[놀라는 신음],,놀라는 신음
272.564,273.44,R207-S01-T008-U000045,[다급한 숨소리],,다급한 숨소리
273.94,275.317,R207-S01-T008-U000046,[괴물1의 힘주는 괴성][이경의 신음],,괴물의 힘주는 괴성 이경의 신음
277.36,279.029,R207-S01-T008-U000047,[괴물1의 힘주는 괴성][이경의 신음],,괴물의 힘주는 괴성 이경의 신음
282.908,284.868,R207-S01-T008-U000048,[이경의 다급한 신음],,이경의 다급한 신음
289.456,290.499,R207-S01-T008-U000049,[이경의 힘주는 신음],,이경의 힘주는 신음
295.962,297.589,R207-S01-T008-U000050,[괴물1의 괴성],,괴물의 괴성
300.008,301.551,R207-S01-T008-U000051,[지수의 괴로워하는 신음],,지수의 괴로워하는 신음
305.68,307.724,R207-S01-T008-U000052,[스파크가 팍팍 튄다],,스파크가 팍팍 튄다
317.4,319.653,R207-S01-T008-U000053,[어두운 음악],,어두운 음악
319.736,320.946,R207-S01-T008-U000054,[상욱의 다급한 숨소리],,상욱의 다급한 숨소리
328.286,329.704,R207-S01-T008-U000055,[괴물1이 그르렁거린다],,괴물이 그르렁거린다
331.039,332.29,R207-S01-T008-U000056,[긴박한 음악],,긴박한 음악
332.374,334.334,R207-S01-T008-U000057,[이경의 힘주는 신음],,이경의 힘주는 신음
338.338,339.714,R207-S01-T008-U000058,[괴성],,괴성
354.813,355.647,R207-S01-T008-U000059,[괴물1의 비명],,괴물의 비명
358.191,360.235,R207-S01-T008-U000060,[괴물1의 비명],,괴물의 비명
368.41,370.537,R207-S01-T008-U000061,[괴물1의 고통스러운 괴성],,괴물의 고통스러운 괴성
380.422,382.257,R207-S01-T008-U000062,[괴물1의 비명],,괴물의 비명
382.34,383.633,R207-S01-T008-U000063,[웅장한 음악],,웅장한 음악
403.111,404.029,R207-S01-T008-U000064,[괴물1의 힘주는 괴성],,괴물의 힘주는 괴성
405.905,407.365,R207-S01-T008-U000065,[힘주는 숨소리],,힘주는 숨소리
410.035,411.703,R207-S01-T008-U000066,[괴물1의 힘주는 괴성],,괴물의 힘주는 괴성
428.887,429.971,R207-S01-T008-U000067,[이경의 힘겨운 신음],,이경의 힘겨운 신음
436.269,437.354,R207-S01-T008-U000068,[괴물1의 비명],,괴물의 비명
440.565,442.15,R207-S01-T008-U000069,[비명],,비명
442.233,443.985,R207-S01-T008-U000070,[괴물1의 비명이 들린다],,괴물의 비명이 들린다
455.246,456.623,R207-S01-T008-U000071,[심호흡],,심호흡
464.339,465.757,R207-S01-T008-U000072,[컨테이너가 쿵 떨어진다],,컨테이너가 쿵 떨어진다
466.758,468.718,R207-S01-T008-U000073,[고통스러운 괴성],,고통스러운 괴성
474.391,476.184,R207-S01-T008-U000074,[가쁜 숨소리],,가쁜 숨소리
487.445,489.572,R207-S01-T008-U000075,[가쁜 숨소리],,가쁜 숨소리
492.867,493.91,R207-S01-T008-U000076,[은혁이 숨을 후 내뱉는다],,은혁이 숨을 후 내뱉는다
504.129,505.171,R207-S01-T008-U000077,[은혁의 한숨],,은혁의 한숨
