begin,end,id,text,prep_verbal,prep_read
6.006,9.134,R251-S01-T001-U000001,"""넷플릭스 시리즈""",넷플릭스 시리즈,넷플릭스 시리즈
9.218,11.22,R251-S01-T001-U000002,[주제곡],,주제곡
47.047,49.633,R251-S01-T001-U000003,[밝은 음악][여자들의 시원한 탄성],,밝은 음악 여자들의 시원한 탄성
50.926,52.261,R251-S01-T001-U000004,"(찬영) 오, 오 마이 갓","오 , 오 마이 갓","찬영 오 , 오 마이 갓"
52.761,54.638,R251-S01-T001-U000005,[여자들의 시원한 탄성],,여자들의 시원한 탄성
54.721,57.015,R251-S01-T001-U000006,[미조의 심호흡](미조) 우리는 서른아홉이다,우리는 서른아홉이다,미조의 심호흡 미조 우리는 서른아홉이다
57.099,58.725,R251-S01-T001-U000007,[찬영의 감탄]열여덟에 만나,열여덟에 만나,찬영의 감탄 열여덟에 만나
58.809,62.354,R251-S01-T001-U000008,남이 해 주는 스트레칭이제일 시원한 나이가 돼 버렸다,남이 해 주는 스트레칭이제일 시원한 나이가 돼 버렸다,남이 해 주는 스트레칭이제일 시원한 나이가 돼 버렸다
62.437,64.231,R251-S01-T001-U000009,"(미조) 저 뼈 부러지는 거아니에요, 선생님?","저 뼈 부러지는 거아니에요 , 선생님 ?","미조 저 뼈 부러지는 거아니에요 , 선생님 ?"
66.65,69.444,R251-S01-T001-U000010,(미조) 열여덟에 떡볶이 먹으며놀고먹을 때,열여덟에 떡볶이 먹으며놀고먹을 때,미조 열여덟에 떡볶이 먹으며놀고먹을 때
69.528,71.78,R251-S01-T001-U000011,내일모레 마흔이 되어서도,내일모레 마흔이 되어서도,내일모레 마흔이 되어서도
71.863,73.782,R251-S01-T001-U000012,떡볶이 먹고 놀 줄 몰랐다[찬영의 시원한 숨소리],떡볶이 먹고 놀 줄 몰랐다,떡볶이 먹고 놀 줄 몰랐다 찬영의 시원한 숨소리
74.449,76.66,R251-S01-T001-U000013,달라진 건 콜라 대신 소주일 뿐,달라진 건 콜라 대신 소주일 뿐,달라진 건 콜라 대신 소주일 뿐
77.16,79.871,R251-S01-T001-U000014,여전히 떡볶이는 소울 푸드다,여전히 떡볶이는 소울 푸드다,여전히 떡볶이는 소울 푸드다
82.416,83.417,R251-S01-T001-U000015,(찬영) 먹어,먹어,찬영 먹어
84.793,86.086,R251-S01-T001-U000016,맛있어?,맛있어 ?,맛있어 ?
87.546,89.631,R251-S01-T001-U000017,[새가 지저귄다],,새가 지저귄다
98.515,99.641,R251-S01-T001-U000018,[함께 비장한 숨을 내쉰다],,함께 비장한 숨을 내쉰다
99.725,101.101,R251-S01-T001-U000019,신중해야 돼,신중해야 돼,신중해야 돼
101.184,102.394,R251-S01-T001-U000020,섣부르면 다쳐,섣부르면 다쳐,섣부르면 다쳐
103.02,105.314,R251-S01-T001-U000021,나 어제 골프 치다 발목 삐끗했어,나 어제 골프 치다 발목 삐끗했어,나 어제 골프 치다 발목 삐끗했어
105.397,106.523,R251-S01-T001-U000022,(주희) 그럼 무리지,그럼 무리지,주희 그럼 무리지
107.733,108.734,R251-S01-T001-U000023,(찬영) 백숙 먹을까?,백숙 먹을까 ?,찬영 백숙 먹을까 ?
108.817,110.277,R251-S01-T001-U000024,- (미조와 주희) 그래- (찬영) 그래,그래 그래,미조와 주희 그래 찬영 그래
113.322,115.198,R251-S01-T001-U000025,(주희) 이모여기 막걸리 한 병이요!,이모여기 막걸리 한 병이요 !,주희 이모여기 막걸리 한 병이요 !
116.908,118.91,R251-S01-T001-U000026,(미조) 마흔을 코앞에 둔 우리[찬영의 못마땅한 탄성],마흔을 코앞에 둔 우리,미조 마흔을 코앞에 둔 우리 찬영의 못마땅한 탄성
118.994,120.495,R251-S01-T001-U000027,달라진 건 별로 없다,달라진 건 별로 없다,달라진 건 별로 없다
121.538,124.207,R251-S01-T001-U000028,화장품 단가가 좀 올라가야화장이 먹어 주는 거,화장품 단가가 좀 올라가야화장이 먹어 주는 거,화장품 단가가 좀 올라가야화장이 먹어 주는 거
124.875,126.543,R251-S01-T001-U000029,사우나를 좋아하게 된 거,사우나를 좋아하게 된 거,사우나를 좋아하게 된 거
127.085,129.88,R251-S01-T001-U000030,술값의 출처가부모님 지갑이 아니라,술값의 출처가부모님 지갑이 아니라,술값의 출처가부모님 지갑이 아니라
129.963,131.631,R251-S01-T001-U000031,우리의 통장이라는 거,우리의 통장이라는 거,우리의 통장이라는 거
131.715,132.674,R251-S01-T001-U000032,"뭐, 그 정도","뭐 , 그 정도","뭐 , 그 정도"
132.758,134.426,R251-S01-T001-U000033,[TV 소리가 흘러나온다],,소리가 흘러나온다
139.723,140.557,R251-S01-T001-U000034,[당황한 숨소리],,당황한 숨소리
140.641,141.933,R251-S01-T001-U000035,(찬영) 아!,아 !,찬영 아 !
142.017,143.352,R251-S01-T001-U000036,아씨…,아씨,아씨
143.435,145.771,R251-S01-T001-U000037,- (미조) 왜?- (찬영) 얼결에 하트 눌렀어,왜 ? 얼결에 하트 눌렀어,미조 왜 ? 찬영 얼결에 하트 눌렀어
145.854,147.147,R251-S01-T001-U000038,응? 뭘?,응 ? 뭘 ?,응 ? 뭘 ?
147.23,148.398,R251-S01-T001-U000039,동창 웨딩 촬영 사진,동창 웨딩 촬영 사진,동창 웨딩 촬영 사진
148.482,151.985,R251-S01-T001-U000040,"(찬영) 아씨, 이러면축의금 내야 되는 거잖아","아씨 , 이러면축의금 내야 되는 거잖아","찬영 아씨 , 이러면축의금 내야 되는 거잖아"
152.069,153.862,R251-S01-T001-U000041,"(주희) 아이고, 왜 그랬어","아이고 , 왜 그랬어","주희 아이고 , 왜 그랬어"
153.945,156.114,R251-S01-T001-U000042,"(미조) SNS 좀 끊어, 좀","좀 끊어 , 좀","미조 좀 끊어 , 좀"
158.2,161.119,R251-S01-T001-U000043,(미조) 결혼식과 돌잔치는환수 희박함에 패스[못마땅해한다],결혼식과 돌잔치는환수 희박함에 패스,미조 결혼식과 돌잔치는환수 희박함에 패스 못마땅해한다
161.62,165.207,R251-S01-T001-U000044,장례식은 찾아가려 애쓰게 되는서른아홉[구시렁거린다],장례식은 찾아가려 애쓰게 되는서른아홉,장례식은 찾아가려 애쓰게 되는서른아홉 구시렁거린다
165.791,168.627,R251-S01-T001-U000045,우리는 그런 서른아홉이 되었다,우리는 그런 서른아홉이 되었다,우리는 그런 서른아홉이 되었다
168.71,170.504,R251-S01-T001-U000046,"- 음, 굿 샷- (주희) 저기요, 털 날려요[찬영이 콜록거린다]","음 , 굿 샷 저기요 , 털 날려요","음 , 굿 샷 주희 저기요 , 털 날려요 찬영이 콜록거린다"
170.587,172.255,R251-S01-T001-U000047,"(찬영) 아유, 씨","아유 , 씨","찬영 아유 , 씨"
172.339,174.716,R251-S01-T001-U000048,"- (찬영) 야- (주희) 딴거 해, 딴거, 이거[찬영이 콜록거린다]","야 딴거 해 , 딴거 , 이거","찬영 야 주희 딴거 해 , 딴거 , 이거 찬영이 콜록거린다"
175.384,176.468,R251-S01-T001-U000049,[주희의 못마땅한 탄성],,주희의 못마땅한 탄성
179.638,181.64,R251-S01-T001-U000050,[차분한 음악][종이 댕 울린다],,차분한 음악 종이 댕 울린다
193.652,194.778,R251-S01-T001-U000051,(미조) 다행히 우리는,다행히 우리는,미조 다행히 우리는
195.32,197.239,R251-S01-T001-U000052,각자의 인연을 만나,각자의 인연을 만나,각자의 인연을 만나
197.322,199.241,R251-S01-T001-U000053,치열한 사랑을 배웠다,치열한 사랑을 배웠다,치열한 사랑을 배웠다
201.576,202.786,R251-S01-T001-U000054,그리고 우리는,그리고 우리는,그리고 우리는
204.621,207.874,R251-S01-T001-U000055,20여 년 동안 붙어 살던 우리는,여 년 동안 붙어 살던 우리는,여 년 동안 붙어 살던 우리는
208.75,211.545,R251-S01-T001-U000056,첫 번째 이별을 만났다,첫 번째 이별을 만났다,첫 번째 이별을 만났다
214.131,215.841,R251-S01-T001-U000057,우리 중에 누군가,우리 중에 누군가,우리 중에 누군가
215.924,217.968,R251-S01-T001-U000058,30대의 끝자락에,대의 끝자락에,대의 끝자락에
218.051,221.43,R251-S01-T001-U000059,장례식을 하게 될 줄은미처 몰랐다,장례식을 하게 될 줄은미처 몰랐다,장례식을 하게 될 줄은미처 몰랐다
223.974,225.058,R251-S01-T001-U000060,많이 웃고,많이 웃고,많이 웃고
227.102,228.562,R251-S01-T001-U000061,또 많이 울었던,또 많이 울었던,또 많이 울었던
229.438,231.064,R251-S01-T001-U000062,치열한[한숨],치열한,치열한 한숨
231.648,232.983,R251-S01-T001-U000063,우리의 그때,우리의 그때,우리의 그때
233.567,234.734,R251-S01-T001-U000064,그 이야기다,그 이야기다,그 이야기다
242.743,244.953,R251-S01-T001-U000065,[흥미진진한 음악],,흥미진진한 음악
248.498,250.083,R251-S01-T001-U000066,[휴대전화 진동음],,휴대전화 진동음
