begin,end,id,text,prep_verbal,prep_read
6.006,9.927,R242-S01-T003-U000001,"""넷플릭스 시리즈""",넷플릭스 시리즈,넷플릭스 시리즈
10.01,12.012,R242-S01-T003-U000002,[무거운 음악],,무거운 음악
27.486,28.32,R242-S01-T003-U000003,(아이) 엄마,엄마,아이 엄마
29.655,31.823,R242-S01-T003-U000004,우리 반에 나일등이란 애가 있는데,우리 반에 나일등이란 애가 있는데,우리 반에 나일등이란 애가 있는데
32.783,35.244,R242-S01-T003-U000005,공부도 되게 잘하고얼굴도 잘생겼다,공부도 되게 잘하고얼굴도 잘생겼다,공부도 되게 잘하고얼굴도 잘생겼다
35.327,36.578,R242-S01-T003-U000006,[바람이 사르륵 분다]그리고…,그리고,바람이 사르륵 분다 그리고
38.372,39.623,R242-S01-T003-U000007,장난도 잘 쳐,장난도 잘 쳐,장난도 잘 쳐
41.416,43.669,R242-S01-T003-U000008,저번에 불쑥 사귀자 그래서,저번에 불쑥 사귀자 그래서,저번에 불쑥 사귀자 그래서
43.752,45.504,R242-S01-T003-U000009,진짜 깜짝 놀랐었거든,진짜 깜짝 놀랐었거든,진짜 깜짝 놀랐었거든
47.339,48.507,R242-S01-T003-U000010,아마 이번에도,아마 이번에도,아마 이번에도
49.716,51.218,R242-S01-T003-U000011,곧 웃으면서 이렇게 말할 거야,곧 웃으면서 이렇게 말할 거야,곧 웃으면서 이렇게 말할 거야
52.219,53.053,R242-S01-T003-U000012,'야!',야 !,야 !
53.72,55.472,R242-S01-T003-U000013,"'[웃으며] 농담이야, 농담'","농담이야 , 농담","웃으며 농담이야 , 농담"
56.473,57.307,R242-S01-T003-U000014,이라고,이라고,이라고
58.392,60.394,R242-S01-T003-U000015,"- 일등아, 너 왜…- (일등) 생각 있으면 말해","일등아 , 너 왜 생각 있으면 말해","일등아 , 너 왜 일등 생각 있으면 말해"
62.813,64.731,R242-S01-T003-U000016,수학 시험까지 며칠 시간 있으니까,수학 시험까지 며칠 시간 있으니까,수학 시험까지 며칠 시간 있으니까
81.456,83.959,R242-S01-T003-U000017,[주제곡],,주제곡
105.272,106.148,R242-S01-T003-U000018,[멀리서 개가 짖는다],,멀리서 개가 짖는다
110.944,111.82,R242-S01-T003-U000019,(일등) 돈 줄게,돈 줄게,일등 돈 줄게
112.446,113.363,R242-S01-T003-U000020,시험 망치라고,시험 망치라고,시험 망치라고
114.448,115.282,R242-S01-T003-U000021,너,너,너
117.159,118.201,R242-S01-T003-U000022,돈 필요하지 않아?,돈 필요하지 않아 ?,돈 필요하지 않아 ?
121.997,124.541,R242-S01-T003-U000023,(유이) 엄마 닭이품어 주는 것보단 좀 별로지?,엄마 닭이품어 주는 것보단 좀 별로지 ?,유이 엄마 닭이품어 주는 것보단 좀 별로지 ?
125.876,127.377,R242-S01-T003-U000024,그래도 넌 할 수 있어,그래도 넌 할 수 있어,그래도 넌 할 수 있어
127.461,129.254,R242-S01-T003-U000025,넌 아주 특별한 달걀이거든,넌 아주 특별한 달걀이거든,넌 아주 특별한 달걀이거든
130.756,131.59,R242-S01-T003-U000026,[피식 웃는다],,피식 웃는다
132.341,135.218,R242-S01-T003-U000027,"(아이) 그만 자학교에서 존다, 너?","그만 자학교에서 존다 , 너 ?","아이 그만 자학교에서 존다 , 너 ?"
136.428,137.387,R242-S01-T003-U000028,[옅은 한숨],,옅은 한숨
137.471,138.764,R242-S01-T003-U000029,(유이) 수업 안 하니까 괜찮아,수업 안 하니까 괜찮아,유이 수업 안 하니까 괜찮아
141.933,144.311,R242-S01-T003-U000030,내일부터 수학여행이거든,내일부터 수학여행이거든,내일부터 수학여행이거든
144.394,145.937,R242-S01-T003-U000031,[유이가 천을 툭툭 정리한다],,유이가 천을 툭툭 정리한다
148.231,150.233,R242-S01-T003-U000032,안 가는 사람은 출첵만 하고,안 가는 사람은 출첵만 하고,안 가는 사람은 출첵만 하고
