begin,end,id,text,prep_verbal,prep_read
45.38,49.172,R205-S01-T001-U000001,"""NETFLIX 제공""",,
49.255,51.63,R205-S01-T001-U000002,[어두운 음악],,어두운 음악
64.088,66.338,R205-S01-T001-U000003,[염소 울음],,염소 울음
72.88,74.713,R205-S01-T001-U000004,(금화)내가 태어나는 날에도,내가 태어나는 날에도,금화 내가 태어나는 날에도
75.505,77.797,R205-S01-T001-U000005,염소들이 미친 듯이 울어 댔다,염소들이 미친 듯이 울어 댔다,염소들이 미친 듯이 울어 댔다
77.88,80.588,R205-S01-T001-U000006,[긴장되는 음악],,긴장되는 음악
80.672,82.88,R205-S01-T001-U000007,[염소들의 울음][개들이 왈왈 짖는다],,염소들의 울음 개들이 왈왈 짖는다
83.588,85.588,R205-S01-T001-U000008,(금화)매매,매매,금화 매매
87.588,88.755,R205-S01-T001-U000009,그날,그날,그날
89.13,91.713,R205-S01-T001-U000010,우리 집에 나와 같이 귀신이 태어났다,우리 집에 나와 같이 귀신이 태어났다,우리 집에 나와 같이 귀신이 태어났다
97.797,99.297,R205-S01-T001-U000011,[개들이 왈왈 짖는다],,개들이 왈왈 짖는다
99.505,101.63,R205-S01-T001-U000012,엄마 배 속에 숨어 있다가,엄마 배 속에 숨어 있다가,엄마 배 속에 숨어 있다가
101.713,103.963,R205-S01-T001-U000013,나보다 10분 먼저 나온 고것은,나보다 분 먼저 나온 고것은,나보다 분 먼저 나온 고것은
104.88,107.047,R205-S01-T001-U000014,내 다리를 파먹고 살고 있었다,내 다리를 파먹고 살고 있었다,내 다리를 파먹고 살고 있었다
107.338,109.13,R205-S01-T001-U000015,"(의사)그래, 나온다!","그래 , 나온다 !","의사 그래 , 나온다 !"
109.213,110.963,R205-S01-T001-U000016,"배에 힘줘, 힘줘!","배에 힘줘 , 힘줘 !","배에 힘줘 , 힘줘 !"
111.505,113.213,R205-S01-T001-U000017,"[금화 모의 힘겨운 신음](의사)저 다리 좀 꽉 잡아, 어, 힘주고!","저 다리 좀 꽉 잡아 , 어 , 힘주고 !","금화 모의 힘겨운 신음 의사 저 다리 좀 꽉 잡아 , 어 , 힘주고 !"
113.297,114.588,R205-S01-T001-U000018,"- (간호사1) 그렇지, 침착하게요- (의사) 나온다!","그렇지 , 침착하게요 나온다 !","간호사 그렇지 , 침착하게요 의사 나온다 !"
114.672,116.963,R205-S01-T001-U000019,"[금화 모의 힘주는 신음]- (간호사2) 여기 있습니다- (간호사1) 깊게, 그렇지, 한 번 더","여기 있습니다 깊게 , 그렇지 , 한 번 더","금화 모의 힘주는 신음 간호사 여기 있습니다 간호사 깊게 , 그렇지 , 한 번 더"
117.047,119.838,R205-S01-T001-U000020,[금화 모의 거친 신음][의사의 거친 숨소리],,금화 모의 거친 신음 의사의 거친 숨소리
120.005,121.463,R205-S01-T001-U000021,[울음],,울음
121.547,123.588,R205-S01-T001-U000022,- (의사) 그래도 야는 괜찮다- (간호사2) 클램프요[어두운 음악],그래도 야는 괜찮다 클램프요,의사 그래도 야는 괜찮다 간호사 클램프요 어두운 음악
123.672,125.255,R205-S01-T001-U000023,- (의사) 다리만 좀 그렇지- (간호사2) 거즈요,다리만 좀 그렇지 거즈요,의사 다리만 좀 그렇지 간호사 거즈요
125.338,126.422,R205-S01-T001-U000024,[의사의 한숨],,의사의 한숨
126.505,128.963,R205-S01-T001-U000025,"- (간호사1) 수건, 수건, 수건 좀요- (간호사2) 예","수건 , 수건 , 수건 좀요 예","간호사 수건 , 수건 , 수건 좀요 간호사 예"
129.505,132.297,R205-S01-T001-U000026,"(의사)애 좀 받아, 그리고 여기 좀 묶어","애 좀 받아 , 그리고 여기 좀 묶어","의사 애 좀 받아 , 그리고 여기 좀 묶어"
132.755,134.172,R205-S01-T001-U000027,(간호사2)이쪽으로 주세요[간호사3의 떨리는 숨소리],이쪽으로 주세요,간호사 이쪽으로 주세요 간호사의 떨리는 숨소리
134.255,135.088,R205-S01-T001-U000028,(의사)저런 거는,저런 거는,의사 저런 거는
135.963,137.463,R205-S01-T001-U000029,금방 죽는다,금방 죽는다,금방 죽는다
137.88,138.963,R205-S01-T001-U000030,오래 못 살아,오래 못 살아,오래 못 살아
140.005,142.463,R205-S01-T001-U000031,(금화)사람들은 말했다[어린 그것의 신음],사람들은 말했다,금화 사람들은 말했다 어린 그것의 신음
