begin,end,id,text,prep_verbal,prep_read
28.987,31.657,R040-S01-T001-U000001,[리드미컬한 음악],,리드미컬한 음악
37.412,38.413,R040-S01-T001-U000002,(병철)한라봉!,한라봉 !,병철 한라봉 !
38.497,40.791,R040-S01-T001-U000003,[직원들의 웃음과 박수],,직원들의 웃음과 박수
42.793,43.835,R040-S01-T001-U000004,망고!,망고 !,망고 !
44.419,49.007,R040-S01-T001-U000005,"아, 저희 비주얼라이징의정수, 코어, 핵심이신","아 , 저희 비주얼라이징의정수 , 코어 , 핵심이신","아 , 저희 비주얼라이징의정수 , 코어 , 핵심이신"
49.341,51.677,R040-S01-T001-U000006,서관수 대표님께서한 말씀 하시겠습니다!,서관수 대표님께서한 말씀 하시겠습니다 !,서관수 대표님께서한 말씀 하시겠습니다 !
51.927,52.803,R040-S01-T001-U000007,"오, 오!","오 , 오 !","오 , 오 !"
52.886,54.012,R040-S01-T001-U000008,[직원들의 환호성과 박수],,직원들의 환호성과 박수
55.556,59.434,R040-S01-T001-U000009,"(관수)누차 말씀드렸지만 저는 권위적인 거꼰대 마인드, 딱 질색입니다","누차 말씀드렸지만 저는 권위적인 거꼰대 마인드 , 딱 질색입니다","관수 누차 말씀드렸지만 저는 권위적인 거꼰대 마인드 , 딱 질색입니다"
60.06,61.728,R040-S01-T001-U000010,"친구처럼, 친형처럼, 오빠처럼","친구처럼 , 친형처럼 , 오빠처럼","친구처럼 , 친형처럼 , 오빠처럼"
62.229,63.772,R040-S01-T001-U000011,자유롭고 편안한 분위기 속에서,자유롭고 편안한 분위기 속에서,자유롭고 편안한 분위기 속에서
64.147,65.399,R040-S01-T001-U000012,파이팅 해 봅시다[깊은 한숨],파이팅 해 봅시다,파이팅 해 봅시다 깊은 한숨
65.566,67.943,R040-S01-T001-U000013,오늘은 '자전거' 가겠습니다,오늘은 자전거 가겠습니다,오늘은 자전거 가겠습니다
68.026,69.778,R040-S01-T001-U000014,- (도윤) 전에 자전거 하지 않았어요?- (윤주) 아이씨,전에 자전거 하지 않았어요 ? 아이씨,도윤 전에 자전거 하지 않았어요 ? 윤주 아이씨
71.113,71.947,R040-S01-T001-U000015,(관수)자!,자 !,관수 자 !
72.03,73.573,R040-S01-T001-U000016,(직원들)자신감과,자신감과,직원들 자신감과
74.032,74.908,R040-S01-T001-U000017,(관수)전!,전 !,관수 전 !
75.325,77.077,R040-S01-T001-U000018,(직원들)전문성을 갖고!,전문성을 갖고 !,직원들 전문성을 갖고 !
77.16,79.413,R040-S01-T001-U000019,(관수)거리로 나서자!,거리로 나서자 !,관수 거리로 나서자 !
79.496,82.165,R040-S01-T001-U000020,[미영의 질색하는 신음](직원들)거리로 나서자!,거리로 나서자 !,미영의 질색하는 신음 직원들 거리로 나서자 !
82.291,83.834,R040-S01-T001-U000021,[관수의 웃음](손님1)완전 시끄러워,완전 시끄러워,관수의 웃음 손님 완전 시끄러워
84.126,85.419,R040-S01-T001-U000022,"(손님2)너희들이 나서라, 거리로","너희들이 나서라 , 거리로","손님 너희들이 나서라 , 거리로"
85.502,89.339,R040-S01-T001-U000023,(중원)영상 디자인 팀 차중원입니다잘 부탁드립니다!,영상 디자인 팀 차중원입니다잘 부탁드립니다 !,중원 영상 디자인 팀 차중원입니다잘 부탁드립니다 !
89.589,90.632,R040-S01-T001-U000024,(민재)안녕하십니까,안녕하십니까,민재 안녕하십니까
90.841,93.427,R040-S01-T001-U000025,영상 디자인 팀 신민재입니다[재훈의 힘겨운 한숨],영상 디자인 팀 신민재입니다,영상 디자인 팀 신민재입니다 재훈의 힘겨운 한숨
93.635,96.763,R040-S01-T001-U000026,"- 저는 99년생 토끼띠입니다- (병철) '99', '99'[직원들의 웃음]","저는 년생 토끼띠입니다 ,","저는 년생 토끼띠입니다 병철 , 직원들의 웃음"
96.847,97.723,R040-S01-T001-U000027,(도윤과 윤주)99?,?,도윤과 윤주 ?
97.806,100.517,R040-S01-T001-U000028,"(민재)작년에 수능도 봤습니다, 감사합니다!","작년에 수능도 봤습니다 , 감사합니다 !","민재 작년에 수능도 봤습니다 , 감사합니다 !"
100.6,101.977,R040-S01-T001-U000029,[직원들의 환호성],,직원들의 환호성
103.353,105.147,R040-S01-T001-U000030,[병철의 부추기는 신음],,병철의 부추기는 신음
108.15,109.192,R040-S01-T001-U000031,안녕하세요,안녕하세요,안녕하세요
109.276,112.988,R040-S01-T001-U000032,저는 기획 팀에서 일하게 된오선영이라고 합니다,저는 기획 팀에서 일하게 된오선영이라고 합니다,저는 기획 팀에서 일하게 된오선영이라고 합니다
113.488,115.198,R040-S01-T001-U000033,"열심히 하겠습니다, 잘 부탁드립니다","열심히 하겠습니다 , 잘 부탁드립니다","열심히 하겠습니다 , 잘 부탁드립니다"
115.282,117.2,R040-S01-T001-U000034,[직원들의 박수와 환호성],,직원들의 박수와 환호성
117.451,118.744,R040-S01-T001-U000035,(병철)예뻐요!,예뻐요 !,병철 예뻐요 !
119.286,120.662,R040-S01-T001-U000036,남자 친구 있어요?,남자 친구 있어요 ?,남자 친구 있어요 ?
121.079,122.539,R040-S01-T001-U000037,"아니요, 지금은 없어요","아니요 , 지금은 없어요","아니요 , 지금은 없어요"
122.623,124.458,R040-S01-T001-U000038,"(관수)오, '지금은'?","오 , 지금은 ?","관수 오 , 지금은 ?"
124.583,127.377,R040-S01-T001-U000039,"[관수의 웃음](병철)아, 그러면 마지막 연애는 언제?","아 , 그러면 마지막 연애는 언제 ?","관수의 웃음 병철 아 , 그러면 마지막 연애는 언제 ?"
127.586,128.545,R040-S01-T001-U000040,[헛웃음],,헛웃음
128.629,132.883,R040-S01-T001-U000041,"[애교스럽게]응? 아, 말해 봐요, 궁금해","응 ? 아 , 말해 봐요 , 궁금해","애교스럽게 응 ? 아 , 말해 봐요 , 궁금해"
132.966,134.551,R040-S01-T001-U000042,궁금해,궁금해,궁금해
134.801,136.136,R040-S01-T001-U000043,- (동화) 선영아- (병철) 궁...,선영아 궁 . . .,동화 선영아 병철 궁 . . .
140.349,141.6,R040-S01-T001-U000044,(손님3)뭐야?,뭐야 ?,손님 뭐야 ?
142.059,145.645,R040-S01-T001-U000045,"(손님4)오, 남자 느낌 있는데? 뭐야?","오 , 남자 느낌 있는데 ? 뭐야 ?","손님 오 , 남자 느낌 있는데 ? 뭐야 ?"
146.355,147.439,R040-S01-T001-U000046,(동화)선영아,선영아,동화 선영아
149.232,150.4,R040-S01-T001-U000047,사랑해,사랑해,사랑해
151.485,152.527,R040-S01-T001-U000048,나랑 결혼해 줘,나랑 결혼해 줘,나랑 결혼해 줘
152.611,154.529,R040-S01-T001-U000049,"[사람들의 환호성](손님5)와, 멋있다","와 , 멋있다","사람들의 환호성 손님 와 , 멋있다"
154.613,155.572,R040-S01-T001-U000050,[사람들의 박수와 환호성],,사람들의 박수와 환호성
155.655,157.741,R040-S01-T001-U000051,"받아 줘, 받아 줘, 받아 줘![휘파람 소리가 들린다]","받아 줘 , 받아 줘 , 받아 줘 !","받아 줘 , 받아 줘 , 받아 줘 ! 휘파람 소리가 들린다"
157.824,158.825,R040-S01-T001-U000052,[재훈의 지친 신음],,재훈의 지친 신음
159.534,160.619,R040-S01-T001-U000053,[발랄한 음악](손님6)받아 줘라!,받아 줘라 !,발랄한 음악 손님 받아 줘라 !
160.702,161.661,R040-S01-T001-U000054,(손님5)행복하세요,행복하세요,손님 행복하세요
161.745,163.372,R040-S01-T001-U000055,"(손님2)와, 너무 귀엽다!","와 , 너무 귀엽다 !","손님 와 , 너무 귀엽다 !"
163.455,164.373,R040-S01-T001-U000056,[사람들의 환호성],,사람들의 환호성
165.165,168.085,R040-S01-T001-U000057,(병철)쟤네 오늘 아침에 헤어졌단다,쟤네 오늘 아침에 헤어졌단다,병철 쟤네 오늘 아침에 헤어졌단다
168.46,169.753,R040-S01-T001-U000058,연락을 안 받으니까,연락을 안 받으니까,연락을 안 받으니까
169.836,172.464,R040-S01-T001-U000059,회사 근처 술집을싹 다 뒤진 모양이던데,회사 근처 술집을싹 다 뒤진 모양이던데,회사 근처 술집을싹 다 뒤진 모양이던데
172.547,174.257,R040-S01-T001-U000060,이게 운이 좋은 건지,이게 운이 좋은 건지,이게 운이 좋은 건지
174.966,175.926,R040-S01-T001-U000061,뭐야?,뭐야 ?,뭐야 ?
177.427,178.47,R040-S01-T001-U000062,기도하나?,기도하나 ?,기도하나 ?
179.054,183.266,R040-S01-T001-U000063,"뭐, 화해를 했나, 어? 뭐 해?","뭐 , 화해를 했나 , 어 ? 뭐 해 ?","뭐 , 화해를 했나 , 어 ? 뭐 해 ?"
183.517,185.477,R040-S01-T001-U000064,"어, 키스한다, 키스한다키스한다, 키스...","어 , 키스한다 , 키스한다키스한다 , 키스 . . .","어 , 키스한다 , 키스한다키스한다 , 키스 . . ."
185.644,186.478,R040-S01-T001-U000065,(선영)놔!,놔 !,선영 놔 !
186.561,188.48,R040-S01-T001-U000066,"(병철)뭐야? 잡는다, 잡아[동화와 선영이 실랑이한다]","뭐야 ? 잡는다 , 잡아","병철 뭐야 ? 잡는다 , 잡아 동화와 선영이 실랑이한다"
188.73,190.357,R040-S01-T001-U000067,"뭐야, 왜 잡아? 옷 벗긴다[재훈의 한숨]","뭐야 , 왜 잡아 ? 옷 벗긴다","뭐야 , 왜 잡아 ? 옷 벗긴다 재훈의 한숨"
190.565,193.652,R040-S01-T001-U000068,"벗긴다, 벗겼다, 벗겼다, 벗겼...","벗긴다 , 벗겼다 , 벗겼다 , 벗겼 . . .","벗긴다 , 벗겼다 , 벗겼다 , 벗겼 . . ."
193.985,195.153,R040-S01-T001-U000069,"벗겼어, 벗겼어","벗겼어 , 벗겼어","벗겼어 , 벗겼어"
195.237,196.071,R040-S01-T001-U000070,[병철의 탄성],,병철의 탄성
196.154,199.074,R040-S01-T001-U000071,"아유, 참, 지랄들을 한다","아유 , 참 , 지랄들을 한다","아유 , 참 , 지랄들을 한다"
199.241,201.243,R040-S01-T001-U000072,"어? 또 왔어, 또 왔...","어 ? 또 왔어 , 또 왔 . . .","어 ? 또 왔어 , 또 왔 . . ."
201.451,203.245,R040-S01-T001-U000073,"아이고, 지랄을 한다","아이고 , 지랄을 한다","아이고 , 지랄을 한다"
203.745,205.497,R040-S01-T001-U000074,가방하고 코트는 가져가야지,가방하고 코트는 가져가야지,가방하고 코트는 가져가야지
205.58,208.083,R040-S01-T001-U000075,"그래, 아유, 아유, 아유, 아유[선영의 짜증 섞인 신음]","그래 , 아유 , 아유 , 아유 , 아유","그래 , 아유 , 아유 , 아유 , 아유 선영의 짜증 섞인 신음"
208.166,210.168,R040-S01-T001-U000076,"[동화가 선영을 부른다]저, 뭐냐, 저게? 쪽팔리게","저 , 뭐냐 , 저게 ? 쪽팔리게","동화가 선영을 부른다 저 , 뭐냐 , 저게 ? 쪽팔리게"
210.377,213.547,R040-S01-T001-U000077,"나는 헤어지자는 얘기 들으면정나미가 싹 떨어져, 어?[동화가 소리친다]","나는 헤어지자는 얘기 들으면정나미가 싹 떨어져 , 어 ?","나는 헤어지자는 얘기 들으면정나미가 싹 떨어져 , 어 ? 동화가 소리친다"
224.349,226.059,R040-S01-T001-U000078,[휴대전화 진동음],,휴대전화 진동음
235.277,237.112,R040-S01-T001-U000079,[휴대전화 진동음],,휴대전화 진동음
274.9,276.526,R040-S01-T001-U000080,[휴대전화 알람이 울린다],,휴대전화 알람이 울린다
279.154,280.197,R040-S01-T001-U000081,[피곤한 신음],,피곤한 신음
280.447,281.865,R040-S01-T001-U000082,[새가 짹짹 지저귄다],,새가 짹짹 지저귄다
285.118,286.453,R040-S01-T001-U000083,[힘겨운 신음],,힘겨운 신음
293.668,295.253,R040-S01-T001-U000084,[익살스러운 음악],,익살스러운 음악
310.393,311.728,R040-S01-T001-U000085,[휴대전화 진동음],,휴대전화 진동음
315.649,317.359,R040-S01-T001-U000086,"(재훈)야, 몇 번 말해? 집에서 잤어","야 , 몇 번 말해 ? 집에서 잤어","재훈 야 , 몇 번 말해 ? 집에서 잤어"
317.442,319.361,R040-S01-T001-U000087,"(병철)야, 너 수정이한테 간 거진짜 아니야?","야 , 너 수정이한테 간 거진짜 아니야 ?","병철 야 , 너 수정이한테 간 거진짜 아니야 ?"
319.444,320.695,R040-S01-T001-U000088,"(재훈)야, 내가 돌았냐?","야 , 내가 돌았냐 ?","재훈 야 , 내가 돌았냐 ?"
321.196,322.239,R040-S01-T001-U000089,(병철)확실해?,확실해 ?,병철 확실해 ?
322.989,324.074,R040-S01-T001-U000090,"(재훈)아, 진짜라고","아 , 진짜라고","재훈 아 , 진짜라고"
324.741,326.66,R040-S01-T001-U000091,"어, 깜짝이야, 어유, 너 뭐야?[고양이 울음]","어 , 깜짝이야 , 어유 , 너 뭐야 ?","어 , 깜짝이야 , 어유 , 너 뭐야 ? 고양이 울음"
327.077,330.121,R040-S01-T001-U000092,"- (재훈) 아유, 너...- (병철) 뭐야, 여자야?[재훈의 놀란 숨소리]","아유 , 너 . . . 뭐야 , 여자야 ?","재훈 아유 , 너 . . . 병철 뭐야 , 여자야 ? 재훈의 놀란 숨소리"
330.705,332.666,R040-S01-T001-U000093,"- (병철) 여보세요?- (재훈) 아니, 고양이가","여보세요 ? 아니 , 고양이가","병철 여보세요 ? 재훈 아니 , 고양이가"
332.916,334.459,R040-S01-T001-U000094,(병철)고양이 같은 여자?,고양이 같은 여자 ?,병철 고양이 같은 여자 ?
334.543,336.795,R040-S01-T001-U000095,"- 아, 됐어, 끊어, 지금 나가- (병철) 이 새끼...","아 , 됐어 , 끊어 , 지금 나가 이 새끼 . . .","아 , 됐어 , 끊어 , 지금 나가 병철 이 새끼 . . ."
336.962,338.255,R040-S01-T001-U000096,"아휴, 씨","아휴 , 씨","아휴 , 씨"
340.34,341.299,R040-S01-T001-U000097,[고양이 울음],,고양이 울음
341.55,344.553,R040-S01-T001-U000098,(집주인)2년 계약한 걸 사정사정해서넉 달 만에 빼 달라더니,년 계약한 걸 사정사정해서넉 달 만에 빼 달라더니,집주인 년 계약한 걸 사정사정해서넉 달 만에 빼 달라더니
345.095,346.93,R040-S01-T001-U000099,집을 못 보게 하면 어떡해요?,집을 못 보게 하면 어떡해요 ?,집을 못 보게 하면 어떡해요 ?
347.138,349.266,R040-S01-T001-U000100,"(재훈)죄송해요, 제가 사정이 있어 가지고","죄송해요 , 제가 사정이 있어 가지고","재훈 죄송해요 , 제가 사정이 있어 가지고"
349.891,353.144,R040-S01-T001-U000101,"아이, 그, 어차피 구조도 같고 한데좀 해 주시면 안 돼요?","아이 , 그 , 어차피 구조도 같고 한데좀 해 주시면 안 돼요 ?","아이 , 그 , 어차피 구조도 같고 한데좀 해 주시면 안 돼요 ?"
353.52,355.23,R040-S01-T001-U000102,"(집주인)아, 이게 벌써 몇 명째야?","아 , 이게 벌써 몇 명째야 ?","집주인 아 , 이게 벌써 몇 명째야 ?"
355.73,357.649,R040-S01-T001-U000103,누가 집을 보지도 않고 계약해?,누가 집을 보지도 않고 계약해 ?,누가 집을 보지도 않고 계약해 ?
358.316,361.069,R040-S01-T001-U000104,이런 식이면 나 아무것도 못 해 주니까그런 줄 알아요,이런 식이면 나 아무것도 못 해 주니까그런 줄 알아요,이런 식이면 나 아무것도 못 해 주니까그런 줄 알아요
362.529,365.532,R040-S01-T001-U000105,"(정수)재훈? 야, 이재훈이 맞지?","재훈 ? 야 , 이재훈이 맞지 ?","정수 재훈 ? 야 , 이재훈이 맞지 ?"
365.824,369.244,R040-S01-T001-U000106,"[웃으며]야, 어떻게어떻게 여기서 이렇게 만나냐, 어?","야 , 어떻게어떻게 여기서 이렇게 만나냐 , 어 ?","웃으며 야 , 어떻게어떻게 여기서 이렇게 만나냐 , 어 ?"
369.327,370.745,R040-S01-T001-U000107,"예, 예","예 , 예","예 , 예"
370.954,373.54,R040-S01-T001-U000108,"(정수)아, 뭐야? 정수, 정수","아 , 뭐야 ? 정수 , 정수","정수 아 , 뭐야 ? 정수 , 정수"
