begin,end,id,text,prep_verbal,prep_read
1.568,3.203,R089-S01-T001-U000001,[웅장한 음악],,웅장한 음악
40.774,42.309,R089-S01-T001-U000002,[새가 지저귄다][풍경 소리],,새가 지저귄다 풍경 소리
42.376,43.61,R089-S01-T001-U000003,[목탁 소리],,목탁 소리
43.677,45.212,R089-S01-T001-U000004,(현종) 현덕사 현종입니다,현덕사 현종입니다,현종 현덕사 현종입니다
45.279,47.681,R089-S01-T001-U000005,"- 오늘 손님들이 많이 오시거든- (전화 속 오복) 예, 예[풍경과 목탁 소리가 연신 들린다]","오늘 손님들이 많이 오시거든 예 , 예","오늘 손님들이 많이 오시거든 전화 속 오복 예 , 예 풍경과 목탁 소리가 연신 들린다"
47.748,50.951,R089-S01-T001-U000006,(현종) 여 와서 맛있는 메밀 면 좀내려 주세요,여 와서 맛있는 메밀 면 좀내려 주세요,현종 여 와서 맛있는 메밀 면 좀내려 주세요
51.018,52.019,R089-S01-T001-U000007,"- (전화 속 오복) 네, 네- (현종) 예","네 , 네 예","전화 속 오복 네 , 네 현종 예"
52.085,54.021,R089-S01-T001-U000008,"(현종) 근데, 그, 우리사람이 많습니다","근데 , 그 , 우리사람이 많습니다","현종 근데 , 그 , 우리사람이 많습니다"
54.087,56.223,R089-S01-T001-U000009,(전화 속 오복) 넉넉히 준비해서갈게요[밝은 음악],넉넉히 준비해서갈게요,전화 속 오복 넉넉히 준비해서갈게요 밝은 음악
64.264,66.533,R089-S01-T001-U000010,(오복) 고기 같은 거 못 먹던 시절에,고기 같은 거 못 먹던 시절에,오복 고기 같은 거 못 먹던 시절에
66.6,68.468,R089-S01-T001-U000011,집에서 메밀국수를 해 먹으면,집에서 메밀국수를 해 먹으면,집에서 메밀국수를 해 먹으면
68.936,70.404,R089-S01-T001-U000012,구수한 게,구수한 게,구수한 게
70.47,72.906,R089-S01-T001-U000013,맛이 잊을 수가 없죠,맛이 잊을 수가 없죠,맛이 잊을 수가 없죠
72.973,74.942,R089-S01-T001-U000014,(오복) 그래서 분틀을 내가 만들어서,그래서 분틀을 내가 만들어서,오복 그래서 분틀을 내가 만들어서
75.008,76.543,R089-S01-T001-U000015,메밀국수를 뽑아요,메밀국수를 뽑아요,메밀국수를 뽑아요
77.578,78.679,R089-S01-T001-U000016,[경쾌한 음악],,경쾌한 음악
79.78,81.515,R089-S01-T001-U000017,(오복) 메밀은 반죽을 해서조금 있으면,메밀은 반죽을 해서조금 있으면,오복 메밀은 반죽을 해서조금 있으면
81.582,82.649,R089-S01-T001-U000018,금방 굳어서,금방 굳어서,금방 굳어서
82.716,83.817,R089-S01-T001-U000019,(오복) 국수가 잘 안 돼,국수가 잘 안 돼,오복 국수가 잘 안 돼
83.884,87.187,R089-S01-T001-U000020,(오복) 그렇기 때문에저희가 출장을 가서 눌러드려야지,그렇기 때문에저희가 출장을 가서 눌러드려야지,오복 그렇기 때문에저희가 출장을 가서 눌러드려야지
87.254,89.856,R089-S01-T001-U000021,최고의 맛을 볼 수가 있는 거죠,최고의 맛을 볼 수가 있는 거죠,최고의 맛을 볼 수가 있는 거죠
91.959,96.229,R089-S01-T001-U000022,"(오복) 가마솥, 분틀, 가스통다 갖고 다니니","가마솥 , 분틀 , 가스통다 갖고 다니니","오복 가마솥 , 분틀 , 가스통다 갖고 다니니"
97.397,98.398,R089-S01-T001-U000023,(오복) 아무 데고,아무 데고,오복 아무 데고
98.465,100.867,R089-S01-T001-U000024,물만 있으면 국수가 가능해요,물만 있으면 국수가 가능해요,물만 있으면 국수가 가능해요
100.934,102.936,R089-S01-T001-U000025,[활기찬 음악],,활기찬 음악
111.178,112.546,R089-S01-T001-U000026,"- (스님1) 보살님 오시네- (스님2) 어, 왔어요","보살님 오시네 어 , 왔어요","스님 보살님 오시네 스님 어 , 왔어요"
112.612,113.614,R089-S01-T001-U000027,(스님3) 왔네요,왔네요,스님 왔네요
117.217,119.286,R089-S01-T001-U000028,"- (오복) 스님, 안녕하세요- 예, 오이소","스님 , 안녕하세요 예 , 오이소","오복 스님 , 안녕하세요 예 , 오이소"
