begin,end,id,text,prep_verbal,prep_read
2.49,4.75,R257-S01-T007-U000001,<i>여신강림</i>,여신강림,여신강림
6.02,13.2,R257-S01-T007-U000002,<i>동기화 및 자막 제공 by   The True Beauty Team @ Viki</i>,,
29.37,32.1,R257-S01-T007-U000003,<i>여신강림</i>,여신강림,여신강림
55.49,59.04,R257-S01-T007-U000004,<i>선일고 에이스 류형진 선수. 시즌 6 승 무패.</i>,선일고 에이스 류형진 선수 . 시즌 승 무패 .,선일고 에이스 류형진 선수 . 시즌 승 무패 .
59.04,62.84,R257-S01-T007-U000005,<i>평균 자책점 1 위를 기록하고 있죠.</i>,평균 자책점 위를 기록하고 있죠 .,평균 자책점 위를 기록하고 있죠 .
66.05,68.03999999999999,R257-S01-T007-U000006,<i>원 스트라이크.</i>,원 스트라이크 .,원 스트라이크 .
68.03999999999999,69.98,R257-S01-T007-U000007,<i>투 볼 투 스트라이크.</i>,투 볼 투 스트라이크 .,투 볼 투 스트라이크 .
71.25,73.39,R257-S01-T007-U000008,<i>타자 삼진 아웃!</i>,타자 삼진 아웃 !,타자 삼진 아웃 !
73.39,75.62,R257-S01-T007-U000009,<i> - 어떤 상황이죠?   - 9 회말 투 아웃.</i>,어떤 상황이죠 ? 회말 투 아웃 .,어떤 상황이죠 ? 회말 투 아웃 .
75.62,79.09,R257-S01-T007-U000010,<i>5 대 5 동점. 자 류형진 선수!</i>,대 동점 . 자 류형진 선수 !,대 동점 . 자 류형진 선수 !
79.09,81.05,R257-S01-T007-U000011,<i>뭐죠 류형진 선수?</i>,뭐죠 류형진 선수 ?,뭐죠 류형진 선수 ?
81.05,83.63,R257-S01-T007-U000012,<i>무슨 문제가 생겼나요?</i>,무슨 문제가 생겼나요 ?,무슨 문제가 생겼나요 ?
83.63,86.28999999999999,R257-S01-T007-U000013,<i>지금 화면이 멈춘 게 아닌 거죠?</i>,지금 화면이 멈춘 게 아닌 거죠 ?,지금 화면이 멈춘 게 아닌 거죠 ?
86.28999999999999,89.77,R257-S01-T007-U000014,<i>저 ... 왜 저러죠?</i>,저 . . . 왜 저러죠 ?,저 . . . 왜 저러죠 ?
96.53,98.25999999999999,R257-S01-T007-U000015,스트라이크.,스트라이크 .,스트라이크 .
99.34,101.61,R257-S01-T007-U000016,확 꽂혔다 ...,확 꽂혔다 . . .,확 꽂혔다 . . .
109.22999999999999,112.49000000000001,R257-S01-T007-U000017,안녕.,안녕 .,안녕 .
112.49000000000001,114.32,R257-S01-T007-U000018,"와, 쌤!","와 , 쌤 !","와 , 쌤 !"
114.32,116.97,R257-S01-T007-U000019,이마에서. 빛이 나요.,이마에서 . 빛이 나요 .,이마에서 . 빛이 나요 .
116.97,120.56,R257-S01-T007-U000020,- 진짜 멋있어!   - 선생님 역시는 역신데요!,진짜 멋있어 ! 선생님 역시는 역신데요 !,진짜 멋있어 ! 선생님 역시는 역신데요 !
120.56,122.27,R257-S01-T007-U000021,교실은 저쪽인데.,교실은 저쪽인데 .,교실은 저쪽인데 .
122.27,124.22,R257-S01-T007-U000022,알고 있는데.,알고 있는데 .,알고 있는데 .
124.22,128.21,R257-S01-T007-U000023,선생님 멋있어요. 짱 멋있다고요!,선생님 멋있어요 . 짱 멋있다고요 !,선생님 멋있어요 . 짱 멋있다고요 !
135.37,138.13,R257-S01-T007-U000024,이게 다 희경 씨 어머니 ...,이게 다 희경 씨 어머니 . . .,이게 다 희경 씨 어머니 . . .
138.13,140.69,R257-S01-T007-U000025,주경이 어머님 덕분입니다.,주경이 어머님 덕분입니다 .,주경이 어머님 덕분입니다 .
146.31,147.82,R257-S01-T007-U000026,아이 ...,아이 . . .,아이 . . .
150.15,152.75,R257-S01-T007-U000027,어떻게 눈썹이 자리잡을 동안,어떻게 눈썹이 자리잡을 동안,어떻게 눈썹이 자리잡을 동안
152.75,155.01,R257-S01-T007-U000028,연락 한 통이 없냐?,연락 한 통이 없냐 ?,연락 한 통이 없냐 ?
156.34,158.65,R257-S01-T007-U000029,뽀뽀가 장난입니까?,뽀뽀가 장난입니까 ?,뽀뽀가 장난입니까 ?
158.65,161.84,R257-S01-T007-U000030,내 입술이 만만? 여보세요?,내 입술이 만만 ? 여보세요 ?,내 입술이 만만 ? 여보세요 ?
161.84,164.18,R257-S01-T007-U000031,"여보세요, 네 한준우입니다.","여보세요 , 네 한준우입니다 .","여보세요 , 네 한준우입니다 ."
164.18,167.2,R257-S01-T007-U000032,더 내려. 똑바로 내려. 자세 똑바로 안 잡아.,더 내려 . 똑바로 내려 . 자세 똑바로 안 잡아 .,더 내려 . 똑바로 내려 . 자세 똑바로 안 잡아 .
167.2,170.32999999999998,R257-S01-T007-U000033,- 똑바로 해!   - 좋은 아침입니다.,똑바로 해 ! 좋은 아침입니다 .,똑바로 해 ! 좋은 아침입니다 .
171.07,173.37,R257-S01-T007-U000034,"노래방 주인이 경찰에 신고했으면,","노래방 주인이 경찰에 신고했으면 ,","노래방 주인이 경찰에 신고했으면 ,"
