begin,end,id,text,prep_verbal,prep_read
6.006,9.968,R031-S01-T001-U000001,"""넷플릭스 제공""",넷플릭스 제공,넷플릭스 제공
10.052,12.054,R031-S01-T001-U000002,[무거운 음악],,무거운 음악
38.163,39.957,R031-S01-T001-U000003,(영상 속 기자1) [영어] 공기압이낮은 곳에선,공기압이낮은 곳에선,영상 속 기자 영어 공기압이낮은 곳에선
40.04,44.544,R031-S01-T001-U000004,발병 시간이 기존 24시간에서5분 남짓밖에 걸리지 않은,발병 시간이 기존 시간에서분 남짓밖에 걸리지 않은,발병 시간이 기존 시간에서분 남짓밖에 걸리지 않은
44.628,49.174,R031-S01-T001-U000005,변이 바이러스까지 발견되어,변이 바이러스까지 발견되어,변이 바이러스까지 발견되어
49.258,52.177,R031-S01-T001-U000006,더 큰 우려를 낳고 있습니다,더 큰 우려를 낳고 있습니다,더 큰 우려를 낳고 있습니다
52.719,53.887,R031-S01-T001-U000007,또한 발병 후,또한 발병 후,또한 발병 후
53.971,58.141,R031-S01-T001-U000008,이상 신체 능력과폭력성이 향상되며,이상 신체 능력과폭력성이 향상되며,이상 신체 능력과폭력성이 향상되며
58.225,61.603,R031-S01-T001-U000009,이성이 사라진 짐승처럼 변해,이성이 사라진 짐승처럼 변해,이성이 사라진 짐승처럼 변해
61.687,64.898,R031-S01-T001-U000010,격리시설 확보에도난항을 겪는 가운데,격리시설 확보에도난항을 겪는 가운데,격리시설 확보에도난항을 겪는 가운데
64.982,69.653,R031-S01-T001-U000011,주한 미군을 통한,주한 미군을 통한,주한 미군을 통한
69.736,73.115,R031-S01-T001-U000012,미국 내 감염자는 15만여 명,미국 내 감염자는 만여 명,미국 내 감염자는 만여 명
73.198,75.867,R031-S01-T001-U000013,사망자는 3만여 명에달하고 있습니다,사망자는 만여 명에달하고 있습니다,사망자는 만여 명에달하고 있습니다
75.951,77.869,R031-S01-T001-U000014,북한은 현재 감염자가,북한은 현재 감염자가,북한은 현재 감염자가
77.953,80.706,R031-S01-T001-U000015,전체 인구의 34%인850만 명에 도달함으로,전체 인구의 인만 명에 도달함으로,전체 인구의 인만 명에 도달함으로
80.789,83.584,R031-S01-T001-U000016,국가 붕괴의 위기에 돌입했습니다,국가 붕괴의 위기에 돌입했습니다,국가 붕괴의 위기에 돌입했습니다
83.667,85.919,R031-S01-T001-U000017,WHO는 오늘부로 한국을,는 오늘부로 한국을,는 오늘부로 한국을
86.003,89.798,R031-S01-T001-U000018,DMZ 바이러스 청정 지역으로선포했습니다,바이러스 청정 지역으로선포했습니다,바이러스 청정 지역으로선포했습니다
89.881,92.426,R031-S01-T001-U000019,반면 한국은마지막 감염자인 최 모 씨가,반면 한국은마지막 감염자인 최 모 씨가,반면 한국은마지막 감염자인 최 모 씨가
92.509,94.761,R031-S01-T001-U000020,감염 후 13일을넘기지 못하고 사망함으로써,감염 후 일을넘기지 못하고 사망함으로써,감염 후 일을넘기지 못하고 사망함으로써
