begin,end,id,text,prep_verbal,prep_read
1.71,4.588,R108-S01-T007-U000001,슈퍼 공룡 파워 변신!,슈퍼 공룡 파워 변신 !,슈퍼 공룡 파워 변신 !
4.671,6.673,R108-S01-T007-U000002,[주제곡],,주제곡
9.843,13.055,R108-S01-T007-U000003,♪ 슈퍼 공룡 파워 ♪,슈퍼 공룡 파워,슈퍼 공룡 파워
13.138,15.224,R108-S01-T007-U000004,♪ 미니특공대 ♪,미니특공대,미니특공대
15.307,16.934,R108-S01-T007-U000005,♪ 슈퍼 슈퍼 슈퍼 ♪,슈퍼 슈퍼 슈퍼,슈퍼 슈퍼 슈퍼
17.017,18.644,R108-S01-T007-U000006,♪ 슈퍼 공룡 파워 ♪,슈퍼 공룡 파워,슈퍼 공룡 파워
21.73,23.607,R108-S01-T007-U000007,♪ 지구를 지키는 ♪,지구를 지키는,지구를 지키는
23.69,25.859,R108-S01-T007-U000008,♪ 무적의 공룡 파워 ♪,무적의 공룡 파워,무적의 공룡 파워
27.319,29.279,R108-S01-T007-U000009,♪ 평화를 지키는 ♪,평화를 지키는,평화를 지키는
29.363,32.491,R108-S01-T007-U000010,♪ 최강의 공룡 파워 ♪,최강의 공룡 파워,최강의 공룡 파워
32.574,35.16,R108-S01-T007-U000011,♪ 우리들의 친구 ♪,우리들의 친구,우리들의 친구
35.244,37.246,R108-S01-T007-U000012,♪ 공룡들과 함께 ♪,공룡들과 함께,공룡들과 함께
38.121,40.415,R108-S01-T007-U000013,"♪ 출동이다, 이 악당들아 ♪","출동이다 , 이 악당들아","출동이다 , 이 악당들아"
40.499,43.293,R108-S01-T007-U000014,♪ 최강 미니특공대가 간다 ♪,최강 미니특공대가 간다,최강 미니특공대가 간다
43.669,46.338,R108-S01-T007-U000015,♪ 슈퍼 공룡 파워 ♪,슈퍼 공룡 파워,슈퍼 공룡 파워
46.421,48.799,R108-S01-T007-U000016,♪ 미니특공대 ♪,미니특공대,미니특공대
48.882,50.634,R108-S01-T007-U000017,♪ 슈퍼 슈퍼 슈퍼 ♪,슈퍼 슈퍼 슈퍼,슈퍼 슈퍼 슈퍼
50.717,52.803,R108-S01-T007-U000018,♪ 슈퍼 공룡 파워 ♪,슈퍼 공룡 파워,슈퍼 공룡 파워
55.055,57.224,R108-S01-T007-U000019,♪ 슈퍼 공룡 파워 ♪,슈퍼 공룡 파워,슈퍼 공룡 파워
57.307,59.685,R108-S01-T007-U000020,♪ 미니특공대 ♪,미니특공대,미니특공대
59.768,61.937,R108-S01-T007-U000021,♪ 승리를 향해 출동이다 ♪,승리를 향해 출동이다,승리를 향해 출동이다
62.02,65.941,R108-S01-T007-U000022,♪ 미니특공대 ♪,미니특공대,미니특공대
70.404,72.406,R108-S01-T007-U000023,[힘찬 음악],,힘찬 음악
72.906,74.032,R108-S01-T007-U000024,[티라카의 포효],,티라카의 포효
75.325,78.62,R108-S01-T007-U000025,(볼트),,볼트
79.955,81.79,R108-S01-T007-U000026,[밝은 음악][새가 지저귄다],,밝은 음악 새가 지저귄다
82.833,83.917,R108-S01-T007-U000027,(수지)자,자,수지 자
84.918,87.379,R108-S01-T007-U000028,곧 엄마 생신이라 요리 연습 중인데[함께 감탄한다],곧 엄마 생신이라요리 연습 중인데,곧 엄마 생신이라요리 연습 중인데 함께 감탄한다
87.462,88.922,R108-S01-T007-U000029,너희가 맛 좀 봐 줄래?,너희가 맛 좀 봐 줄래 ?,너희가 맛 좀 봐 줄래 ?
89.923,91.633,R108-S01-T007-U000030,(맥스)그럼 한번 먹어 볼까?,그럼 한번 먹어 볼까 ?,맥스 그럼 한번 먹어 볼까 ?
91.717,92.676,R108-S01-T007-U000031,[볼트의 기합],,볼트의 기합
92.759,94.469,R108-S01-T007-U000032,오![탄성],오 !,오 ! 탄성
95.053,95.929,R108-S01-T007-U000033,(함께)볼트!,볼트 !,함께 볼트 !
96.513,99.099,R108-S01-T007-U000034,"미안, 내가 먼저 맛 좀 볼게","미안 , 내가 먼저 맛 좀 볼게","미안 , 내가 먼저 맛 좀 볼게"
99.182,100.642,R108-S01-T007-U000035,[게걸스러운 신음],,게걸스러운 신음
101.643,102.644,R108-S01-T007-U000036,[꿀꺽][캑],,꿀꺽 캑
102.728,103.895,R108-S01-T007-U000037,[괴로운 신음],,괴로운 신음
103.979,105.48,R108-S01-T007-U000038,진짜 최악,진짜 최악,진짜 최악
105.564,107.065,R108-S01-T007-U000039,어?[분노하는 숨소리],어 ?,어 ? 분노하는 숨소리
107.149,109.318,R108-S01-T007-U000040,"(함께)[걱정스러운 말투로]볼, 볼트","볼 , 볼트","함께 걱정스러운 말투로 볼 , 볼트"
109.401,112.112,R108-S01-T007-U000041,"[당황하며]아, 악까지는 아니고","아 , 악까지는 아니고","당황하며 아 , 악까지는 아니고"
112.821,113.989,R108-S01-T007-U000042,[수지의 한숨],,수지의 한숨
114.072,115.907,R108-S01-T007-U000043,스파게티는 너무 어렵네,스파게티는 너무 어렵네,스파게티는 너무 어렵네
115.991,117.242,R108-S01-T007-U000044,[볼트와 새미의 난감한 신음],,볼트와 새미의 난감한 신음
117.326,118.41,R108-S01-T007-U000045,"- 아, 저기…- (수지) 어?","아 , 저기 어 ?","아 , 저기 수지 어 ?"
118.493,121.663,R108-S01-T007-U000046,아는 요리사가 있는데도와 달라고 해 볼까?[수지가 호응한다],아는 요리사가 있는데도와 달라고 해 볼까 ?,아는 요리사가 있는데도와 달라고 해 볼까 ? 수지가 호응한다
121.747,123.248,R108-S01-T007-U000047,그래도 돼?,그래도 돼 ?,그래도 돼 ?
123.874,126.209,R108-S01-T007-U000048,[부드러운 음악],,부드러운 음악
126.293,127.502,R108-S01-T007-U000049,[셰프의 힘주는 신음],,셰프의 힘주는 신음
128.003,130.172,R108-S01-T007-U000050,[셰프의 웃음][수지의 옅은 탄성],,셰프의 웃음 수지의 옅은 탄성
130.714,131.923,R108-S01-T007-U000051,[셰프의 집중하는 신음],,셰프의 집중하는 신음
132.007,133.467,R108-S01-T007-U000052,[수지의 탄성],,수지의 탄성
133.55,134.509,R108-S01-T007-U000053,[셰프의 힘주는 신음],,셰프의 힘주는 신음
134.593,136.345,R108-S01-T007-U000054,(셰프)자!,자 !,셰프 자 !
136.928,137.804,R108-S01-T007-U000055,[수지의 탄성],,수지의 탄성
137.888,139.681,R108-S01-T007-U000056,[셰프의 웃음],,셰프의 웃음
139.765,141.892,R108-S01-T007-U000057,요리 재밌죠?[수지가 호응한다],요리 재밌죠 ?,요리 재밌죠 ? 수지가 호응한다
141.975,143.769,R108-S01-T007-U000058,[셰프의 힘주는 신음][수지의 웃음],,셰프의 힘주는 신음 수지의 웃음
144.895,146.855,R108-S01-T007-U000059,[셰프의 힘주는 신음](수지)와!,와 !,셰프의 힘주는 신음 수지 와 !
147.439,151.526,R108-S01-T007-U000060,그럼 실전 연습으로 들어가 볼까요?,그럼 실전 연습으로들어가 볼까요 ?,그럼 실전 연습으로들어가 볼까요 ?
151.61,153.695,R108-S01-T007-U000061,[수지의 결연한 신음][루시의 탄성],,수지의 결연한 신음 루시의 탄성
154.446,155.864,R108-S01-T007-U000062,[경쾌한 음악](수지)자,자,경쾌한 음악 수지 자
