begin,end,id,text,prep_verbal,prep_read
48.006,50.3,R083-S01-T001-U000001,[드릴 소리],,드릴 소리
61.728,63.689,R083-S01-T001-U000002,[계속되는 드릴 소리],,계속되는 드릴 소리
76.368,77.953,R083-S01-T001-U000003,[유리 깨지는 소리],,유리 깨지는 소리
78.036,79.705,R083-S01-T001-U000004,[중단된 드릴 소리],,중단된 드릴 소리
79.788,81.498,R083-S01-T001-U000005,[긴장된 숨소리],,긴장된 숨소리
84.626,86.211,R083-S01-T001-U000006,[다시 이어지는 드릴 소리],,다시 이어지는 드릴 소리
99.016,100.017,R083-S01-T001-U000007,[두드리는 소리],,두드리는 소리
107.566,109.568,R083-S01-T001-U000008,[사이렌],,사이렌
111.069,114.031,R083-S01-T001-U000009,"(무전 소리 1) 여기 안산 212464 말씀하세요, 이상","여기 안산 말씀하세요 , 이상","무전 소리 여기 안산 말씀하세요 , 이상"
114.114,116.325,R083-S01-T001-U000010,- (남자 1) 현 4-15지점 통과- (무전 소리 1) 네,현 지점 통과 네,남자 현 지점 통과 무전 소리 네
124.499,126.626,R083-S01-T001-U000011,"""NH 365 자동화 코너""",자동화 코너,자동화 코너
127.919,129.338,R083-S01-T001-U000012,"(무전 소리 1) 21턴, 2813","턴 ,","무전 소리 턴 ,"
130.339,132.466,R083-S01-T001-U000013,(남자 1) 현재 18미인집에서 논밭,현재 미인집에서 논밭,남자 현재 미인집에서 논밭
151.61,153.737,R083-S01-T001-U000014,[헐떡이는 소리] 오케바리,오케바리,헐떡이는 소리 오케바리
183.225,187.729,R083-S01-T001-U000015,"너, 이씨, 도둑놈의 새끼","너 , 이씨 , 도둑놈의 새끼","너 , 이씨 , 도둑놈의 새끼"
189.272,190.732,R083-S01-T001-U000016,[신음],,신음
193.693,195.112,R083-S01-T001-U000017,"야, 이 씨발 새끼야","야 , 이 씨발 새끼야","야 , 이 씨발 새끼야"
195.695,198.115,R083-S01-T001-U000018,일 끝나면 바로튀어나오라고 했지?,일 끝나면 바로튀어나오라고 했지 ?,일 끝나면 바로튀어나오라고 했지 ?
198.198,199.908,R083-S01-T001-U000019,[기철의 숨 막히는 소리]잘못했어요,잘못했어요,기철의 숨 막히는 소리 잘못했어요
