begin,end,id,text,prep_verbal,prep_read
1.401,5.706,R210-S01-T001-U000001,[노래 전주],,노래 전주
5.772,8.542,R210-S01-T001-U000002,"""마법버스 타요""",마법버스 타요,마법버스 타요
8.609,11.712,R210-S01-T001-U000003,♪ 마법버스 타요 타고 ♪,마법버스 타요 타고,마법버스 타요 타고
11.778,13.947,R210-S01-T001-U000004,♪ 하늘 높이 날아 봐 ♪,하늘 높이 날아 봐,하늘 높이 날아 봐
14.014,14.948,R210-S01-T001-U000005,에우로스,에우로스,에우로스
15.015,18.285,R210-S01-T001-U000006,♪ 신비한 모험 가득한 ♪,신비한 모험 가득한,신비한 모험 가득한
18.352,21.421,R210-S01-T001-U000007,♪ 마법의 세계로 ♪,마법의 세계로,마법의 세계로
21.989,24.958,R210-S01-T001-U000008,♪ 거친 바람 가르는 ♪,거친 바람 가르는,거친 바람 가르는
25.359,28.629,R210-S01-T001-U000009,♪ 마법버스 타요 타고 ♪,마법버스 타요 타고,마법버스 타요 타고
28.695,31.465,R210-S01-T001-U000010,♪ 마법 지팡이 휘둘러 ♪,마법 지팡이 휘둘러,마법 지팡이 휘둘러
31.532,33.7,R210-S01-T001-U000011,♪ 커다란 원을 그리며 ♪,커다란 원을 그리며,커다란 원을 그리며
33.767,36.87,R210-S01-T001-U000012,♪ 주문을 힘껏 외쳐봐 ♪,주문을 힘껏 외쳐봐,주문을 힘껏 외쳐봐
36.937,42.91,R210-S01-T001-U000013,♪ 신비한 세상 펼쳐져요 ♪,신비한 세상 펼쳐져요,신비한 세상 펼쳐져요
43.944,47.214,R210-S01-T001-U000014,♪ 마법버스 타요 타고 ♪,마법버스 타요 타고,마법버스 타요 타고
47.281,49.182,R210-S01-T001-U000015,♪ 주문을 외쳐봐 ♪,주문을 외쳐봐,주문을 외쳐봐
49.249,50.55,R210-S01-T001-U000016,미니무스,미니무스,미니무스
50.617,53.921,R210-S01-T001-U000017,♪ 너의 꿈 이뤄지는 ♪,너의 꿈 이뤄지는,너의 꿈 이뤄지는
53.987,56.89,R210-S01-T001-U000018,♪ 마법의 세계로 ♪,마법의 세계로,마법의 세계로
57.691,62.663,R210-S01-T001-U000019,♪ 마법버스 타요 ♪,마법버스 타요,마법버스 타요
64.431,66.7,R210-S01-T001-U000020,(내레이선) 우리가 사는인간 세계 너머에는,우리가 사는인간 세계 너머에는,내레이선 우리가 사는인간 세계 너머에는
66.767,69.369,R210-S01-T001-U000021,(내레이션) 숨겨진마법 세계가 있었다[반짝이는 효과음],숨겨진마법 세계가 있었다,내레이션 숨겨진마법 세계가 있었다 반짝이는 효과음
69.436,71.572,R210-S01-T001-U000022,[웃음 소리](내레이션) 인간 세계와마법 세계는,인간 세계와마법 세계는,웃음 소리 내레이션 인간 세계와마법 세계는
71.638,73.774,R210-S01-T001-U000023,(내레이션) 평화롭게공존하며 살아왔는데,평화롭게공존하며 살아왔는데,내레이션 평화롭게공존하며 살아왔는데
73.84,74.875,R210-S01-T001-U000024,(타요) 도착했습니다,도착했습니다,타요 도착했습니다
74.942,75.943,R210-S01-T001-U000025,[아이들의 웃음 소리](아이 3) 안녕,안녕,아이들의 웃음 소리 아이 안녕
76.009,78.879,R210-S01-T001-U000026,(내레이션) 강력한 힘을 지닌태양의 스톤과 달의 스톤이,강력한 힘을 지닌태양의 스톤과 달의 스톤이,내레이션 강력한 힘을 지닌태양의 스톤과 달의 스톤이
78.946,81.381,R210-S01-T001-U000027,[날아가는 소리](내레이션) 두 세계를지켜준 덕분이었다,두 세계를지켜준 덕분이었다,날아가는 소리 내레이션 두 세계를지켜준 덕분이었다
81.448,83.951,R210-S01-T001-U000028,[책 덮는 소리](마법 교장) 마법 스톤의 위치가,마법 스톤의 위치가,책 덮는 소리 마법 교장 마법 스톤의 위치가
84.017,85.953,R210-S01-T001-U000029,(마법 교장) 절대 알려져선안 돼요,절대 알려져선안 돼요,마법 교장 절대 알려져선안 돼요
86.019,87.254,R210-S01-T001-U000030,[책 날아가는 소리](마법 교장) 이젠,이젠,책 날아가는 소리 마법 교장 이젠
87.321,89.323,R210-S01-T001-U000031,(마법 교장) 칼리가 잘 지켜주세요,칼리가 잘 지켜주세요,마법 교장 칼리가 잘 지켜주세요
89.389,90.591,R210-S01-T001-U000032,"(칼리) 네, 선생님","네 , 선생님","칼리 네 , 선생님"
91.058,92.326,R210-S01-T001-U000033,(내레이션) 시간이 흘러 어느 날,시간이 흘러 어느 날,내레이션 시간이 흘러 어느 날
92.392,93.327,R210-S01-T001-U000034,[문 열리는 소리],,문 열리는 소리
93.393,96.263,R210-S01-T001-U000035,(내레이션) 한 나쁜 마법사가마법 스톤의 위치가 적힌,한 나쁜 마법사가마법 스톤의 위치가 적힌,내레이션 한 나쁜 마법사가마법 스톤의 위치가 적힌
96.33,99.466,R210-S01-T001-U000036,(내레이션) 마법 책을훔쳐 달아나는데[나쁜 마법사의 사악한 웃음 소리],마법 책을훔쳐 달아나는데,내레이션 마법 책을훔쳐 달아나는데 나쁜 마법사의 사악한 웃음 소리
101.702,104.237,R210-S01-T001-U000037,"(유치원생들) 와, 풍선이다저 주세요","와 , 풍선이다저 주세요","유치원생들 와 , 풍선이다저 주세요"
106.306,110.41,R210-S01-T001-U000038,(조이) 조금만 기다려[유치원생들의 신나는 소리],조금만 기다려,조이 조금만 기다려 유치원생들의 신나는 소리
110.477,112.579,R210-S01-T001-U000039,[유치원생들의 웃음 소리],,유치원생들의 웃음 소리
113.513,115.415,R210-S01-T001-U000040,[차 지나가는 소리],,차 지나가는 소리
115.482,117.217,R210-S01-T001-U000041,[뾰로롱 소리],,뾰로롱 소리
117.284,119.386,R210-S01-T001-U000042,[마법 포털 효과음],,마법 포털 효과음
119.453,125.258,R210-S01-T001-U000043,[힘 주는 소리][끼익 소리],,힘 주는 소리 끼익 소리
125.325,126.66,R210-S01-T001-U000044,[사악한 웃음 소리],,사악한 웃음 소리
126.727,128.695,R210-S01-T001-U000045,[창문 내리는 소리],,창문 내리는 소리
128.762,130.297,R210-S01-T001-U000046,제대로 왔군,제대로 왔군,제대로 왔군
130.364,131.665,R210-S01-T001-U000047,[창문 올리는 소리],,창문 올리는 소리
132.632,134.468,R210-S01-T001-U000048,(나쁜 마법사 1) 자[책 펼쳐지는 소리],자,나쁜 마법사 자 책 펼쳐지는 소리
134.534,136.637,R210-S01-T001-U000049,케르바 케르딤,케르바 케르딤,케르바 케르딤
136.703,139.373,R210-S01-T001-U000050,솔라페노[마법 효과음],솔라페노,솔라페노 마법 효과음
139.439,142.309,R210-S01-T001-U000051,[마법 효과음],,마법 효과음
142.376,145.679,R210-S01-T001-U000052,[웃음 소리]가자,가자,웃음 소리 가자
145.746,146.847,R210-S01-T001-U000053,음!,음 !,음 !
147.347,153.253,R210-S01-T001-U000054,[나쁜 마법차 효과음][나쁜 마법차들 힘 주는 소리],,나쁜 마법차 효과음 나쁜 마법차들 힘 주는 소리
153.32,155.255,R210-S01-T001-U000055,[날아가는 소리],,날아가는 소리
155.322,159.059,R210-S01-T001-U000056,'모험의 시작',모험의 시작,모험의 시작
160.527,162.963,R210-S01-T001-U000057,"자, 도착했습니다[버스 멈추는 소리]","자 , 도착했습니다","자 , 도착했습니다 버스 멈추는 소리"
163.43,164.998,R210-S01-T001-U000058,안녕히 가세요,안녕히 가세요,안녕히 가세요
165.065,167.601,R210-S01-T001-U000059,"(승객들) 고마워, 타요고맙다","고마워 , 타요고맙다","승객들 고마워 , 타요고맙다"
167.667,170.137,R210-S01-T001-U000060,[웃음 소리]운행 끝,운행 끝,웃음 소리 운행 끝
170.203,171.338,R210-S01-T001-U000061,[버스 출발하는 소리],,버스 출발하는 소리
171.405,176.176,R210-S01-T001-U000062,[웃음 소리]친구들이랑 남산에 가서신나게 놀아야지,친구들이랑 남산에 가서신나게 놀아야지,웃음 소리 친구들이랑 남산에 가서신나게 놀아야지
176.243,181.648,R210-S01-T001-U000063,[모두 웃는 소리],,모두 웃는 소리
181.715,182.716,R210-S01-T001-U000064,(타요) 어?,어 ?,타요 어 ?
184.451,186.486,R210-S01-T001-U000065,(타요) 얘들아,얘들아,타요 얘들아
186.553,188.955,R210-S01-T001-U000066,"(가니, 라니, 로기) 타요, 안녕","타요 , 안녕","가니 , 라니 , 로기 타요 , 안녕"
189.022,190.457,R210-S01-T001-U000067,모두 모였네?,모두 모였네 ?,모두 모였네 ?
190.991,192.726,R210-S01-T001-U000068,빨리 남산으로 가자,빨리 남산으로 가자,빨리 남산으로 가자
192.793,194.528,R210-S01-T001-U000069,"(가니, 라니, 로기) 좋아",좋아,"가니 , 라니 , 로기 좋아"
194.594,196.063,R210-S01-T001-U000070,[웃음 소리],,웃음 소리
196.129,199.399,R210-S01-T001-U000071,[웃음 소리],,웃음 소리
201.101,204.671,R210-S01-T001-U000072,[웃음 소리],,웃음 소리
205.706,206.673,R210-S01-T001-U000073,[신호 바뀌는 소리],,신호 바뀌는 소리
208.909,210.61,R210-S01-T001-U000074,[웃음 소리],,웃음 소리
210.677,213.847,R210-S01-T001-U000075,"로기, 싱글벙글하는 게뭐 좋은 일이라도 있어?","로기 , 싱글벙글하는 게뭐 좋은 일이라도 있어 ?","로기 , 싱글벙글하는 게뭐 좋은 일이라도 있어 ?"
213.914,218.819,R210-S01-T001-U000076,"[웃음 소리]어젯밤, 엄청난 보물을찾는 꿈을 꿨거든","어젯밤 , 엄청난 보물을찾는 꿈을 꿨거든","웃음 소리 어젯밤 , 엄청난 보물을찾는 꿈을 꿨거든"
219.319,220.32,R210-S01-T001-U000077,보물?,보물 ?,보물 ?
220.387,222.556,R210-S01-T001-U000078,보물이 아니라 잡동사니겠지,보물이 아니라 잡동사니겠지,보물이 아니라 잡동사니겠지
222.622,224.257,R210-S01-T001-U000079,잡동사니라니?,잡동사니라니 ?,잡동사니라니 ?
224.324,227.027,R210-S01-T001-U000080,맨날 지저분한 물건만주워 오잖아,맨날 지저분한 물건만주워 오잖아,맨날 지저분한 물건만주워 오잖아
227.094,227.994,R210-S01-T001-U000081,아니거든?,아니거든 ?,아니거든 ?
228.061,232.032,R210-S01-T001-U000082,"아니긴, 분명 이번에도잡동사니일걸?[라니의 한숨 소리]","아니긴 , 분명 이번에도잡동사니일걸 ?","아니긴 , 분명 이번에도잡동사니일걸 ? 라니의 한숨 소리"
232.099,234.0,R210-S01-T001-U000083,- 정말 못 말려- (타요) 내 말이 맞잖아,정말 못 말려 내 말이 맞잖아,정말 못 말려 타요 내 말이 맞잖아
234.067,237.137,R210-S01-T001-U000084,어?저게 뭐야?,어 ? 저게 뭐야 ?,어 ? 저게 뭐야 ?
237.571,239.806,R210-S01-T001-U000085,(모두) 어?,어 ?,모두 어 ?
242.909,243.977,R210-S01-T001-U000086,뭐지?,뭐지 ?,뭐지 ?
244.044,247.514,R210-S01-T001-U000087,- 외계에서 온 UFO가 아닐까?- 응?,외계에서 온 가 아닐까 ? 응 ?,외계에서 온 가 아닐까 ? 응 ?
247.581,248.815,R210-S01-T001-U000088,[신호 바뀌는 소리],,신호 바뀌는 소리
248.882,250.15,R210-S01-T001-U000089,가보자,가보자,가보자
250.217,253.353,R210-S01-T001-U000090,"(타요, 라니, 가니) 어?로기, 같이가","어 ? 로기 , 같이가","타요 , 라니 , 가니 어 ? 로기 , 같이가"
254.121,256.556,R210-S01-T001-U000091,[사악한 웃음 소리],,사악한 웃음 소리
260.427,261.528,R210-S01-T001-U000092,(행인들) 응?,응 ?,행인들 응 ?
261.595,263.063,R210-S01-T001-U000093,(노란차) 저건 뭐지?,저건 뭐지 ?,노란차 저건 뭐지 ?
263.13,265.799,R210-S01-T001-U000094,[행인들 웅성거리는 소리](행인) 뭐지? 하늘에 저건 뭐야?,뭐지 ? 하늘에 저건 뭐야 ?,행인들 웅성거리는 소리 행인 뭐지 ? 하늘에 저건 뭐야 ?
265.866,267.667,R210-S01-T001-U000095,"- 어, 저기 봐- 어?","어 , 저기 봐 어 ?","어 , 저기 봐 어 ?"
268.502,269.87,R210-S01-T001-U000096,(가니) 공중에 떠 있는데,공중에 떠 있는데,가니 공중에 떠 있는데
269.936,272.439,R210-S01-T001-U000097,- 뭐지?- 글쎄,뭐지 ? 글쎄,뭐지 ? 글쎄
273.34,274.341,R210-S01-T001-U000098,[나쁜 마법차의 사악한 웃음][창문 내리는 소리],,나쁜 마법차의 사악한 웃음 창문 내리는 소리
274.407,276.51,R210-S01-T001-U000099,"아르카나, 아르카나","아르카나 , 아르카나","아르카나 , 아르카나"
276.576,277.944,R210-S01-T001-U000100,(나쁜 마법사들) 카나디움[지지직 소리],카나디움,나쁜 마법사들 카나디움 지지직 소리
278.011,281.047,R210-S01-T001-U000101,[힘 주는 소리][지지직 소리],,힘 주는 소리 지지직 소리
281.114,283.016,R210-S01-T001-U000102,[날아가는 소리][터지는 소리],,날아가는 소리 터지는 소리
283.083,285.652,R210-S01-T001-U000103,[마법 효과음][모두의 비명 소리],,마법 효과음 모두의 비명 소리
285.719,288.321,R210-S01-T001-U000104,[모두의 비명 소리],,모두의 비명 소리
288.388,290.19,R210-S01-T001-U000105,갑자기 왜 이러지,갑자기 왜 이러지,갑자기 왜 이러지
290.257,292.392,R210-S01-T001-U000106,[비명 소리][우르릉 소리],,비명 소리 우르릉 소리
292.459,295.195,R210-S01-T001-U000107,[개 짖는 소리],,개 짖는 소리
295.262,297.898,R210-S01-T001-U000108,(강아지 주인) 가자[행인들의 비명 소리],가자,강아지 주인 가자 행인들의 비명 소리
297.964,300.901,R210-S01-T001-U000109,[힘겨워하는 소리],,힘겨워하는 소리
301.468,302.502,R210-S01-T001-U000110,[터지는 소리],,터지는 소리
302.569,306.039,R210-S01-T001-U000111,[마법 효과음],,마법 효과음
306.106,307.14,R210-S01-T001-U000112,[반짝하는 소리],,반짝하는 소리
307.207,313.313,R210-S01-T001-U000113,[태양의 스톤 효과음],,태양의 스톤 효과음
313.38,316.383,R210-S01-T001-U000114,[힘주는 소리][나쁜 마법차 2의 사악한 웃음],,힘주는 소리 나쁜 마법차 의 사악한 웃음
316.449,317.884,R210-S01-T001-U000115,[문 열리는 소리],,문 열리는 소리
317.951,320.287,R210-S01-T001-U000116,[사악한 웃음 소리],,사악한 웃음 소리
321.288,323.523,R210-S01-T001-U000117,[사악한 웃음 소리],,사악한 웃음 소리
323.59,325.926,R210-S01-T001-U000118,디오 님이 기뻐하시겠군,디오 님이 기뻐하시겠군,디오 님이 기뻐하시겠군
325.992,327.26,R210-S01-T001-U000119,(버드) 멈춰[놀라는 소리],멈춰,버드 멈춰 놀라는 소리
327.327,328.595,R210-S01-T001-U000120,[버드 힘 모으는 소리],,버드 힘 모으는 소리
328.662,329.796,R210-S01-T001-U000121,[빛 쏘는 소리][놀라는 호흡],,빛 쏘는 소리 놀라는 호흡
329.863,331.865,R210-S01-T001-U000122,[터지는 소리][힘겨운 소리],,터지는 소리 힘겨운 소리
332.666,333.633,R210-S01-T001-U000123,뭐지?,뭐지 ?,뭐지 ?
333.7,335.268,R210-S01-T001-U000124,[날아오는 소리][끼익 소리],,날아오는 소리 끼익 소리
335.669,336.837,R210-S01-T001-U000125,[문 열리는 소리],,문 열리는 소리
339.072,340.04,R210-S01-T001-U000126,"(나쁜 마법사 1) 아니, 너는?","아니 , 너는 ?","나쁜 마법사 아니 , 너는 ?"
340.507,342.409,R210-S01-T001-U000127,"카, 칼리?[나쁜 마법차들의 호흡]","카 , 칼리 ?","카 , 칼리 ? 나쁜 마법차들의 호흡"
343.71,345.645,R210-S01-T001-U000128,"- (로기, 라니, 가니) 와- (타요) 저건 또 누구지?",와 저건 또 누구지 ?,"로기 , 라니 , 가니 와 타요 저건 또 누구지 ?"
345.712,348.548,R210-S01-T001-U000129,영화에 나오는 마법사들 같아,영화에 나오는 마법사들 같아,영화에 나오는 마법사들 같아
348.615,351.117,R210-S01-T001-U000130,태양의 스톤을포기할 수는 없다,태양의 스톤을포기할 수는 없다,태양의 스톤을포기할 수는 없다
351.184,352.152,R210-S01-T001-U000131,[공격하는 소리][파앗 소리],,공격하는 소리 파앗 소리
352.652,353.787,R210-S01-T001-U000132,[힘 모으는 소리][마법 효과음],,힘 모으는 소리 마법 효과음
353.853,355.655,R210-S01-T001-U000133,[터지는 소리][힘주는 소리],,터지는 소리 힘주는 소리
355.722,357.157,R210-S01-T001-U000134,[마법이 부딪히는 소리][칼리 힘주는 소리],,마법이 부딪히는 소리 칼리 힘주는 소리
357.224,359.192,R210-S01-T001-U000135,(나쁜 마법사들) 얍![파지직 소리],얍 !,나쁜 마법사들 얍 ! 파지직 소리
359.259,361.194,R210-S01-T001-U000136,[힘겨운 소리],,힘겨운 소리
361.261,365.365,R210-S01-T001-U000137,(나쁜 마법사들) 얍![칼리 힘주는 소리],얍 !,나쁜 마법사들 얍 ! 칼리 힘주는 소리
365.432,367.534,R210-S01-T001-U000138,"(버드) 칼리, 버틸 수 있겠어?","칼리 , 버틸 수 있겠어 ?","버드 칼리 , 버틸 수 있겠어 ?"
368.068,369.603,R210-S01-T001-U000139,이대론 위험해,이대론 위험해,이대론 위험해
370.07,371.571,R210-S01-T001-U000140,[힘주는 소리],,힘주는 소리
372.072,373.707,R210-S01-T001-U000141,[모두 놀라는 소리],,모두 놀라는 소리
373.773,374.875,R210-S01-T001-U000142,그래,그래,그래
376.343,377.11,R210-S01-T001-U000143,[힘을 크게 주는 소리],,힘을 크게 주는 소리
