begin,end,id,text,prep_verbal,prep_read
5.839,9.885,R198-S01-T008-U000001,"""넷플릭스 시리즈""",넷플릭스 시리즈,넷플릭스 시리즈
11.511,13.68,R198-S01-T008-U000002,[우아한 음악이 흘러나온다],,우아한 음악이 흘러나온다
44.836,47.089,R198-S01-T008-U000003,[웅장한 음악],,웅장한 음악
68.277,70.529,R198-S01-T008-U000004,[거친 숨소리],,거친 숨소리
104.813,106.982,R198-S01-T008-U000005,[떨리는 숨소리],,떨리는 숨소리
108.108,110.36,R198-S01-T008-U000006,[긴장되는 음악],,긴장되는 음악
127.961,129.212,R198-S01-T008-U000007,왜 그랬어?,왜 그랬어 ?,왜 그랬어 ?
131.34,133.05,R198-S01-T008-U000008,무슨 얘기가 하고 싶은 거야?,무슨 얘기가 하고 싶은 거야 ?,무슨 얘기가 하고 싶은 거야 ?
133.133,134.843,R198-S01-T008-U000009,그 사람 왜 밀었어?,그 사람 왜 밀었어 ?,그 사람 왜 밀었어 ?
135.594,136.637,R198-S01-T008-U000010,[헛웃음],,헛웃음
136.72,138.597,R198-S01-T008-U000011,운 좋게 제일 뒷자리를 뽑더니,운 좋게 제일 뒷자리를 뽑더니,운 좋게 제일 뒷자리를 뽑더니
139.431,141.099,R198-S01-T008-U000012,마음이 아주 너그러워지셨네?,마음이 아주 너그러워지셨네 ?,마음이 아주 너그러워지셨네 ?
142.517,145.812,R198-S01-T008-U000013,그러다 그 인간이 그 깡패 새끼처럼못 가겠다고 버텼으면,그러다 그 인간이 그 깡패 새끼처럼못 가겠다고 버텼으면,그러다 그 인간이 그 깡패 새끼처럼못 가겠다고 버텼으면
146.813,147.981,R198-S01-T008-U000014,[기훈의 어이없는 숨소리]그땐 어쩔 건데?,그땐 어쩔 건데 ?,기훈의 어이없는 숨소리 그땐 어쩔 건데 ?
148.065,149.399,R198-S01-T008-U000015,마지막 칸이었어,마지막 칸이었어,마지막 칸이었어
151.151,152.611,R198-S01-T008-U000016,그 사람 분명히 가려고 했어,그 사람 분명히 가려고 했어,그 사람 분명히 가려고 했어
152.694,153.82,R198-S01-T008-U000017,그걸 어떻게 확신해?,그걸 어떻게 확신해 ?,그걸 어떻게 확신해 ?
155.03,155.906,R198-S01-T008-U000018,그 인간,그 인간,그 인간
156.406,157.949,R198-S01-T008-U000019,유리를 구별할 줄 알면서도,유리를 구별할 줄 알면서도,유리를 구별할 줄 알면서도
158.033,160.911,R198-S01-T008-U000020,앞에서 다 떨어져 죽는 거보고만 있던 놈이야,앞에서 다 떨어져 죽는 거보고만 있던 놈이야,앞에서 다 떨어져 죽는 거보고만 있던 놈이야
160.994,163.288,R198-S01-T008-U000021,어쨌든 너나 나나 다 그 사람 덕에,어쨌든 너나 나나 다 그 사람 덕에,어쨌든 너나 나나 다 그 사람 덕에
163.372,164.748,R198-S01-T008-U000022,다리 끝까지 살아서 간 거야,다리 끝까지 살아서 간 거야,다리 끝까지 살아서 간 거야
164.831,166.083,R198-S01-T008-U000023,"씨발, 형","씨발 , 형","씨발 , 형"
166.166,167.334,R198-S01-T008-U000024,형은 모르겠지만,형은 모르겠지만,형은 모르겠지만
167.417,169.503,R198-S01-T008-U000025,내가 아직 살아 있는 건그놈 덕이 아니야,내가 아직 살아 있는 건그놈 덕이 아니야,내가 아직 살아 있는 건그놈 덕이 아니야
170.253,171.38,R198-S01-T008-U000026,내가 살아 있는 건,내가 살아 있는 건,내가 살아 있는 건
172.089,174.8,R198-S01-T008-U000027,내가 살아남으려고죽을힘을 다했기 때문이야,내가 살아남으려고죽을힘을 다했기 때문이야,내가 살아남으려고죽을힘을 다했기 때문이야
174.883,176.677,R198-S01-T008-U000028,아무리 이유를 갖다 붙여 봐야,아무리 이유를 갖다 붙여 봐야,아무리 이유를 갖다 붙여 봐야
177.511,179.429,R198-S01-T008-U000029,넌 그냥 죄 없는 사람 죽인 거야,넌 그냥 죄 없는 사람 죽인 거야,넌 그냥 죄 없는 사람 죽인 거야
179.513,181.056,R198-S01-T008-U000030,정신 차려!,정신 차려 !,정신 차려 !
182.599,184.893,R198-S01-T008-U000031,어차피 우리가 저 돈 가지고 나가려면,어차피 우리가 저 돈 가지고 나가려면,어차피 우리가 저 돈 가지고 나가려면
185.56,187.145,R198-S01-T008-U000032,다른 놈들 다 죽어야 돼,다른 놈들 다 죽어야 돼,다른 놈들 다 죽어야 돼
188.73,191.817,R198-S01-T008-U000033,형 손에 피 안 묻히게 해 줬으면오히려 고마워해야 되는 거 아니야?,형 손에 피 안 묻히게 해 줬으면오히려 고마워해야 되는 거 아니야 ?,형 손에 피 안 묻히게 해 줬으면오히려 고마워해야 되는 거 아니야 ?
193.985,195.654,R198-S01-T008-U000034,그게 나였어도 밀었을 거냐?,그게 나였어도 밀었을 거냐 ?,그게 나였어도 밀었을 거냐 ?
197.322,199.074,R198-S01-T008-U000035,"하, 씨발, 아","하 , 씨발 , 아","하 , 씨발 , 아"
199.574,200.659,R198-S01-T008-U000036,기훈이 형!,기훈이 형 !,기훈이 형 !
202.577,203.453,R198-S01-T008-U000037,[한숨],,한숨
