begin,end,id,text,prep_verbal,prep_read
6.006,8.05,R144-S01-T006-U000001,[주제곡],,주제곡
8.133,11.762,R144-S01-T006-U000002,"""넷플릭스 시리즈""",넷플릭스 시리즈,넷플릭스 시리즈
45.045,47.297,R144-S01-T006-U000003,[새가 지저귄다][부드러운 음악이 흘러나온다],,새가 지저귄다 부드러운 음악이 흘러나온다
59.726,62.104,R144-S01-T006-U000004,"(교수1) 원, 투, 쓰리, 시, 시작","원 , 투 , 쓰리 , 시 , 시작","교수 원 , 투 , 쓰리 , 시 , 시작"
84.376,85.252,R144-S01-T006-U000005,(재언) 난 언제나,난 언제나,재언 난 언제나
86.211,89.84,R144-S01-T006-U000006,상대와의 적당한 거리에서만족감을 느낀다,상대와의 적당한 거리에서만족감을 느낀다,상대와의 적당한 거리에서만족감을 느낀다
90.382,94.052,R144-S01-T006-U000007,"(진수) 뭐야, 남녀 한 쌍이야?아, 나도 저거 들을걸","뭐야 , 남녀 한 쌍이야 ? 아 , 나도 저거 들을걸","진수 뭐야 , 남녀 한 쌍이야 ? 아 , 나도 저거 들을걸"
94.136,95.012,R144-S01-T006-U000008,[세훈이 혀를 끌끌 찬다],,세훈이 혀를 끌끌 찬다
95.095,98.098,R144-S01-T006-U000009,"(세훈) 저 성비 불균형 사태 봐라아이고, 참","저 성비 불균형 사태 봐라아이고 , 참","세훈 저 성비 불균형 사태 봐라아이고 , 참"
98.181,100.058,R144-S01-T006-U000010,다 너 같은 애들 때문에그런 거 아니야,다 너 같은 애들 때문에그런 거 아니야,다 너 같은 애들 때문에그런 거 아니야
112.988,114.823,R144-S01-T006-U000011,[작은 소리로] 쟤 유나비 좋아하네,쟤 유나비 좋아하네,작은 소리로 쟤 유나비 좋아하네
115.324,118.452,R144-S01-T006-U000012,(진수) [한숨 쉬며]백 타 종강 날 데이트 신청 각이다,백 타 종강 날 데이트 신청 각이다,진수 한숨 쉬며 백 타 종강 날 데이트 신청 각이다
119.036,120.245,R144-S01-T006-U000013,(세훈) 가자,가자,세훈 가자
121.496,122.623,R144-S01-T006-U000014,[진수가 재촉한다],,진수가 재촉한다
