begin,end,id,text,prep_verbal,prep_read
6.04,8.08,R237-S01-T002-U000001,[어두운 음악][멀리서 개가 왈왈 짖는다],,어두운 음악 멀리서 개가 왈왈 짖는다
10.44,13.4,R237-S01-T002-U000002,(일용) 초반부는자신이 생각하는 왜곡된,초반부는자신이 생각하는 왜곡된,일용 초반부는자신이 생각하는 왜곡된
13.48,15.88,R237-S01-T002-U000003,사회에 대한 응징과사회에 대한 복수가,사회에 대한 응징과사회에 대한 복수가,사회에 대한 응징과사회에 대한 복수가
15.96,16.96,R237-S01-T002-U000004,주요가 됐다고 한다면,주요가 됐다고 한다면,주요가 됐다고 한다면
19.28,22.88,R237-S01-T002-U000005,그다음부터는 자신 본연의 모습이이제 드러나게 되는 거예요,그다음부터는 자신 본연의 모습이이제 드러나게 되는 거예요,그다음부터는 자신 본연의 모습이이제 드러나게 되는 거예요
25.12,26.84,R237-S01-T002-U000006,성에 대한 것이 관련돼 있고,성에 대한 것이 관련돼 있고,성에 대한 것이 관련돼 있고
26.92,30.44,R237-S01-T002-U000007,여성에 대한 분노와 좌절과낭만감과,여성에 대한 분노와 좌절과낭만감과,여성에 대한 분노와 좌절과낭만감과
30.52,32.28,R237-S01-T002-U000008,응징을 해야 되겠다는 것이,응징을 해야 되겠다는 것이,응징을 해야 되겠다는 것이
32.36,34.16,R237-S01-T002-U000009,[물소리가 들린다]분명히 이제 관련이 돼 있고,분명히 이제 관련이 돼 있고,물소리가 들린다 분명히 이제 관련이 돼 있고
39.64,41.92,R237-S01-T002-U000010,"""넷플릭스 다큐멘터리 시리즈""",넷플릭스 다큐멘터리 시리즈,넷플릭스 다큐멘터리 시리즈
42.88,45.6,R237-S01-T002-U000011,[어두운 음악](앵커) 어제 일어난서울 혜화동 살인 사건 수사는,어제 일어난서울 혜화동 살인 사건 수사는,어두운 음악 앵커 어제 일어난서울 혜화동 살인 사건 수사는
45.68,46.92,R237-S01-T002-U000012,아직 별 진전이 없습니다,아직 별 진전이 없습니다,아직 별 진전이 없습니다
51.0,52.88,R237-S01-T002-U000013,[사이렌이 울린다](기자1) 최근 두 달 사이,최근 두 달 사이,사이렌이 울린다 기자 최근 두 달 사이
52.96,55.88,R237-S01-T002-U000014,서울에서만 고급 주택밀집 지역을 노린 살인 사건이,서울에서만 고급 주택밀집 지역을 노린 살인 사건이,서울에서만 고급 주택밀집 지역을 노린 살인 사건이
55.96,57.84,R237-S01-T002-U000015,잇따라 네 차례나 발생했습니다,잇따라 네 차례나 발생했습니다,잇따라 네 차례나 발생했습니다
60.6,62.64,R237-S01-T002-U000016,(기자2) 사건 현장에서200여 미터 떨어진,사건 현장에서여 미터 떨어진,기자 사건 현장에서여 미터 떨어진
62.72,64.28,R237-S01-T002-U000017,한 빌딩 CCTV에,한 빌딩 에,한 빌딩 에
64.36,67.8,R237-S01-T002-U000018,범인으로 추정되는 20대 남자의뒷모습이 잡혔습니다,범인으로 추정되는 대 남자의뒷모습이 잡혔습니다,범인으로 추정되는 대 남자의뒷모습이 잡혔습니다
71.44,73.32,R237-S01-T002-U000019,또 현장에서 발견된 족적이,또 현장에서 발견된 족적이,또 현장에서 발견된 족적이
73.4,76.2,R237-S01-T002-U000020,구기동과 삼성동 사건의족적과 비슷해,구기동과 삼성동 사건의족적과 비슷해,구기동과 삼성동 사건의족적과 비슷해
77.28,80.0,R237-S01-T002-U000021,이제 결국은 연쇄라는 말나올 수밖에 없잖아요,이제 결국은 연쇄라는 말나올 수밖에 없잖아요,이제 결국은 연쇄라는 말나올 수밖에 없잖아요
80.08,82.48,R237-S01-T002-U000022,그때 가서 이제 결국 터트린 건데,그때 가서 이제 결국 터트린 건데,그때 가서 이제 결국 터트린 건데
86.4,88.24,R237-S01-T002-U000023,언론에 계속 이제보도가 나옵니다,언론에 계속 이제보도가 나옵니다,언론에 계속 이제보도가 나옵니다
88.32,90.72,R237-S01-T002-U000024,연쇄 살인 사건이라는 보도가,연쇄 살인 사건이라는 보도가,연쇄 살인 사건이라는 보도가
90.8,93.56,R237-S01-T002-U000025,공식적으로 이제나오기 시작하면서,공식적으로 이제나오기 시작하면서,공식적으로 이제나오기 시작하면서
94.04,95.68,R237-S01-T002-U000026,(기륜) 시민들이굉장히 불안해했죠,시민들이굉장히 불안해했죠,기륜 시민들이굉장히 불안해했죠
98.0,102.12,R237-S01-T002-U000027,(인철) 한국에서 최초의연쇄 살인범을 수사하기 위해서,한국에서 최초의연쇄 살인범을 수사하기 위해서,인철 한국에서 최초의연쇄 살인범을 수사하기 위해서
103.76,105.64,R237-S01-T002-U000028,80여 명 정도가 모여서,여 명 정도가 모여서,여 명 정도가 모여서
105.72,107.64,R237-S01-T002-U000029,합동 수사본부를 출범시키고,합동 수사본부를 출범시키고,합동 수사본부를 출범시키고
109.08,110.12,R237-S01-T002-U000030,(경찰) 협조 부탁드립니다,협조 부탁드립니다,경찰 협조 부탁드립니다
110.2,113.16,R237-S01-T002-U000031,최근 강남 일대에가격 사건이 빈번해서요,최근 강남 일대에가격 사건이 빈번해서요,최근 강남 일대에가격 사건이 빈번해서요
113.24,115.2,R237-S01-T002-U000032,저희가 지금검문검색 중에 있습니다,저희가 지금검문검색 중에 있습니다,저희가 지금검문검색 중에 있습니다
116.24,118.0,R237-S01-T002-U000033,(기륜) 사람으로서 막을 수 있는,사람으로서 막을 수 있는,기륜 사람으로서 막을 수 있는
118.6,122.12,R237-S01-T002-U000034,인력으로 할 수 있는 수사 역량은총집중해서,인력으로 할 수 있는 수사 역량은총집중해서,인력으로 할 수 있는 수사 역량은총집중해서
122.2,123.4,R237-S01-T002-U000035,범인을 잡자,범인을 잡자,범인을 잡자
126.32,128.52,R237-S01-T002-U000036,(희숙) 그런 살인 사건이발생을 했는데,그런 살인 사건이발생을 했는데,희숙 그런 살인 사건이발생을 했는데
128.6,132.72,R237-S01-T002-U000037,그 사건이해결이 아직 안 된 상태에서,그 사건이해결이 아직 안 된 상태에서,그 사건이해결이 아직 안 된 상태에서
133.2,137.12,R237-S01-T002-U000038,다시 또 엄청난 사건이우리를 기다리고 있었죠,다시 또 엄청난 사건이우리를 기다리고 있었죠,다시 또 엄청난 사건이우리를 기다리고 있었죠
140.44,142.12,R237-S01-T002-U000039,[천둥이 우르릉 울린다],,천둥이 우르릉 울린다
151.44,153.64,R237-S01-T002-U000040,[어두운 음악],,어두운 음악
158.6,162.76,R237-S01-T002-U000041,(일용) 이건 정말 한국에서일어나지도 않았던 사건들이고,이건 정말 한국에서일어나지도 않았던 사건들이고,일용 이건 정말 한국에서일어나지도 않았던 사건들이고
163.32,165.32,R237-S01-T002-U000042,[사이렌이 울린다],,사이렌이 울린다
165.4,167.56,R237-S01-T002-U000043,또 범인은 정말 어떤 사람인지,또 범인은 정말 어떤 사람인지,또 범인은 정말 어떤 사람인지
167.64,170.56,R237-S01-T002-U000044,우리가 아무 유형도밝힐 수도 없는 상황이어서,우리가 아무 유형도밝힐 수도 없는 상황이어서,우리가 아무 유형도밝힐 수도 없는 상황이어서
172.6,175.36,R237-S01-T002-U000045,"굉장히 힘들었어요, 마음도 힘들고","굉장히 힘들었어요 , 마음도 힘들고","굉장히 힘들었어요 , 마음도 힘들고"
178.76,182.4,R237-S01-T002-U000046,저는 지금 이 범죄는 일단부유층이 대상이고,저는 지금 이 범죄는 일단부유층이 대상이고,저는 지금 이 범죄는 일단부유층이 대상이고
182.48,184.08,R237-S01-T002-U000047,침입해야 되고,침입해야 되고,침입해야 되고
184.16,188.0,R237-S01-T002-U000048,망치 같은 둔기로머리를 공격하는데,망치 같은 둔기로머리를 공격하는데,망치 같은 둔기로머리를 공격하는데
189.56,191.12,R237-S01-T002-U000049,매일 아침마다,매일 아침마다,매일 아침마다
193.12,195.12,R237-S01-T002-U000050,전날 발생했던,전날 발생했던,전날 발생했던
196.92,198.44,R237-S01-T002-U000051,여러 가지 사건 보고서들이 이제,여러 가지 사건 보고서들이 이제,여러 가지 사건 보고서들이 이제
198.52,200.88,R237-S01-T002-U000052,경찰청으로 보고서가들어오게 되는데,경찰청으로 보고서가들어오게 되는데,경찰청으로 보고서가들어오게 되는데
201.6,205.2,R237-S01-T002-U000053,유사한 패턴을 가지고 있는 범행찾게 됩니다,유사한 패턴을 가지고 있는 범행찾게 됩니다,유사한 패턴을 가지고 있는 범행찾게 됩니다
