begin,end,id,text,prep_verbal,prep_read
51.718,53.011,R219-S01-T001-U000001,[지지직거린다],,지지직거린다
54.012,55.597,R219-S01-T001-U000002,[흥겨운 음악],,흥겨운 음악
69.903,72.03,R219-S01-T001-U000003,[기차 경적],,기차 경적
75.951,78.37,R219-S01-T001-U000004,[새가 지저귄다][부드러운 음악],,새가 지저귄다 부드러운 음악
80.831,82.249,R219-S01-T001-U000005,[이야기를 나눈다],,이야기를 나눈다
90.882,92.301,R219-S01-T001-U000006,"""입춘대길 건양다경""",입춘대길 건양다경,입춘대길 건양다경
92.384,93.885,R219-S01-T001-U000007,[밝은 음악],,밝은 음악
95.053,96.138,R219-S01-T001-U000008,[덕수가 가래를 카악 뱉는다],,덕수가 가래를 카악 뱉는다
96.93,99.349,R219-S01-T001-U000009,[덕수가 가래를 카악 뱉는다],,덕수가 가래를 카악 뱉는다
115.949,117.451,R219-S01-T001-U000010,[힘주는 숨소리],,힘주는 숨소리
126.418,127.544,R219-S01-T001-U000011,[바늘로 푹 찌른다],,바늘로 푹 찌른다
128.587,129.63,R219-S01-T001-U000012,[혈당 측정기 작동음],,혈당 측정기 작동음
131.173,132.299,R219-S01-T001-U000013,염병할,염병할,염병할
133.258,135.927,R219-S01-T001-U000014,걸려도 이런성가신 놈의 병에 걸려 가지고,걸려도 이런성가신 놈의 병에 걸려 가지고,걸려도 이런성가신 놈의 병에 걸려 가지고
157.366,158.533,R219-S01-T001-U000015,[문을 철컥 잠근다],,문을 철컥 잠근다
172.172,173.382,R219-S01-T001-U000016,[헬멧을 달그락 집어 든다],,헬멧을 달그락 집어 든다
178.387,179.429,R219-S01-T001-U000017,[헬멧을 탁 내려놓는다],,헬멧을 탁 내려놓는다
180.013,181.932,R219-S01-T001-U000018,"(최 씨)아유, 그나저나 이렇게 염치없이[돌보미1의 웃음]","아유 , 그나저나 이렇게 염치없이","최 씨 아유 , 그나저나 이렇게 염치없이 돌보미의 웃음"
182.14,183.85,R219-S01-T001-U000019,매번 이렇게 신세만 지고이거 어떡해,매번 이렇게 신세만 지고이거 어떡해,매번 이렇게 신세만 지고이거 어떡해
183.934,184.935,R219-S01-T001-U000020,- (돌보미1) 아따- (돌보미2) 아이고,아따 아이고,돌보미 아따 돌보미 아이고
185.018,186.645,R219-S01-T001-U000021,- (돌보미2) 별말씀을 다 하시고- (돌보미1) 괜찮아요,별말씀을 다 하시고 괜찮아요,돌보미 별말씀을 다 하시고 돌보미 괜찮아요
186.895,188.23,R219-S01-T001-U000022,(덕수)[문을 쿵쿵 두드리며]최 씨,최 씨,덕수 문을 쿵쿵 두드리며 최 씨
188.647,190.065,R219-S01-T001-U000023,최 씨 안에 있지?,최 씨 안에 있지 ?,최 씨 안에 있지 ?
190.148,191.9,R219-S01-T001-U000024,[덕수가 문을 쿵쿵 두드린다]- (돌보미1) 누구여?- (최 씨) 저기,누구여 ? 저기,덕수가 문을 쿵쿵 두드린다 돌보미 누구여 ? 최 씨 저기
191.983,193.318,R219-S01-T001-U000025,- 잠시만요- (돌보미1) 예,잠시만요 예,잠시만요 돌보미 예
193.485,194.361,R219-S01-T001-U000026,(덕수)최 씨,최 씨,덕수 최 씨
194.444,195.987,R219-S01-T001-U000027,[덕수가 문을 쿵쿵 두드린다][최 씨의 힘주는 신음],,덕수가 문을 쿵쿵 두드린다 최 씨의 힘주는 신음
200.826,202.369,R219-S01-T001-U000028,[익살스러운 음악],,익살스러운 음악
202.494,203.787,R219-S01-T001-U000029,(덕수)벌써 몇 달째여?,벌써 몇 달째여 ?,덕수 벌써 몇 달째여 ?
204.955,207.165,R219-S01-T001-U000030,(덕수)보증금 500에 30만 원짜리 방을,보증금 에 만 원짜리 방을,덕수 보증금 에 만 원짜리 방을
207.749,209.459,R219-S01-T001-U000031,100에 25에 내줬는디,에 에 내줬는디,에 에 내줬는디
209.918,213.088,R219-S01-T001-U000032,그것도 못 내서사람을 여까지 찾아오게 만들어?,그것도 못 내서사람을 여까지 찾아오게 만들어 ?,그것도 못 내서사람을 여까지 찾아오게 만들어 ?
213.797,214.84,R219-S01-T001-U000033,제가 요즘,제가 요즘,제가 요즘
