begin,end,id,text,prep_verbal,prep_read
33.242,35.244,R224-S01-T001-U000001,[의미심장한 음악],,의미심장한 음악
106.189,108.275,R224-S01-T001-U000002,[까마귀가 깍깍 운다],,까마귀가 깍깍 운다
114.698,115.824,R224-S01-T001-U000003,(용골대)[만주어]겁을 주어라,겁을 주어라,용골대 만주어 겁을 주어라
116.45,117.284,R224-S01-T001-U000004,(청 장수1)네,네,청 장수 네
118.66,119.62,R224-S01-T001-U000005,궁수!,궁수 !,궁수 !
123.206,124.207,R224-S01-T001-U000006,쏴라!,쏴라 !,쏴라 !
146.647,147.481,R224-S01-T001-U000007,[한국어]나는!,나는 !,한국어 나는 !
148.523,150.275,R224-S01-T001-U000008,조선 임금의 명을 받고,조선 임금의 명을 받고,조선 임금의 명을 받고
151.068,152.986,R224-S01-T001-U000009,용골대 장군을 만나러 왔다,용골대 장군을 만나러 왔다,용골대 장군을 만나러 왔다
155.28,158.492,R224-S01-T001-U000010,한 나라의 사신을 이리 대접하는 것이,한 나라의 사신을 이리 대접하는 것이,한 나라의 사신을 이리 대접하는 것이
159.451,160.994,R224-S01-T001-U000011,그대들의 예법인가!,그대들의 예법인가 !,그대들의 예법인가 !
161.953,163.163,R224-S01-T001-U000012,[만주어]신분을 물어봐라,신분을 물어봐라,만주어 신분을 물어봐라
165.248,166.875,R224-S01-T001-U000013,[명수의 기합][말 울음],,명수의 기합 말 울음
168.168,169.378,R224-S01-T001-U000014,[말 울음],,말 울음
170.504,171.88,R224-S01-T001-U000015,(명수)[한국어]너는 누구냐!,너는 누구냐 !,명수 한국어 너는 누구냐 !
172.923,174.216,R224-S01-T001-U000016,신분을 밝혀라!,신분을 밝혀라 !,신분을 밝혀라 !
175.05,176.259,R224-S01-T001-U000017,조선의 사신,조선의 사신,조선의 사신
177.135,179.679,R224-S01-T001-U000018,이조 판서 최명길이다,이조 판서 최명길이다,이조 판서 최명길이다
189.398,191.274,R224-S01-T001-U000019,"(사공)아유, 들어가","아유 , 들어가","사공 아유 , 들어가"
192.067,192.901,R224-S01-T001-U000020,추워,추워,추워
206.873,209.668,R224-S01-T001-U000021,(상헌)어젯밤 어가 행렬이여기로 강을 건넜소?,어젯밤 어가 행렬이여기로 강을 건넜소 ?,상헌 어젯밤 어가 행렬이여기로 강을 건넜소 ?
210.168,211.002,R224-S01-T001-U000022,(사공)예,예,사공 예
212.129,215.173,R224-S01-T001-U000023,소인이 얼음 위로 길을 잡아건네드렸습죠,소인이 얼음 위로 길을 잡아건네드렸습죠,소인이 얼음 위로 길을 잡아건네드렸습죠
215.674,217.384,R224-S01-T001-U000024,(상헌)청병이 곧 들이닥친다는데,청병이 곧 들이닥친다는데,상헌 청병이 곧 들이닥친다는데
218.135,219.97,R224-S01-T001-U000025,왜 어가를 따라가지 않으셨소?,왜 어가를 따라가지 않으셨소 ?,왜 어가를 따라가지 않으셨소 ?
220.762,222.097,R224-S01-T001-U000026,(사공)아무리 오랑캐라지만,아무리 오랑캐라지만,사공 아무리 오랑캐라지만
222.18,225.559,R224-S01-T001-U000027,늙고 힘없는 뱃사공을죽이기야 하겠습니까?,늙고 힘없는 뱃사공을죽이기야 하겠습니까 ?,늙고 힘없는 뱃사공을죽이기야 하겠습니까 ?
228.728,232.315,R224-S01-T001-U000028,소인이 얼음길을 잘 아는지라,소인이 얼음길을 잘 아는지라,소인이 얼음길을 잘 아는지라
233.15,236.236,R224-S01-T001-U000029,청나라 군사들이 들어오면길을 안내해 주고,청나라 군사들이 들어오면길을 안내해 주고,청나라 군사들이 들어오면길을 안내해 주고
236.528,239.072,R224-S01-T001-U000030,"이, 곡식이라도 좀 얻어 볼까 합니다","이 , 곡식이라도 좀 얻어 볼까 합니다","이 , 곡식이라도 좀 얻어 볼까 합니다"
241.616,243.618,R224-S01-T001-U000031,(상헌)그대는 조선의 백성이오,그대는 조선의 백성이오,상헌 그대는 조선의 백성이오
245.078,247.247,R224-S01-T001-U000032,어찌하여 어제는 임금을 건네주고,어찌하여 어제는 임금을 건네주고,어찌하여 어제는 임금을 건네주고
248.832,251.168,R224-S01-T001-U000033,내일은 청의 군사를건네주려는 것이오?,내일은 청의 군사를건네주려는 것이오 ?,내일은 청의 군사를건네주려는 것이오 ?
252.461,253.42,R224-S01-T001-U000034,(사공)소인,소인,사공 소인
254.087,256.131,R224-S01-T001-U000035,어제 어가를 건네주고 나서,어제 어가를 건네주고 나서,어제 어가를 건네주고 나서
256.757,259.301,R224-S01-T001-U000036,좁쌀 한 줌 받지 못했습니다요,좁쌀 한 줌 받지 못했습니다요,좁쌀 한 줌 받지 못했습니다요
270.937,272.939,R224-S01-T001-U000037,(상헌)나는 남한산성으로 갈 것이오,나는 남한산성으로 갈 것이오,상헌 나는 남한산성으로 갈 것이오
274.232,275.066,R224-S01-T001-U000038,그곳에서,그곳에서,그곳에서
276.067,278.111,R224-S01-T001-U000039,내 강을 건네준 보답을 하리다,내 강을 건네준 보답을 하리다,내 강을 건네준 보답을 하리다
278.779,280.03,R224-S01-T001-U000040,소인에게는,소인에게는,소인에게는
281.531,284.451,R224-S01-T001-U000041,돌봐야 할 어린 손녀가 있습니다요,돌봐야 할 어린 손녀가 있습니다요,돌봐야 할 어린 손녀가 있습니다요
284.784,286.161,R224-S01-T001-U000042,강가에 있던 아이 말이오?,강가에 있던 아이 말이오 ?,강가에 있던 아이 말이오 ?
286.244,287.204,R224-S01-T001-U000043,(사공)예,예,사공 예
287.496,290.04,R224-S01-T001-U000044,몇 해 전 물난리 때 부모를 잃고,몇 해 전 물난리 때 부모를 잃고,몇 해 전 물난리 때 부모를 잃고
290.999,292.959,R224-S01-T001-U000045,남은 피붙이라고는,남은 피붙이라고는,남은 피붙이라고는
294.211,295.629,R224-S01-T001-U000046,저 하나뿐입니다,저 하나뿐입니다,저 하나뿐입니다
295.879,297.631,R224-S01-T001-U000047,그 아이도 내가 거두어 주겠소,그 아이도 내가 거두어 주겠소,그 아이도 내가 거두어 주겠소
299.132,300.634,R224-S01-T001-U000048,같이 산성으로 갑시다,같이 산성으로 갑시다,같이 산성으로 갑시다
