begin,end,id,text,prep_verbal,prep_read
62.688,64.314,R220-S01-T001-U000001,[차분한 음악],,차분한 음악
70.821,72.531,R220-S01-T001-U000002,[자동차 경적],,자동차 경적
101.768,102.728,R220-S01-T001-U000003,[차 문이 탁 닫힌다],,차 문이 탁 닫힌다
113.655,114.74,R220-S01-T001-U000004,[차 문이 탁 열린다],,차 문이 탁 열린다
153.487,156.323,R220-S01-T001-U000005,"(영민)오세요, 뒤로 와요, 예, 예좀 더 와도 돼요","오세요 , 뒤로 와요 , 예 , 예좀 더 와도 돼요","영민 오세요 , 뒤로 와요 , 예 , 예좀 더 와도 돼요"
158.533,159.66,R220-S01-T001-U000006,와도 된다니까,와도 된다니까,와도 된다니까
161.244,162.537,R220-S01-T001-U000007,차를 이렇게 대면 어떡해요,차를 이렇게 대면 어떡해요,차를 이렇게 대면 어떡해요
163.413,165.457,R220-S01-T001-U000008,"(지영)괜찮아요, 금방 나올 건데요, 뭐","괜찮아요 , 금방 나올 건데요 , 뭐","지영 괜찮아요 , 금방 나올 건데요 , 뭐"
166.166,167.0,R220-S01-T001-U000009,(영민)이쪽요,이쪽요,영민 이쪽요
179.846,181.556,R220-S01-T001-U000010,[비가 쏴 내린다],,비가 쏴 내린다
214.673,215.59,R220-S01-T001-U000011,[무전기 작동음],,무전기 작동음
227.102,228.603,R220-S01-T001-U000012,(경찰1)아저씨 차 맞아요?,아저씨 차 맞아요 ?,경찰 아저씨 차 맞아요 ?
247.706,248.832,R220-S01-T001-U000013,[연기를 후 내뱉는다],,연기를 후 내뱉는다
250.834,252.669,R220-S01-T001-U000014,"씨발 년, 넌 잡히면 죽는다","씨발 년 , 넌 잡히면 죽는다","씨발 년 , 넌 잡히면 죽는다"
253.378,255.213,R220-S01-T001-U000015,[격정적인 음악],,격정적인 음악
297.38,299.174,R220-S01-T001-U000016,(중호)예[밖에서 음악 소리가 들려온다],예,중호 예 밖에서 음악 소리가 들려온다
299.257,300.175,R220-S01-T001-U000017,"아, 예","아 , 예","아 , 예"
301.76,303.178,R220-S01-T001-U000018,(오좆)다녀왔습니다,다녀왔습니다,오좆 다녀왔습니다
303.261,304.137,R220-S01-T001-U000019,[문이 달칵 닫힌다],,문이 달칵 닫힌다
304.763,305.931,R220-S01-T001-U000020,"(중호)예, 상무님, 죄송합니다","예 , 상무님 , 죄송합니다","중호 예 , 상무님 , 죄송합니다"
306.014,307.641,R220-S01-T001-U000021,[TV 전원음][TV 소리가 흘러나온다],,전원음 소리가 흘러나온다
